x,y,z,tempo
5.6084175,2.3732524,7.6309195,10133
5.626374,2.3948002,7.593809,10333
5.620987,2.3870192,7.5602903,10532
5.6018333,2.3762453,7.668628,10732
5.6000376,2.3780408,7.590218,10932
5.662287,2.332551,7.651869,11134
5.6658783,2.3145945,7.629722,11332
5.6066217,2.3421278,7.5734587,11531
5.663484,2.3481133,7.6105685,11733
5.632958,2.3517046,7.6201453,11931
5.6215854,2.3469162,7.5566993,12130
5.643732,2.4019828,7.6321163,12333
5.653309,2.3523033,7.5884223,12530
5.6108117,2.3301568,7.6135616,12730
5.689222,2.3403323,7.6440873,12932
5.6658783,2.321777,7.557896,13130
5.6018333,2.3624785,7.650073,13329
5.5880666,2.337938,7.5926123,13531
5.6042275,2.344522,7.6333137,13728
5.601235,2.35769,7.6345105,13928
5.571307,2.4097641000000003,7.6135616,14130
5.7598505,2.2852657,7.5962033,14329
5.5886655,2.3343468,7.615956,14528
5.6539073,2.397793,7.6111674,14728
5.6616883,2.3080103,7.630321,14927
5.6497173,2.4097641000000003,7.620744,15127
5.7478795,2.2852657,7.6841903,15327
5.550058999999999,2.32058,7.663241,15527
5.550058999999999,2.4097641000000003,7.627927,15727
5.671864,2.356493,7.632715,15928
5.5844755,2.3265655,7.65127,16126
5.61141,2.4097641000000003,7.6231384,16328
5.673061,2.3175871,7.6129627,16528
5.637148,2.3157916,7.6135616,16727
5.6551046,2.3558946,7.6452847,16925
5.637148,2.345719,7.675811,17126
5.614403,2.309806,7.595605,17325
5.6102133,2.3122003,7.667431,17525
5.6221843,2.309806,7.6309195,17726
5.6778493,2.3343468,7.5944076,17925
5.6389437,2.3600843,7.638102,18125
5.662287,2.3157916,7.57286,18325
5.668871,2.3397336,7.6069775,18524
5.6856303,2.360683,7.6291237,18724
5.6161985,2.3241713,7.6027875,18924
5.707777,2.3265655,7.653664,19124
5.6215854,2.343325,7.6464815,19323
5.620987,2.3786395,7.6710224,19524
5.6539073,2.3169887,7.621941,19723
5.6401405,2.2960393,7.591415,19924
5.6323595,2.308609,7.560889,20123
5.6509147,2.3511062,7.5908165,20323
5.6999955,2.308609,7.5267715,20523
5.6886234,2.4091654,7.5531077,20724
5.727529,2.3331497,7.5213847,20923
5.6964045,2.3768437,7.6015906,21121
5.762245,2.3355439,7.503428,21328
5.723339,2.369661,7.4842744,21522
5.7538652,2.3505075,7.5387425,21721
5.6856303,2.3475149,7.5746555,21922
5.680842,2.3020248,7.5806413,22121
5.6563015,2.3529017,7.5561004,22321
5.6856303,2.343325,7.5890207,22522
5.717354,2.3654714,7.599795,22721
5.7125654,2.4097641000000003,7.4932528,22921
5.775413,2.3211784,7.474099,23121
5.6706667,2.2852657,7.5962033,23319
5.73112,2.2942438,7.5572977,23519
5.671265,2.4097641000000003,7.5267715,23721
5.707777,2.4097641000000003,7.475296,23920
5.7987566,2.4097641000000003,7.5926123,24118
5.6335564,2.4097641000000003,7.539341,24319
5.777807,2.2852657,7.6189485,24518
5.6898203,2.3361423,7.619547,24718
5.6670756,2.2918496,7.578247,24918
5.719149,2.2852657,7.5333557,25118
5.692813,2.2936451,7.599196,25318
5.6407394,2.3540988,7.6345105,25518
5.6910176,2.3181858,7.53994,25712
5.7161565,2.3493104,7.5291657,25917
5.6664767,2.3876176,7.603985,26117
5.6658783,2.3546975,7.586028,26318
