x,y,z,tempo
0.9127887500000007,0.47884035,7.4088573,10139
0.9127887500000007,0.7577648,7.631518,10341
0.9127887500000007,-0.6817489,8.434174,10535
0.9127887500000007,-1.6256629,9.043498,10735
0.9127887500000007,-2.4881742,9.580399,10945
-2.791639,-1.9668367,10.110714,11135
-7.949947,-0.45010993,4.979341,11336
-7.261614,-2.6369139,2.1218612,11537
-8.347982,-2.6369139,1.6879122,11736
-8.063073,-2.6369139,2.5450363,11936
-7.9331875,-2.6369139,2.8742392,12138
-5.309142,-2.6369139,0.9995792,12337
-9.210494,-2.6369139,-0.7823054,12537
-9.55885,-2.6369139,-0.9487024,12740
-8.253412,-2.2092497,-1.3988123,12938
-11.995549,-2.0350714,-0.092775315,13137
-5.377377,1.922544,-6.1902084,13338
-3.205836,-0.55844754,-10.875661,13538
-3.6631286,0.25079262,-9.471462,13738
-5.1768627,0.10354923,-8.180388,13939
-5.307347,0.037708677,-8.219295,14138
-4.662708,-0.1592144,-8.9363575,14338
-5.0002904,-0.16519992,-8.627506,14539
-5.495291,-0.17657238,-8.218696,14738
-5.8693852,-0.18914193,-7.9726915,14939
-6.0208187,-0.24480712,-7.7608047,15144
-5.8987145,-0.24241292,-7.9547353,15341
-5.3420625,-0.19273324,-8.492832,15540
-5.4126916,-0.13587095,-8.251018,15741
-5.503671,-0.18555063,-8.265383,15939
-5.5126495,-0.19093758,-8.216302,16139
-5.2756233,-0.15622166,-8.4587145,16339
-5.405509,-0.18794483,-8.359355,16539
-5.556942,-0.18255788,-8.200141,16739
-5.4025164,-0.18136078,-8.355764,16940
-5.390545,-0.15801731,-8.422203,17139
-5.470751,-0.18854338,-8.3821,17340
-5.463568,-0.18076223,-8.334815,17541
-5.429451,-0.18016368,-8.334216,17740
-5.45878,-0.17298107,-8.323442,17939
-5.5623293,-0.19393034,-8.2037325,18141
-5.566519,-0.17717093,-8.23366,18341
-5.5084596,-0.18614918,-8.341399,18541
-5.527613,-0.16759412,-8.254609,18742
-5.5551467,-0.17597382,-8.276156,18942
-5.5671177,-0.15682021,-8.242638,19142
-5.5701103,-0.16938977,-8.251018,19342
-5.5629277,-0.16160862,-8.262989,19542
-5.595249,-0.17717093,-8.221688,19742
-5.6006365,-0.18495208,-8.253412,19933
-5.523423,-0.16101007,-8.297106,20137
-5.554548,-0.17477672,-8.240244,20341
-5.544971,-0.1604115,-8.2833395,20543
-5.4282537,-0.22385786,-8.244433,20742
-4.6884456,-0.17118542,-8.887876,20952
-5.590461,-0.44352585,-8.288726,21141
-6.691195,-0.4249708,-7.2388687,21342
-6.4685345,-0.3633201,-7.53575,21542
-4.6100354,-0.17477672,-9.215282,21743
-3.8121676,-0.02633622,-9.261371,21942
-4.1814733,-0.092176765,-9.056067,22142
-4.9613843,-0.08619126,-8.619126,22342
-5.3396683,-0.15622166,-8.394072,22543
-5.1355624,-0.12749124,-8.532336,22743
-4.9482164,-0.12449849,-8.671799,22945
-5.0374002,-0.14305355,-8.602366,23145
-5.133767,-0.12868834,-8.549096,23351
-5.069722,-0.1436521,-8.586804,23550
-5.085284,-0.15023616,-8.639477,23747
-5.061941,-0.17058687,-8.594585,23947
-4.9524064,-0.16160862,-8.635287,24150
-5.01705,-0.16819267,-8.559271,24346
-5.0505686,-0.17238252,-8.543709,24547
