x,y,z,tempo
1.78053775,9.321076,-2.7807157,10105
-4.5287824,7.8121304999999985,-1.5680525,10305
-0.53704935,9.480889,-0.9617209,10505
-2.223166,9.628133,-1.6967409,10706
0.25184008,11.374702500000001,-1.6404771,10906
-2.9887118,10.229675,-2.0672436,11105
-1.3618518,8.375965,0.96800566,11306
1.6745944,8.9302225,0.18809447,11506
-3.619584,10.10817,-2.0642507,11706
0.2817676,9.550321,-0.4014777,11907
-0.8201637,9.679607,-0.91623104,12106
-1.5390228,9.479094,-0.25004444,12306
-2.481141,8.432229,-2.3252187,12517
-2.254889,9.5431385,-0.09561843,12711
-0.7507319,9.275586,-0.47928926,12907
0.19797055,9.166052,0.7728782,13107
0.31588498,9.228301,-0.5337573,13307
-2.4655788,8.188619,-0.5804443,13507
-0.9231144,9.623942,-0.94915134,13708
-2.2752397,9.726893,-1.3872902,13908
-1.1852795,9.50124,-1.4531308,14108
-4.7221136900000005,8.022222,3.33108285,14308
-0.65795654,9.578453,1.2624925,14508
0.197372,8.689007,0.76090723,14708
1.2370541,10.208128,2.0705357,14909
-2.9138932,9.703549,-1.7739538,15114
-2.034024,9.927407,-1.747019,15308
-2.041805,9.467122,-1.1556512,15509
-1.4785691,9.597008,-1.0407295,15709
0.03995324,10.799496,-2.2162826,15909
-0.7639,9.302521,2.3225253,16112
-1.1481694,9.467122,1.8011879,16315
0.11716624,8.182633,0.30421326,16509
1.78053775,10.792313,2.46917,16710
-1.9849428,10.43019,-1.8966566,16910
-1.5809213,9.858575,-2.0564697,17109
-1.94484,9.450363,-1.4860511,17311
-1.203236,9.544335,-1.3920786,17509
0.45654434,10.572645,-1.9008465,17710
-1.98195,11.374702500000001,0.8099884,17912
-1.489343,8.736293,-0.3338415,18110
0.13751696,9.206155,0.43230304,18311
0.94196874,9.930999,0.9326912,18512
-3.565116,9.994446,-1.1029788,18711
-1.6701053,11.262176,-2.0115783,18912
-2.3584383,9.351004,-1.5441104,19112
-0.7471406,9.555109,-1.7925088,19312
-4.0768766,9.617957,-1.1562498,19506
-1.939453,10.454731,-1.3346179,19712
-1.7580923,10.221296,2.0771196,19912
1.2645874,8.056937,-0.18899229,20121
0.87792385,11.374702500000001,3.33108285,20315
-1.6653169,8.562713,-0.66962826,20512
-1.5378257,9.731083,-1.1221324,20712
-2.0986674,9.251644,-1.3615526,20913
-1.1140519,9.721506,-1.9026421,21112
-2.6834512,7.9563813,-1.2789526,21313
-4.0170217,11.051485,-1.0437223,21513
-0.7818565,9.461137,-0.49006316,21713
1.3412019,7.8121304999999985,-0.07646482,21914
-1.0033201,11.374702500000001,2.4506152,22114
-1.1948563,9.287558,-0.6211457,22313
-2.5954642,8.7470665,-2.5484781,22514
-1.9286791,9.6945715,-1.4028525,22714
-1.9915268,9.683798,-1.794903,22914
-2.2836194,10.338014,-1.3872902,23114
-3.2047887,8.769812,-1.7332524,23315
-3.1377509,8.921843,-1.3412019,23514
-2.7977743,9.566482,-0.39010525,23714
-2.6553192,9.421633,-0.52896893,23916
-2.2489035,9.500641,0.019303251,24115
-2.0064907,10.182989,1.4540286,24315
-2.3769934,9.27379,0.08574235,24516
-0.27548283,9.944766,0.27608138,24715
-0.5777508,8.243087,0.65915364,24916
0.99045134,9.60838,-1.2089223,25125
-1.0063128,9.3761425,-1.9618987,25315
-1.7832314,9.278579,-1.2328643,25516
-2.7858033,9.354595,-1.6267104,25717
-1.7353473,9.660454,-1.5500959,25917
-1.838298,9.479692,-1.2514193,26116
-1.4719851,11.19394,-2.3766942,26317
-3.4908957,8.911069,-1.7266684,26517
-3.9290347,9.766397,0.70524204,26717
-2.0142717,9.333047,0.90396076,26918
-2.1483471,8.493281,1.2211925,27117
-0.8016087,11.374702500000001,1.1888708,27317
-2.0370166,10.780941,-1.5147815,27518
-2.7486932,9.332449,-1.4441526,27718
-1.939453,9.370157,-1.697938,27918
-2.2291515,9.574263,-1.9738697,28119
-2.1896472,9.522788,-0.80430216,28319
-1.9675848,9.434202,-2.04809,28518
-2.5805006,9.534759,-1.4351742,28719
-2.7858033,9.3522005,-0.5457283,28919
-2.9599814,9.246258,1.9939212,29119
-1.8269255,9.285163,1.647959,29323
-0.5873276,10.136302,1.4785691,29519
-1.5096939,10.141688,0.5077204,29719
-1.7568952,8.626159,1.2295722,29921
-0.56637836,11.323227,0.39758712,30127
-2.2345383,8.746468,-1.3777134,30323
-1.6120459,9.681403,-1.4896424,30522
-2.2764368,9.5910225,-1.3633482,30722
-1.6485575,9.571869,-1.6356887,30922
-1.4504373,9.635315,-1.2101194,31121
-1.5875053,9.802909,-0.4679168,31327
-2.9138932,10.053701,-0.68459207,31525
-2.5403976,9.651476,0.5957073,31723
-2.642151,8.929625,0.28266543,31922
-0.32336688,11.374702500000001,2.645144,32123
-0.14739305,8.684817,0.3143886,32325
-0.8590695,8.098238,0.99613756,32523
-0.8764275,9.611972,0.6166566,32722
-2.2620716,8.795548,-0.30989948,32923
-2.4015338,9.370157,-1.455525,33122
-1.477372,9.631723,-1.2741642,33323
-1.7975966,9.3522005,-1.3681366,33523
-1.7335516,9.590424,-1.4459482,33724
-2.497302,9.020005,-0.82584995,33922
-2.3728034,10.806678,0.6645406,34123
