x,y,z,tempo
9.494058,-2.111686,5.2154694,10097
10.227282,-1.6998832,4.9132013,10296
10.557679500000003,-0.62728083,4.103961,10494
9.014618,-0.90021986,3.3701382,10693
10.150068,-0.53809685,2.7278936,10895
8.641722,-1.1965023,3.0523078,11094
8.86917,-0.66139823,3.7172973,11295
8.681226,-0.27712885,4.7192707,11494
8.791359,-1.0235212,4.3110595,11695
7.3099465,-0.39863458,4.792294,11895
7.4404306,-2.345719,4.1153336,12095
9.423429,-0.84335756,3.9752727,12295
8.618378,-2.3989902,3.4150295,12495
10.314072,-3.3877954,6.708254,12696
10.557679500000003,-1.6280571,1.9970635,12897
8.122778,-1.4041992,4.9670706,13095
9.466524,-1.0923545,4.684555,13295
8.599823,-2.690484,5.292682,13495
9.986066,-1.1947067,3.170821,13697
8.872762,-5.035605,1.3087305,13897
7.7977653,-1.1629834,2.4220343,14096
8.014441,-2.1811178,3.7406409,14297
8.298154,-0.80684596,4.619313,14496
8.576479,-0.94092125,5.6224833,14697
7.757064,-2.2691047,5.7834935,14898
7.7923784,-2.3744495,3.8094742,15106
8.533383,-2.930503,4.676175,15300
8.037186,-1.541866,5.2573676,15497
7.8121305,-0.7386112,6.364686,15698
8.670452,-0.9020155,6.5448494,15898
8.185027,-0.09876082,5.5039706,16098
7.590667,-0.22924481,5.8894367,16298
6.952612,-3.2094274,5.0125604,16498
7.764845,-1.929128,5.3232083,16699
8.765621,1.1845313,7.901464449999999,16899
6.807164,-0.53091425,7.0643916,17099
7.679252,-1.2880806,5.191527,17299
9.212738,-1.7034745,4.7593737,17499
6.820931,-3.8983588,4.8916535,17698
6.766463,-3.043629,5.5135474,17896
8.9781065,-3.0771477,4.1530423,18098
8.717138,-3.1196449,4.349965,18299
8.389731,-2.9370868,3.5945945,18499
8.645911,-3.318962,3.695151,18700
8.350227,-3.1196449,3.736451,18900
8.346038,-3.0897174,3.8394017,19100
8.689606,-3.1040826,3.3874962,19299
8.39871,-3.1244333,3.5904047,19499
8.463952,-3.3770216,3.404854,19700
8.343044,-3.9151182,3.766977,19901
8.416666,-3.264494,3.817854,20108
7.7834,-3.7475243,4.5199537,20300
8.405294,-3.448249,3.468899,20501
8.307731,-3.442862,4.093187,20700
7.719355,-3.7325604,4.5331216,20902
8.310124,-3.345897,3.404854,21101
8.443003,-3.567959,3.9130235,21301
8.077289,-4.0318356,4.303877,21502
8.425046,-3.4183214,3.3294368,21702
8.513632,-3.6373909,3.5844193,21902
8.040777,-4.000711,3.9992146,22102
8.346038,-3.5272577,3.2552166,22301
8.430433,-3.684078,3.612551,22502
7.892935,-3.8744168,4.179977,22702
8.202385,-3.8444893,3.6748004,22918
8.02282,-3.083732,4.3792944,23101
