x,y,z,tempo
2.722357,-0.25326164,-9.24087,10122
2.7265468,-0.26156655,-9.198972,10321
2.7127802,-0.29568392,-9.208549,10516
2.703353,-0.31603462,-9.248202,10716
2.7260978,-0.30945057,-9.2787285,10916
2.7470472,-0.31423897,-9.247005,11119
2.7644053,-0.30526072,-9.242217,11312
2.77630135,-0.28670564,-9.244013,11512
2.7691936,-0.29747957,-9.201516,11712
2.7691936,-0.29508537,-9.291897,11912
2.7656024,-0.30705637,-9.203311,12114
2.7572224,-0.31004912,-9.218874,12313
2.7494414,-0.30166942,-9.209895,12513
2.7249007,-0.30885202,-9.252991,12713
2.7117326,-0.31004912,-9.219472,12913
2.7177181,-0.32321724,-9.226655,13114
2.7243023,-0.31483752,-9.22426,13314
2.7506385,-0.28311434,-9.26556,13516
2.7356746,-0.31543607,-9.244013,13713
2.7400143,-0.27757776,-9.256133,13914
2.7370214,-0.2889502,-9.262119,14114
2.7340288,-0.29732993,-9.266309,14314
2.7400143,-0.29433718,-9.230994,14514
2.7094882,-0.29912558,-9.23279,14714
2.7370214,-0.29912558,-9.233389,14914
2.7100866,-0.30271688,-9.178322,15123
2.7112837,-0.31648353,-9.244163,15314
2.7250504,-0.29912558,-9.242367,15514
2.704101,-0.30630818,-9.230994,15715
2.7172692,-0.3254618,-9.280075,15914
2.7346272,-0.31528643,-9.242966,16115
2.735226,-0.30750528,-9.266908,16315
2.7214592,-0.31349078,-9.217228,16515
2.7346272,-0.31708208,-9.268105,16715
2.7238533,-0.30151978,-9.226206,16915
2.7461493,-0.27623102,-9.270498,17116
2.7353754,-0.3043629,-9.208848,17315
2.712032,-0.28640637,-9.244163,17515
2.6940753,-0.31453824,-9.2208185,17715
2.7210102,-0.3199252,-9.228002,17916
2.7072437,-0.31573534,-9.247754,18117
2.722806,-0.3007716,-9.242367,18316
2.7311857,-0.29418755,-9.221417,18515
2.717419,-0.3019687,-9.230395,18716
2.7257986,-0.30974984,-9.239374,18915
2.7521348,-0.31812954,-9.247754,19117
2.705448,-0.32291797,-9.25314,19316
2.731784,-0.3187281,-9.257331,19516
2.7401638,-0.3127426,-9.245958,19716
2.7371712,-0.31453824,-9.202264,19910
2.7030537,-0.28939912,-9.234586,20117
2.70455,-0.29703066,-9.225757,20324
2.6973674,-0.3155857,-9.228749,20518
2.6877906,-0.2976292,-9.251494,20716
2.7254994,-0.32935238,-9.258079,20916
2.721908,-0.3096002,-9.239524,21118
2.720711,-0.31379005,-9.229947,21317
2.7380688,-0.29224226,-9.21199,21518
2.6943748,-0.29703066,-9.247305,21718
2.6985645,-0.31618425,-9.207801,21918
2.7518356,-0.31618425,-9.209596,22119
2.7003603,-0.30900165,-9.243713,22319
2.7129297,-0.32097265,-9.225159,22519
2.696769,-0.28865093,-9.239524,22718
2.7003603,-0.3167828,-9.247903,22919
2.7117326,-0.30541036,-9.282619,23119
2.703353,-0.3012205,-9.290999,23319
2.7286417,-0.2753332,-9.266608,23520
2.7489924,-0.30047232,-9.283966,23719
2.7244518,-0.31543607,-9.269002,23919
2.7244518,-0.27353755,-9.237279,24121
2.7394156,-0.30226797,-9.251644,24319
2.7406127,-0.2837129,-9.243264,24520
2.7436056,-0.30107087,-9.246258,24720
2.7286417,-0.30526072,-9.2247095,24914
2.7011085,-0.27473465,-9.265411,25131
2.701707,-0.32920274,-9.24506,25320
2.732233,-0.31483752,-9.219322,25521
2.7112837,-0.29807812,-9.239674,25720
2.7214592,-0.29688102,-9.259425,25921
2.7286417,-0.31304187,-9.285163,26121
2.7286417,-0.30466217,-9.267805,26320
2.7106853,-0.30825347,-9.251046,26522
2.717419,-0.3184288,-9.259425,26721
2.7449522,-0.30107087,-9.221118,26921
2.694674,-0.30466217,-9.229498,27123
2.6994624,-0.31064767,-9.2247095,27321
2.719813,-0.31004912,-9.257031,27521
2.710835,-0.3250129,-9.233687,27722
2.7012582,-0.30466217,-9.250447,27921
2.7180176,-0.2885013,-9.271995,28123
