x,y,z,tempo
-0.050278235,9.31943,0.46926352,10130
-2.3104045,9.056666,-1.0576386,10333
-1.0229226,11.610682,-3.0113072,10533
1.8525136,13.251906,-2.9574378,10729
0.7541735,6.208165,0.19991584,10930
-3.1106665,13.891757,5.749974550000001,11129
-2.7222073,5.5150437,-3.2836475,11331
-2.3774424,10.09994,-1.3210008,11540
-1.8513165,9.490017,-1.3377602,11735
-3.068768,12.409746,-2.5887306,11936
-1.1647792,9.212888,-0.24361002,12134
-0.25677812,6.767211,2.441487,12333
-2.0907366,10.136452,5.749974550000001,12535
0.15801731,4.034228999999999,-6.6543842500000006,12735
-1.6992847,9.354745,-2.3690627,12933
-1.5520413,9.376891,-1.7399861,13132
-2.622848,11.6747265,-1.5245079,13333
-1.7687165,10.492589,-0.8948329,13535
-0.21787235,6.2339025,2.3678656,13733
-3.7720647,13.215993,5.749974550000001,13936
-1.7549498,9.599552,0.12629414,14134
0.6679823,9.911396,-0.5315128,14333
-1.7046716,9.139266,-1.5245079,14538
-1.8728642,12.474988,-1.5939398,14734
1.0941502,11.054029,-1.590947,14935
0.6841431,6.0327897,0.8535329,15138
-1.1935096,10.4644575,5.4701524,15333
-1.733402,11.992557,-0.6147113,15534
0.4357447,11.252748,1.0761937,15738
-0.84694886,8.676587,-1.5239093,15935
-0.7966706,10.120889,-3.425504,16136
1.3371617,9.245809,-2.1865046,16337
-1.8680758,9.247604,0.21787235,16535
0.08200141,6.793547,2.9107506,16744
1.353921,11.134833,2.8628666,16938
-4.4915223,10.703279,-1.2036849,17137
-2.3187842,8.8567505,-1.7549498,17336
-1.9949685,9.498995,-2.9131448,17526
-2.8640637,11.667543,-2.142212,17735
0.03232172,11.158177,-0.6703765,17938
0.2208651,6.235698,1.9566613,18139
-3.063381,6.7749925,4.9224787,18339
-0.3824737,9.727043,-0.86729956,18538
-1.4443022,9.089587,-2.7700913,18740
-1.377863,10.190321,-3.2321723,18938
-2.9700072,11.5873375,-1.9722236,19138
0.41958386,10.359711,0.61650693,19342
0.18016368,6.7043633,1.8686744,19538
-1.6346412,9.102157,5.319318,19738
-1.0684125,8.372523,-0.7290344,19945
-0.055066638,9.670779,-1.6460136,20140
-1.2814964,9.668385,-3.0472202,20337
-0.21906945,10.604518,-2.248754,20543
-1.1432313,8.704719,0.19033903,20738
-1.7310078,5.2301335,2.2409728,20939
3.4129345499999997,12.574945,2.8814218,21139
-2.0242975,9.498995,-2.7994204,21341
-1.8902222,8.718486,-2.9945478,21541
-1.8327614,9.7641535,-2.9700072,21750
-0.9415198,9.502586,-1.9494787,21944
2.5139117,8.166622,-1.2497733,22142
0.4333505,8.46889,0.11492168,22345
-0.90859956,8.848969,2.8461072,22542
