x,y,z,tempo
5.7281275,2.32058,7.2167225,10066
5.424064,2.2816741,7.727286,10262
5.29777,2.3983915,7.8332295,10465
5.5581393,2.042254,7.911041,10674
4.6519337,3.1783028,8.001422,10862
6.005855,1.4993688,7.563882,11078
6.0621185,3.1130607,7.201759,11261
5.593454,2.472612,7.872135,11460
5.7903767,3.0053217,6.615778,11665
6.0118403,3.4680011,7.128137,11850
4.9057193,3.933075,8.215105,12055
6.1824274,2.867655,7.6494746,12266
5.6521115,2.1984756,7.739856,12459
5.6341553,1.7735049,7.2245035,12658
5.485116,1.8980033,6.965331,12867
5.3384714,1.7369933,6.8761473,13058
5.3845596,1.863886,6.8228765,13258
5.46297,1.75076,6.8360443,13465
5.522825,1.804031,7.020398,13655
5.478532,1.8806454,7.1748238,13858
5.54557,1.9961656,7.1844006,14062
5.3725886,1.9931729,7.3106947,14258
5.363012,2.130241,7.2987237,14457
5.3007627,2.4265234,7.392098,14661
5.1882353,2.3983915,7.5267715,14856
5.1918263,2.6150668,7.579444,15056
5.4408236,2.794632,7.5327573,15265
5.6227827,2.9131448,7.5441294,15457
5.837662,3.2968156,7.6069775,15656
5.9280434,3.503914,7.739856,15862
5.8203044,3.822343,7.9822683,16052
5.8693852,3.654749,8.02716,16265
5.9531827,3.693056,7.8302364,16464
5.909488,3.4314895,7.790134,16657
5.864597,3.039439,7.679402,16857
5.6724625,2.818574,7.6985555,17063
5.5760956,2.7515364,7.6865845,17257
5.504868,2.690484,7.681796,17457
5.3899465,2.553416,7.677606,17665
5.360019,2.5300727,7.6680293,17856
5.3941364,2.4361002,7.6853876,18057
5.1666875,2.4073699,7.739257,18266
5.1301756,2.3834279,7.639898,18452
5.1080294,2.2601264,7.6231384,18654
5.159505,2.2601264,7.6135616,18862
5.4342394,2.842516,7.5704656,19052
5.613206,2.7898436,7.5225816,19252
5.4821234,2.8113914,7.6009917,19460
5.530606,3.2172086,7.7266874,19652
5.581483,2.4540567,7.7027454,19851
5.4091,2.1853075,7.5770497,20060
5.3049526,2.1853075,7.4746976,20251
5.195418,2.1679497,7.4735007,20452
5.194819,2.1888988,7.495647,20660
5.187038,2.2337902,7.492056,20852
5.2301335,2.1930888,7.443573,21051
5.3019595,2.267309,7.471705,21267
5.325303,2.3786395,7.4082584,21451
5.3163247,2.2852654,7.4525514,21650
5.297171,2.463035,7.4884644,21860
5.66947,2.914342,7.517793,22052
5.415684,2.7844565,7.57286,22251
5.616797,2.8191724,7.495647,22459
5.434838,2.7862523,7.621941,22651
5.6790466,2.8999767,7.443573,22851
5.3821654,2.7670987,7.6267295,23057
5.4659624,2.7724855,7.5848308,23251
5.631162,2.7970262,7.5285673,23451
5.4384294,2.7551277,7.5932107,23658
5.518635,2.8042088,7.5531077,23850
5.53719,2.7862523,7.575254,24049
5.4982843,2.7832594,7.5070195,24255
5.4857144,2.724003,7.595605,24449
5.549161,2.8209682,7.5207863,24649
5.4312468,2.7030537,7.617751,24858
5.6245785,2.753332,7.515399,25048
5.5383873,2.765303,7.5327573,25249
5.48751,2.7778726,7.589619,25462
5.5377884,2.7641058,7.52737,25647
5.527613,2.7551277,7.526173,25849
5.5222263,2.7497406,7.5327573,26055
5.5539494,2.7509377,7.5812397,26248
5.5126495,2.7964275,7.5626845,26446
5.5312047,2.7874494,7.559692,26654
5.5042696,2.7724855,7.559692,26848
5.5778913,2.630629,7.44896,27047
6.735488,1.0510546,6.1183825,27268
6.3823433,1.929128,6.975507,27447
6.2763996,2.8909986,7.425018,27646
6.2704144,1.3605051,7.9876556,27857
5.9986725,2.570774,7.1490865,28044
6.510433,2.3253684,6.5858502,28246
7.1987658,4.1383777,5.048773,28454
7.2664022,3.3321302,6.127361,28650
6.353613,2.9813797,7.2029557,28841
1.8525136,3.6894648,8.717887,29041
2.9173348,1.1414356,8.358158,29242
4.2850223,2.166154,8.560468,29435
5.8442464,3.1292217,7.6548615,29647
6.7684083,1.7375919,7.029975,29843
5.9920883,2.3505075,7.2059484,30045
5.691616,2.983774,7.536947,30251
5.7023897,2.681506,7.379528,30444
5.6066217,3.341707,7.2071457,30642
5.86759,3.2375593,7.0994067,30847
5.799355,2.9628246,7.5668745,31044
6.1596823,2.2002714,7.687782,31248
5.6156,1.1845313,6.399701,31461
4.8338933,0.2837129,5.3779755,31642
5.597045,3.6828809,7.9930425,31844
6.1530986,7.6722193,10.140641,32051
6.117185,2.6581624,8.127716,32241
5.429451,2.291251,7.6093717,32442
5.6940103,2.0769699,7.049727,32647
5.453393,1.678934,7.180211,32841
5.524022,1.2312182,6.737882,33039
5.837662,1.6699557,7.037756,33251
6.0561333,3.3530796,7.654263,33444
5.967548,4.292804,8.777742,33636
6.165668,4.899135,8.738237,33849
5.853823,2.2469583,7.711125,34041
5.9424086,2.2062569,7.303512,34239
5.7478795,1.5705963,6.7492547,34457
5.4940944,1.1384429,6.5906386,34638
5.7119665,1.2952632,6.51582,34839
6.0890536,1.3634979,6.745663,35048
5.2439003,1.400608,7.1909847,35243
6.3661823,2.5540147,6.633734,35439
5.728726,2.7964275,7.5052238,35654
5.8681884,4.324527,8.395268,35838
6.601413,4.931457,8.132504,36039
5.9280434,2.1769278,7.8930845,36249
5.7909756,1.9967642,7.487866,36439
5.549161,2.0859482,7.2981253,36646
5.1343656,1.8908207,7.1425023,36848
5.0798974,1.5861586,7.0994067,37038
5.0397944,1.4856021,7.121553,37238
5.2522798,1.3317747,6.9569516,37447
5.471948,1.3389573,6.8306575,37642
5.787384,1.7166426,6.9491706,37835
5.981913,2.0177135,7.1472907,38047
6.4978633,3.1711202,7.597999,38237
6.5140243,3.5194764,7.8876977,38435
6.602011,4.213795,8.168418,38635
6.5577183,4.956596,8.463503,38835
6.042965,3.6254199,8.015189,39034
5.7921724,2.5396495,7.7368627,39244
5.5587378,2.4839842,7.7614036,39434
5.425261,2.1416135,7.6440873,39634
5.7125654,2.0506337,7.2747817,39840
6.007651,1.9339164,6.9425864,40033
5.799355,1.6771383,6.6522894,40234
5.8723783,1.5987282,6.5684924,40442
5.767632,1.5394717,6.715736,40633
5.801151,1.5753847,6.7971387,40834
5.637148,1.5915456,6.867169,41038
5.419874,1.5388732,6.9348054,41232
5.3025584,1.501763,7.0012445,41435
5.3528366,2.0087352,7.256227,41648
5.5886655,2.3331497,7.36636,41837
5.957971,2.6198552,7.5375457,42031
6.3009405,2.8072014,7.6111674,42243
6.3404446,3.0382419,7.5854297,42433
6.3805475,3.2070332,7.747637,42633
6.361394,3.417723,7.9116397,42838
6.237494,3.834314,8.209718,43032
6.0746884,4.0719385,8.341399,43232
6.007052,4.3287168,8.422802,43442
6.002862,4.063559,8.449138,43632
6.215348,4.245518,8.292317,43831
6.4164605,3.787627,8.069058,44037
6.2626333,2.5911248,7.5189905,44232
6.2063694,2.408567,7.4375877,44432
6.1728506,2.3307555,7.390302,44639
6.0519433,2.0416555,7.3352356,44829
5.8280854,2.106299,7.315483,45031
5.673061,2.0727801,7.2047515,45239
5.6179943,2.3050177,7.4148426,45431
5.5671177,2.19668,7.5106106,45630
5.4743423,2.203264,7.415441,45840
5.849035,2.0919337,7.203554,46029
5.7041855,2.124854,7.277775,46230
5.8358665,2.0500352,7.355586,46456
5.465364,2.0260932,7.3723454,46630
5.4881086,2.0572178,7.2670007,46839
5.719748,1.9973627,7.1490865,47039
5.7185507,1.8734628,7.149685,47230
5.707777,1.7902644,7.1023993,47430
5.623381,1.6915035,7.1634517,47638
5.585074,1.7381904,7.1083846,47831
5.5096564,1.7022774,7.12694,48029
5.4671597,1.7884687,7.0784574,48228
5.385158,1.7657237,7.125743,48429
5.4504004,1.797447,7.0964136,48630
5.592855,1.8447324,7.04434,48837
5.7975593,1.8076223,7.0006456,49028
5.883152,1.9255368,7.0012445,49227
5.8891377,1.9434932,7.055712,49429
5.85502,1.9710265,7.1766195,49627
5.807735,2.123657,7.199963,49827
5.7365074,2.088941,7.1712327,50031
5.7149596,2.2768857,7.2370734,50225
5.61979,2.3235726,7.2843585,50425
5.6257753,2.343325,7.3873096,50633
5.9687448,2.349909,7.2526355,50825
5.959168,2.3630772,7.2622123,51025
6.0740895,2.4343045,7.3466077,51228
6.067506,2.3834279,7.3992805,51425
6.0567317,2.4947581,7.466318,51622
5.990891,2.6856956,7.608773,51833
5.913678,2.8999767,7.769783,52025
5.887342,2.9083564,7.769783,52220
6.0998273,3.2363622,7.8446016,52427
6.2009826,3.1052797,7.751827,52621
6.364985,3.2106245,7.781754,52820
6.4380083,3.196858,7.841609,53023
6.5020533,3.5110967,8.050503,53220
6.2434793,3.4847605,8.093599,53420
6.0878563,3.4991257,8.210915,53619
5.9944825,3.5895069,8.20433,53820
6.1022215,3.6780925,8.198944,54020
6.14831,4.083311,8.255207,54227
6.114791,3.727772,8.034941,54420
6.0226145,2.681506,7.6961613,54620
5.8364654,2.4929626,7.406463,54819
5.7598505,2.6024973,7.3484035,55020
5.915474,2.5785553,7.3268557,55220
5.99149,2.6030958,7.291541,55428
5.969942,2.6168625,7.3627687,55620
5.7867856,2.755726,7.3549876,55820
6.067506,2.5384524,7.3352356,56030
5.5497594,2.2505496,7.704541,56219
5.575497,2.3319526,7.6231384,56420
5.3199162,2.747945,7.7608047,56626
4.823119,4.0318356,7.997831,56820
2.9221232,3.4889505,7.7494326,57029
3.1789012,2.099715,7.7829514,57228
4.698621,2.7539306,8.232463,57420
5.886145,3.3135753,7.8888946,57620
6.0483522,1.9375077,7.45315,57826
6.187814,2.1655555,7.3765354,58020
5.7466826,2.2469583,7.560889,58220
5.7999535,2.2918496,7.647679,58426
5.4863133,2.4971523,7.6626425,58620
5.973533,2.3648727,7.9822683,58820
5.475539,1.9333179,6.8863225,59026
6.11539,2.1811178,7.101202,59220
5.342661,2.297835,7.873931,59419
5.635352,2.2331917,7.7560163,59627
5.493496,1.9973627,7.5004354,59820
