x,y,z,tempo
-9.566781,2.1170728,2.6937761,10077
-8.059032,2.496554,0.8658032,10307
-8.970625,1.5574282,6.5143237,10481
-6.744017,2.2301989,1.0818799,10683
-7.984214,1.5155296,2.3406315,10886
-10.226982,1.1492168,2.2610242,11080
-4.317494,4.1904516,0.32950202,11283
-8.27092,2.0512323,3.4778771,11485
-9.760113,-0.0676362,7.3373303,11683
-8.203882,2.1769278,0.80594814,11882
-8.540866,0.6218939,3.4712932,12089
-10.957812,2.9388826,2.2281039,12291
-3.9972694,1.7280151,0.7838018,12486
-9.143007,1.6196774,3.0517094,12689
-10.288034,1.644218,6.158186,12884
-5.767183,1.8938135,1.0770915,13086
-7.8752775,0.6194997,2.7237036,13286
-10.297012,1.4024036,2.8793268,13484
-4.91365,4.261679,0.5707178,13684
-7.7328224,2.2098482,4.706103,13886
-10.415525,0.24600422,7.536648,14087
-7.394043,1.8561049,0.58268887,14283
-8.516924,0.47225627,2.893692,14488
-11.539004,0.7134721,4.5756187,14688
-5.5367413,6.467337,0.29897594,14883
-7.8794675,1.4161704,5.7380037,15089
-10.27307,-0.5081693,8.069956,15286
-7.3389764,1.70946,0.394744,15485
-8.437915,0.5351041,2.7793689,15689
-11.372608,1.074398,5.0772038,15888
-7.710676,7.038953,0.33189622,16088
-8.11769,-0.961272,5.125088,16286
-10.896162,-0.23582886,7.8395143,16486
-7.412598,1.2862848,0.35045126,16689
-8.863484,0.47764325,2.5261822,16889
-11.088895,-0.18255788,5.71047,17090
-7.0193505,6.931214,1.6056116,17294
-8.157195,2.0991163,5.095759,17488
-10.137199,-0.5081693,8.72058,17687
-8.926332,1.0552444,1.9868882,17891
-8.199094,0.16938977,3.1313167,18088
-11.272051,0.06584055,4.065654,18298
-9.660155,8.129512,1.4296377,18488
-6.954707,0.84455466,5.1137156,18691
-11.354651,5.1768627,5.6153007,18894
-9.874436,2.457648,0.6120178,19091
-9.523685,0.6835446,3.1462803,19288
-13.998448,1.685518,5.064036,19489
-6.2693667,2.9041667,3.1863832,19688
-8.9897785,2.255338,5.6356516,19888
-8.683919,3.3123782,3.6586394,20092
-7.616704,1.5616181,0.3199252,20288
-10.121038,1.0366893,2.6824038,20490
-7.3413706,4.4155064,3.2091281,20690
-7.2497926,2.2110453,4.029741,20887
-8.839542,0.34476504,6.244976,21094
-8.777293,3.2650926,4.3547535,21287
-8.732402,0.56802434,2.829647,21488
-10.022877,1.471237,2.0970213,21691
-7.306056,3.6433764,1.9485809,21890
-6.752397,2.332551,3.0594904,22093
-10.363452,-0.46208093,6.960842,22290
-7.375488,1.8004397,0.75148004,22493
-8.714445,0.5746084,2.596811,22693
-9.758916,0.45190558,3.482067,22892
-6.981642,6.3242836,-0.067935474,23091
-8.57199,0.50876784,3.3539772,23273
-10.683676,0.97862995,7.6180506,23496
-8.48101,1.2012907,1.4583681,23690
-8.853309,0.83378077,3.0744543,23890
-10.101885,0.47225627,3.4473512,24095
-8.094946,5.6227827,-1.0316017,24290
-8.767716,1.127669,1.7887679,24492
-9.6350155,-1.0444705,6.966828,24697
-8.586355,1.192911,1.6062101,24892
-8.927529,0.56922144,2.8637645,25093
-10.1204405,2.191293,5.0867805,25290
-5.767183,5.336077,3.3150716,25492
-7.96506,2.5450363,4.3188405,25693
-9.604489,-0.42796355,5.6901197,25895
-7.462278,0.58298814,1.6331449,26094
-8.558224,1.3563153,1.2698247,26290
-9.628431,1.204882,1.1519103,26496
-10.495132,1.174356,2.354398,26696
-12.350639,2.1906946,3.6311061,26894
-7.2324343,1.30484,4.485836,27095
