x,y,z,tempo
4.583101,3.478775,0.2088941,10135
18.169598,7.619547,12.97777,10356
4.3161473,7.6321163,-3.822343,10533
7.6051817,8.18398,0.023343466,10733
6.983288,8.081029,-0.8451532,10934
4.9996915,10.824784,-1.6747441,11133
4.137779,6.9838862,-0.8230068,11334
12.400169,3.2782607,-0.090381116,11534
3.2136173,8.604162,-2.405574,11736
8.856153,7.07726,-2.6629508,11935
10.732608,13.200431,0.2124854,12135
7.5926123,6.1764417,-1.2336124,12335
3.7750576,7.4735007,-0.5662287,12535
6.167464,4.9536033,0.08080431,12736
5.981314,7.641693,-1.5556326,12936
6.8480153,6.5750766,-0.3429694,13136
9.7641535,7.152079,-2.9897594,13336
8.118139,9.102755,-2.2397757,13536
1.7651252,7.368156,-0.700304,13738
11.067198,4.4801497,-1.3862427,13937
5.2504845,14.057555,-3.229778,14136
5.677251,6.915652,0.92655605,14336
8.05589,5.7305217,-0.88944596,14537
6.707356,11.988366,-0.5734113,14737
0.32621,6.943185,1.2797008,14938
16.687586,11.595717,-2.6072857,15145
4.425682,7.313089,2.915539,15340
6.172252,7.065888,-1.2138603,15538
9.534309,11.514315,-0.3585317,15741
7.271789,6.0944405,-1.3946224,15939
3.3369186,6.4763155,0.1604115,16139
7.3831196,18.175583,4.2796354,16339
5.7107697,5.4282537,1.7938557,16539
8.342596,6.8809357,-1.1941081,16739
6.0758853,7.161656,-1.1019313,16940
6.081871,6.8486137,3.5128925,17139
7.3112936,1.7142484,1.4191631,17340
0.4973954,-0.7254431,-1.0301052,17541
6.853402,6.779781,-2.822764,17743
8.351574,6.8091097,-1.9285295,17948
5.3983264,9.451111,-0.24600422,18137
7.422025,4.7626657,0.47345337,18341
14.813524,8.652046,7.599196,18541
5.981314,10.1460285,-0.7589619,18743
5.2804117,7.035362,-2.1984756,18943
7.824251,6.7013707,-1.1330559,19142
5.2744265,10.712855,-1.5460558,19343
4.4795513,4.5382094,0.23523031,19543
12.04463,3.7259765,3.7774518,19745
5.145139,8.341997,-0.2669535,19944
6.260239,8.039729,-1.3634979,20160
6.467337,11.021708,-1.3335704,20355
5.2852,8.661025,0.0664391,20554
6.3350577,7.9188223,-0.6368576,20748
6.9024835,5.5288105,0.06703765,20956
6.4745197,6.7067575,1.9865888,21155
4.953005,7.949348,0.012569559,21352
5.2397103,8.240842,-1.7998412,21554
8.444349,10.58716,-0.54887074,21757
7.855974,7.917625,-2.4486697,21951
7.3729444,7.860164,-1.3922282,22154
6.8683662,6.9946604,-0.9451111,22352
4.9542017,9.126099,-1.5131354,22552
6.467337,8.60117,0.7308301,22752
7.5148005,5.8388596,0.74998367,22955
4.722563,6.4206505,0.6733692,23152
9.388264,4.1066546,6.4302273,23351
3.8869865,0.004189853,1.7902644,23552
5.3181205,6.1399302,-0.7811083,23754
6.171055,8.075044,-1.0301052,23951
7.1826053,6.6403184,-1.858499,24153
7.189788,6.6726403,0.98102415,24352
6.0160303,5.945401,1.6430209,24551
3.5110967,5.6820393,2.0590134,24752
2.5809495,5.831677,5.29358,24953
6.1243677,5.230732,-2.6485856,25152
7.7159133,5.6185927,0.27952304,25351
4.6926355,7.150882,-0.32800564,25552
4.938041,5.0637364,0.4285621,25755
10.730812,5.683835,-0.63206923,25954
5.2846017,9.216479,-0.29568392,26153
6.4787097,7.047931,-1.4706384,26352
9.237429,9.625289,-1.1701661,26553
7.48188,8.6813755,0.10055647,26753
2.1003134,6.429629,1.3772645,26954
18.86152,15.672444,3.3650506,27152
5.8663926,8.246229,0.6218939,27352
6.704962,7.668628,-2.4774003,27553
8.705916,9.294889,0.2184709,27755
5.0810947,4.465186,-1.4730326,27954
7.1006036,6.242881,2.5007436,28153
2.1206641,4.123414,0.38606504,28353
5.523423,4.6255975,-2.3080103,28551
9.809643,5.5365915,-1.1917139,28753
5.0002904,12.301409,-2.1218612,28954
3.6008794,5.044583,0.81163436,29151
10.489596,10.547656,-0.7679402,29351
3.1172507,9.2865095,-1.3215994,29552
7.763199,5.8783636,-3.1693244,29754
6.727108,9.458294,-2.693477,29953
6.681618,11.230003,-1.6178818,30162
2.6839,3.5128925,-1.8483237,30356
8.231864,3.2208,2.3876176,30556
5.779603,11.794436,-2.657564,30770
6.8091097,5.7784057,-1.7298107,30955
7.2424603,5.8999114,-1.8207904,31160
6.9545574,6.3883286,-2.5480292,31361
3.6990416,8.509591,-1.8752584,31559
6.441001,5.1265845,0.30585927,31770
10.578181,5.883152,1.7250223,31972
5.8041434,8.9758625,-0.29029694,32165
7.4148426,5.216367,-2.753332,32359
9.3661175,5.0362034,-1.5227122,32563
8.05589,6.3141084,0.61171854,32760
7.008427,4.23235,-0.5758055,32971
6.26383,5.229535,0.90500826,33164
1.7022774,4.203021,0.81163436,33371
5.405509,5.595848,-2.814384,33560
7.7590094,5.590461,-1.5370775,33774
10.287286,8.9040365,-0.53211135,33972
8.265383,7.277775,2.8736405,34160
5.0787005,6.1088057,0.85772276,34378
11.742961,12.188881,-1.6005238,34571
5.2929816,12.173319,2.4331074,34761
6.678027,5.525219,-2.0608091,34971
6.1596823,7.2203135,-1.5334862,35178
5.0637364,6.667852,-0.22625206,35370
8.051102,5.5976434,-0.6859388,35587
6.1411276,4.35625,0.7870938,35774
13.31655,8.26658,1.0295067,35973
4.3807907,15.14991,3.7427359,36174
5.5042696,5.878962,-1.1192893,36374
7.5572977,8.115746,-3.5942953,36573
5.1020436,10.910975,-2.0667946,36775
2.6102784,4.309563,-0.8158242,36975
16.174627,6.968324,2.285864,37173
