x,y,z,tempo
0.46627077,-0.31663316,9.662399,10052
0.39923313,-0.23882163,9.722853,10256
0.4261679,-0.23642741,9.739014,10451
0.5494693,-0.3238158,9.622296,10650
0.5590461,-0.31423897,9.607931,10849
0.56084174,-0.374094,9.651626,11050
0.51595044,-0.30585927,9.682152,11249
0.44831428,-0.31004912,9.762358,11449
0.4213795,-0.22744916,9.700109,11650
0.40462008,-0.22924481,9.657611,11850
0.5057751,-0.219668,9.825205,12051
0.39564183,-0.20949265,9.677961,12250
0.46806642,-0.29747957,9.739014,12451
0.5231331,-0.2681506,9.722853,12650
0.5506664,-0.37588966,9.833585,12851
0.504578,-0.2813187,9.628283,13052
0.46507367,-0.32022446,9.673772,13251
0.54288524,-0.39085343,9.703699,13451
0.57161564,-0.30047232,9.564238,13652
0.5363012,-0.3585317,9.674371,13851
0.49081135,-0.37229836,9.773131,14052
0.5805939,-0.3728969,9.661202,14252
0.5410896,-0.3405752,9.65821,14451
0.56802434,-0.3513491,9.548675,14652
0.59256494,-0.39384618,9.628283,14852
0.54408234,-0.34835634,9.640852,15062
0.54408234,-0.38845924,9.663596,15252
0.5506664,-0.3573346,9.634866,15447
0.50996494,-0.36152446,9.692925,15655
0.5255273,-0.34356794,9.727043,15854
0.5201403,-0.32800564,9.6923275,16056
0.6266823,-0.41359833,9.768942,16254
0.54527944,-0.35075054,9.69951,16454
0.47345337,-0.29747957,9.671378,16656
0.5105635,-0.42078096,9.6845455,16857
0.46686932,-0.3345897,9.744401,17056
0.46806642,-0.36152446,9.700109,17256
0.41359833,-0.3609259,9.69532,17455
0.47764325,-0.40701428,9.692925,17656
0.4985925,-0.33039984,9.569624,17857
0.45968673,-0.41000703,9.686341,18057
0.50517654,-0.46567222,9.725846,18256
0.55725044,-0.39683893,9.624691,18457
0.52971715,-0.36152446,9.553463,18657
0.50637364,-0.39324763,9.738416,18857
0.5279215,-0.40043023,9.762358,19058
0.52492875,-0.3693056,9.624092,19257
0.504578,-0.26874915,9.723452,19457
0.47345337,-0.3357868,9.688137,19658
0.50158525,-0.29688102,9.655815,19857
0.52373165,-0.3196259,9.682152,20069
0.51235914,-0.2825158,9.797672,20258
0.46148238,-0.2908955,9.656414,20452
0.45549688,-0.27952304,9.642648,20659
0.47285482,-0.31124622,9.77373,20859
0.492607,-0.3824737,9.701305,21059
0.42437226,-0.33638534,9.660006,21259
0.36750996,-0.3286042,9.654019,21459
0.40342298,-0.3633201,9.7007065,21659
0.4405331,-0.2861071,9.779117,21859
0.43155485,-0.35673606,9.643246,22060
0.45549688,-0.41060558,9.679159,22259
0.5153519,-0.3800795,9.630077,22459
0.47884035,-0.4309563,9.632472,22660
0.4914099,-0.320823,9.76116,22867
0.48841715,-0.35793316,9.753379,23061
0.51834464,-0.2885013,9.6049385,23261
0.4985925,-0.30765492,9.505579,23460
0.49679685,-0.2777274,9.779716,23661
0.47285482,-0.3465607,9.710882,23861
0.55485624,-0.29987377,9.654019,24062
0.46208093,-0.31004912,9.731233,24261
0.50397944,-0.33399114,9.64145,24463
0.45310268,-0.35913026,9.650429,24662
0.48243165,-0.350152,9.717466,24861
0.49440265,-0.40462008,9.661202,25071
0.45789108,-0.35553896,9.61691,25262
0.45370123,-0.3657143,9.677961,25463
0.4973954,-0.40342298,9.680356,25663
0.55246204,-0.38067806,9.738416,25862
0.46267948,-0.3513491,9.5809965,26068
0.39205053,-0.29987377,9.747394,26263
0.48961425,-0.26515785,9.826403,26463
0.45190558,-0.24600422,9.607333,26664
0.39025488,-0.25019407,9.64564,26864
0.3357868,-0.1604115,9.691729,27066
0.24301147,-0.05267244,9.615712,27264
0.3393781,-0.15382746,9.771336,27465
0.31304187,-0.12629414,9.689933,27665
0.3441665,-0.18914193,9.675568,27864
