x,y,z,tempo
6.6295447,-2.528277,6.6923923,10103
6.6103907,-2.5246856,6.715736,10305
6.666056,-2.4893713,6.711546,10508
6.6241574,-2.5121162,6.697779,10704
6.6445084,-2.510919,6.717531,10905
6.643311,-2.5300727,6.70975,11105
6.6606693,-2.496554,6.71813,11299
6.63134,-2.5127146,6.6947865,11505
6.6612678,-2.5133133,6.717531,11715
6.643311,-2.517503,6.727108,11904
6.6367273,-2.5276785,6.6852098,12104
6.63972,-2.4863784,6.6630635,12307
6.642114,-2.5187001,6.6965823,12504
6.6666546,-2.5067291,6.670246,12703
6.67683,-2.5061307,6.7223196,12904
6.6403184,-2.4995465,6.6983776,13103
6.6415157,-2.5067291,6.692991,13303
6.651691,-2.4947581,6.7067575,13503
6.652888,-2.5276785,6.6750345,13703
6.6726403,-2.5145104,6.6864066,13902
6.658275,-2.504335,6.723517,14103
6.645705,-2.497751,6.6774287,14302
6.652888,-2.497751,6.6840124,14502
6.631939,-2.4941597,6.7211227,14702
6.6427126,-2.5127146,6.7522473,14902
6.623559,-2.5121162,6.70556,15102
6.655282,-2.4971523,6.6708446,15303
6.6588736,-2.5073278,6.7342906,15500
6.649895,-2.498948,6.7085533,15700
6.6427126,-2.5067291,6.6989765,15901
6.649895,-2.5181017,6.694188,16097
6.646304,-2.5031378,6.7265096,16301
6.664859,-2.498948,6.6923923,16496
6.658275,-2.508525,6.71813,16701
6.6504936,-2.5151088,6.711546,16901
6.6109896,-2.492364,6.6983776,17100
6.6480994,-2.5145104,6.743269,17300
6.655282,-2.5139117,6.7133417,17500
6.645705,-2.492364,6.715137,17701
6.627749,-2.5013423,6.7145386,17894
6.655282,-2.510919,6.7079544,18101
6.651691,-2.493561,6.6654577,18300
6.663662,-2.5115175,6.699575,18499
6.6480994,-2.5103204,6.7223196,18700
6.6504936,-2.5031378,6.692991,18900
6.637924,-2.5031378,6.681618,19100
6.6445084,-2.517503,6.6852098,19298
6.6510925,-2.5037365,6.6774287,19499
6.655881,-2.4905684,6.669647,19699
6.655881,-2.4881742,6.7025676,19899
6.64391,-2.4893713,6.733692,20098
6.627749,-2.493561,6.695385,20297
6.6726403,-2.5252843,6.7145386,20498
6.6367273,-2.4941597,6.7163343,20698
6.6283474,-2.4971523,6.703166,20897
6.6445084,-2.4821887,6.703166,21097
6.657676,-2.5061307,6.724714,21298
6.6564794,-2.5240872,6.664859,21505
6.6480994,-2.5234885,6.7109475,21696
