x,y,z,tempo
3.5922003,18.059912,-0.67890584,10109
-1.2991537,12.168381,-2.9498062,10310
3.5604773,8.080879,-5.841403,10518
-1.9318215,6.983138,-2.5068789,10708
4.8671126,10.0207815,-1.548001,10905
1.7995418,4.1232643,-4.1684546,11106
4.760571,19.822044,9.232491,11310
1.1991957,12.101941,-2.7241526,11508
3.4281976,8.565705,-6.8230257,11702
-3.1127615,7.9599724,-2.017863,11908
10.840646,14.6541605,0.054917,12106
3.4599206,8.124574,-3.17127,12309
2.7201123,7.029227,-5.4307976,12509
-7.9071503,16.419884,3.337966,12706
2.8170776,7.7403045,-7.329998,12906
2.2382793,7.598448,-4.230704,13111
5.632659,11.687744,-5.234473,13305
4.797681,7.9078984,-3.382558,13512
8.6774845,12.215666,-2.983325,13708
1.6205753,11.550676,1.6823756,13906
-0.07751228,8.814702,-7.1354694,14108
2.4615386,8.581866,-1.1068693,14304
-1.3362638,3.8563108,-1.1146505,14509
0.21398178,8.917653,-2.8121395,14707
2.2658126,6.497115,-2.8522425,14907
-0.15053543,3.3128269,-0.5041291,15117
-0.47794253,8.51423,-4.5066357,15308
2.1036055,8.0784855,-2.242918,15515
-0.90889883,5.7854385,-7.9967833,15708
0.001496376,8.397512,-1.6982372,15907
2.3148937,7.4943004,-2.5511715,16110
0.2486977,3.7138557,0.06868366,16308
-1.391929,12.394632,-0.30780455,16507
0.62339026,9.288754,-4.0637083,16710
3.9806595,19.822044,-12.211177,16909
-3.0714614,13.45706,-2.4649804,17106
1.1555016,10.206332,-4.2869678,17310
0.004489128,5.2174144,0.22789808,17509
-1.2680291,11.624298,-1.6108488,17709
1.3649943,8.483106,-2.0902877,17912
1.6493057,10.345795,0.36197338,18107
-0.20560206,10.256611,-3.168277,18309
2.3801358,15.079131,-7.5532575,18511
0.28760347,5.6938605,0.71092826,18709
-2.3861213,10.868928,-0.8249521,18912
3.8076785,8.927829,-4.185214,19114
1.3542204,11.840375,5.857265,19309
2.2903533,11.337592,-2.2249615,19509
5.258565,13.117083,-7.1372647,19713
1.0764929,7.3644147,-0.40297407,19912
-0.43065703,10.735451,-2.7816133,20133
2.3178866,10.056096,-3.193416,20310
5.7715225,19.822044,0.7031471,20511
1.4667478,10.421212,-2.1902456,20711
3.011008,10.983251,-3.9954736,20916
-0.8670003,7.97733,1.6961423,21113
0.13257892,13.517513,-3.6159928,21311
1.3937247,9.42283,-2.9815292,21514
1.3901334,19.822044,10.516381,21712
2.9080572,9.93878,-2.2734442,21914
3.4000657,11.919982,-3.269432,22114
-1.4392145,6.7963905,-0.45265377,22309
0.81911623,9.86875,-8.551041,22510
1.3105261,11.126903,-2.3883657,22710
0.5150526,2.5724201,-2.7109845,22914
1.9701288,7.863606,-2.6176107,23112
2.3136966,4.710442,-3.578284,23315
0.4007295,3.1206923,-1.7832314,23512
-0.48751932,8.272416,-3.00188,23726
2.9038675,6.083517,-3.2065842,23918
-0.12060791,2.8938417,-1.8508675,24112
0.43245268,8.851214,-2.4566007,24313
1.5900491,5.6286187,-3.280206,24515
3.3252468,11.801469,-1.7940053,24713
-0.69102645,13.712042,-4.2941504,24909
2.2089503,8.021624,-3.780594,25118
-0.75148004,5.698649,-2.7307367,25313
6.1707554,9.094226,-0.57356095,25513
1.3829508,5.0055275,-4.481497,25716
6.441899,19.822044,9.843611,25914
1.8959085,12.176761,-2.0705357,26116
3.2031426,7.0244384,-4.8370357,26317
-1.8869302,8.31611,-2.8205192,26514
7.4833765,10.382306,2.1121347,26714
2.0036476,4.5530233,-4.1325417,26917
2.7021558,17.880346,2.932149,27117
0.1062427,15.879992,-5.6049757,27315
2.442385,9.1451025,-3.4669538,27517
-1.8330606,5.845294,-3.0240264,27715
2.4274213,9.855581,-2.2578819,27915
1.3440449,6.2181907,-3.027019,28119
4.444536,18.236485,2.1187189,28315
0.052971713,12.506561,-3.5118449,28515
2.1275475,8.706964,-4.3462243,28718
-2.2029648,8.234707,-3.5309987,28915
3.850774,9.677813,0.72050506,29118
1.652897,6.044611,-3.1652844,29319
3.8477814,14.95164,6.2014313,29516
2.8930936,9.123554,-1.548001,29716
3.676596,9.321674,-3.7758057,29919
0.48751932,8.21675,-2.2141876,30119
9.978135,12.034904,4.2890625,30320
1.3620015,5.4316955,-4.241478,30521
7.2026567,19.822044,8.590844,30716
1.0746973,14.681095,-1.067365,30916
3.498228,7.489512,-6.2693667,31122
0.2463035,9.788544,-0.4556465,31317
6.7357874,14.50153,-0.3096002,31517
1.0202292,5.8644476,-3.5034652,31719
6.5394626,7.245303,-2.846257,31917
2.3699603,7.8247,-0.0043394906,32119
2.8901007,9.018209,-6.3124623,32319
3.0116065,8.752453,-0.64000005,32518
1.3536218,7.8534303,6.655731,32718
5.6009355,9.771186,-5.0148053,32919
4.9993925,8.623765,-6.8637276,33116
1.5242087,11.84636,-2.4637833,33319
3.707122,9.673024,-3.8105216,33521
3.6065655,8.474127,-2.7055976,33718
4.025551,7.707384,3.2775126,33918
4.476259,10.236858,-2.9557917,34120
2.958934,13.294852,-3.2413,34321
-0.64912796,5.0803466,1.0323498,34519
1.3889363,9.816676,-2.907309,34722
2.073678,9.610176,-3.9721303,34919
2.1909938,11.713482,1.7081133,35120
-1.5918448,6.618621,-2.8306947,35331
0.82510173,8.086865,-2.3219268,35519
7.7874403,19.198355,-1.1212345,35720
6.0390744,10.957513,-2.685247,35920
6.524499,7.619397,-4.825663,36119
0.1619079,9.871144,-3.155109,36321
7.9257054,15.253908,-0.3592799,36522
2.4806921,8.759636,-4.261829,36719
5.9049993,1.8661306,-1.6856676,36917
1.6684593,7.6858363,-1.148768,37123
6.9596453,7.965958,-8.216452,37322
0.3103484,7.758261,-2.5020905,37521
5.697901,12.881852,2.6005518,37723
2.821866,9.603592,-2.970157,37921
8.7971945,14.679898,-8.182334,38121
1.5319898,10.150667,-1.137994,38327
0.8466496,12.010364,-1.7634792,38522
3.5359366,10.735451,-5.0010386,38722
7.927501,19.822044,-1.0464158,38924
3.3821092,8.547151,-2.5996542,39122
4.9179897,10.564864,-3.470545,39322
1.1201872,5.83452,-2.2662616,39527
2.1353285,9.953744,-3.5082536,39720
3.3551743,9.350405,-0.69566524,39920
-0.19363107,2.216881,-2.8253076,40121
-0.0074818805,7.8642044,-3.1227872,40329
2.3023243,6.183475,-2.7175686,40521
4.594174,12.760346,-2.746299,40725
1.73011,12.2497835,-0.580145,40922
4.255993,7.8103347,-5.9712887,41122
0.6497265,7.2488947,-3.375974,41325
6.304831,11.763162,1.0646715,41525
2.0850503,6.780828,-3.8200984,41723
9.849446,4.762516,6.955006,41925
3.2216976,6.542605,-1.9298762,42121
5.7541647,9.188796,-1.357662,42323
1.8761563,7.0400004,-3.0737062,42528
3.446154,10.453533,-1.3618518,42725
3.498228,9.650877,-2.5781064,42923
8.384793,12.861502,-10.446052,43122
-0.66229606,10.436175,-2.14296,43324
1.7432781,12.319814,-2.1692963,43526
1.345242,8.44839,-4.3264723,43726
7.7640967,19.822044,-0.2653075,43924
3.3354223,10.35178,-2.666093,44123
6.7752914,11.493814,-5.947945,44323
0.6395511,6.36304,-1.4983213,44520
4.4349594,11.284322,-5.5487123,44721
2.1419127,10.659435,-3.8362594,44921
4.1871595,14.250737,-11.270854,45120
0.78679454,8.866776,-2.1890485,45343
4.3176436,7.612813,-3.0521584,45527
0.1110311,3.4612675,-1.7347487,45722
0.4127005,7.9444103,-3.6387377,45921
3.4497454,8.447192,-2.2279544,46122
-0.3696049,4.0472484,-4.9926586,46322
2.604592,6.978948,-2.6547208,46521
2.1592708,7.0543656,-3.115006,46722
8.290223,19.822044,5.4783826,46922
2.3759458,11.668591,-4.077475,47122
3.568857,7.6750627,-3.7817912,47322
1.6014217,5.5956984,-2.9522004,47522
6.826767,9.206753,-2.5164557,47722
1.7791911,7.627777,-2.1752818,47922
7.066187,10.127323,1.5052047,48122
2.3627777,7.5098624,-2.9288568,48322
3.266589,6.8801875,-4.2965446,48522
1.7552491,8.669853,-0.65915364,48726
3.2821512,11.0317335,-0.4388871,48922
3.4401686,8.185027,-2.8570309,49123
5.079598,10.885687,1.9738697,49323
-1.0405799,12.001984,1.8134582,49523
8.913912,8.640524,-4.333056,49724
3.2875383,9.163059,-4.6903906,49923
8.425495,14.154969,1.4986206,50123
3.1732152,8.141932,-3.0126538,50324
5.9995704,11.195736,-8.636035,50523
2.1263504,10.999412,-0.48078564,50724
0.947206,12.407202,0.4750994,50924
2.508824,7.2985744,-4.097826,51124
0.026036944,11.638064,4.541651,51324
3.540725,9.980679,-3.368193,51524
7.894581,12.452093,-5.352986,51724
2.29993,7.0364094,-0.47899,51924
0.37379473,13.8024235,0.41584292,52125
2.407669,8.988881,-3.256264,52324
10.801142,19.822044,-10.760291,52524
0.2415151,10.597186,0.010025719,52726
6.568193,8.630349,-3.7698202,52925
1.2596494,3.5037646,-0.55799866,53125
2.8200703,10.059688,-3.1796496,53326
2.728492,8.891317,-0.94047236,53523
0.2451064,3.4660559,-4.1283517,53726
0.40372226,7.223157,-2.9360394,53926
4.6067433,7.4128976,-2.2967875,54126
4.4750624,7.7468886,-4.201375,54326
-5.357924,16.003891,-4.005649,54526
3.647267,7.022044,-4.2259154,54726
1.5289971,3.7288196,-2.722357,54926
0.38456866,6.8418803,-2.5403976,55127
3.6029742,6.3139586,-2.7403135,55326
7.612065,19.235466,5.1348143,55541
1.0286089,14.166941,-3.1090205,55727
6.1174846,5.724985,-8.378658,55927
1.9677346,7.625383,-2.9402294,56127
8.835502,8.870966,0.9497499,56327
2.5058312,7.6068277,-3.071312,56527
6.7854667,10.8647375,3.9407063,56727
-0.2510919,13.133842,-2.7887962,56929
9.070732,6.4324718,-3.1557074,57127
2.265214,7.647529,-1.3031939,57327
9.580099,12.364705,0.1925836,57530
3.351583,7.6187987,-3.2107742,57728
10.83885,8.547151,-6.824223,57928
3.7867293,9.699959,-2.9988873,58128
3.8130655,9.46832,-7.686136,58328
2.4872763,8.80752,-5.920412,58530
2.8691514,15.270069,3.1458313,58729
4.3044753,10.288334,-2.165705,58928
7.679103,14.327352,-10.760889,59128
-2.2310967,8.723722,5.2275896,59328
1.9449896,12.555044,-4.649091,59528
1.4930841,7.685238,-2.0603602,59728
7.8939824,19.822044,-3.4819174,59929
