x,y,z,tempo
-7.5291657,3.9031472,5.0523643,10137
-7.991845,3.7822402,4.622605,10336
-7.8475947,3.7936125,4.5274353,10535
-7.7823524,3.7523127,4.5902834,10728
-7.9146323,3.726575,4.450821,10934
-7.7494326,3.6715083,4.4526167,11136
-8.128913,3.679888,4.1838675,11333
-8.002619,3.743933,4.321534,11534
-8.0127945,3.7463272,4.404134,11733
-7.9206176,3.7062242,4.3777976,11934
-7.9421654,3.7457285,4.425682,12134
-7.891887,3.733159,4.465186,12336
-7.9152308,3.7702692,4.4424415,12534
-7.949348,3.788824,4.4544125,12732
-7.9146323,3.7852328,4.4568067,12937
-7.941567,3.843891,4.5118732,13134
-7.8248496,3.7122097,4.669292,13333
-7.796119,3.8588545,4.5621514,13537
-7.814076,3.7720647,4.5232453,13732
-7.929596,3.8355112,4.3861775,13937
-8.085219,4.03004,4.337096,14137
-8.306683,3.7804444,4.0599675,14334
-7.732673,3.3207579,4.964976,14532
-7.463924,3.2255883,5.018845,14732
-7.836222,3.5075054,4.836886,14937
-7.3843164,3.9073372,5.0026846,15147
-7.743447,3.5230677,5.258864,15339
-7.563283,3.5338416,4.9679685,15536
-7.699154,3.727772,4.9613843,15738
-7.65965,3.7618895,4.817134,15937
-7.699753,3.7726634,4.859032,16136
-7.7470384,3.6481647,4.705205,16336
-7.487866,3.7966053,4.891354,16539
-7.430405,3.7361517,5.024831,16739
-7.6255326,3.799598,4.9027267,16941
-7.7069354,3.7984009,4.833295,17141
-7.599196,3.7984009,4.957793,17339
-7.611766,3.8402996,4.9003325,17541
-7.4926543,3.8391025,4.869208,17743
-7.8068933,3.7840357,4.7016134,17943
-7.851186,3.9019501,4.6764746,18142
-7.621941,3.6601357,5.0212393,18345
-7.6889787,3.7247794,4.9069166,18541
-7.6710224,3.6858735,4.9188876,18740
-7.7344685,3.7391446,4.88896,18945
-7.6985555,3.6044707,4.9188876,19141
-7.819463,3.7403417,4.871602,19344
-7.603985,3.591901,5.0344076,19548
-7.590218,3.743933,5.0104656,19741
-7.5566993,3.7642837,4.975151,19944
-7.589619,3.8522706,4.924873,20153
-7.630321,3.8019924,4.8937483,20341
-7.551312,3.8624458,4.9146976,20543
-7.5806413,3.8133647,4.9224787,20735
-7.6015906,3.7978024,4.9045224,20944
-7.577648,3.8235402,4.9398365,21142
-7.579444,3.8259344,4.956596,21344
-7.6129627,3.8325183,4.951209,21542
-7.569867,3.8115692,4.943428,21745
-7.555502,3.8061821,4.9398365,21947
-7.602189,3.8061821,4.903325,22146
-7.575254,3.8187518,4.9548006,22343
-7.579444,3.840898,4.9536033,22544
-7.5866265,3.8253357,4.9625816,22743
-7.5842323,3.8271315,4.953005,22944
-7.5602903,3.8379054,4.979341,23146
-7.5704656,3.8301241,4.984728,23344
-7.553706,3.8193502,4.960786,23547
-7.577648,3.7870286,4.959589,23745
-7.5962033,3.8402996,4.948815,23945
