x,y,z,tempo
-7.495647,3.1346085,5.504868,10138
-7.5016327,3.156755,5.5168395,10332
-7.469909,3.1627405,5.4911017,10530
-7.48607,3.1723173,5.5204306,10732
-7.475296,3.145981,5.539584,10931
-7.49026,3.1681273,5.4743423,11131
-7.4950485,3.1507695,5.5096564,11332
-7.469909,3.1519666,5.501277,11538
-7.4746976,3.1591492,5.4922986,11741
-7.5052238,3.1334114,5.503671,11940
-7.506421,3.157952,5.4845176,12142
-7.4711065,3.152565,5.5168395,12340
-7.5136037,3.1591492,5.489306,12541
-7.5124063,3.1531637,5.518635,12745
-7.4932528,3.1370027,5.499481,12938
-7.595605,3.1477766,5.419874,13142
-7.8972745,3.4075475,5.37199,13340
-7.8529816,3.0933087,5.2289367,13539
-7.9433627,3.2555158,5.051167,13741
-7.9828672,3.1214404,4.876989,13940
-7.357382,2.747945,5.0876784,14142
-7.5285673,2.906561,5.0984526,14341
-7.6375036,3.0412347,5.400122,14540
-7.608773,3.1334114,5.374983,14741
-7.586028,3.145981,5.383961,14940
-7.669825,3.193865,5.070919,15148
-7.565677,3.1669302,5.357625,15339
-7.6428905,3.165733,5.2786164,15540
-7.608773,3.168726,5.309142,15741
-7.654263,3.1561563,5.3103395,15940
-7.6321163,3.164536,5.3019595,16142
-7.651869,3.181894,5.3025584,16341
-7.6225395,3.1759086,5.3019595,16540
-7.6333137,3.1681273,5.3127337,16740
-7.635708,3.176507,5.2917843,16941
-7.6231384,3.1651347,5.2995653,17141
-7.627328,3.1693244,5.2965727,17340
-7.61835,3.1483753,5.3438582,17540
-7.626131,3.1962593,5.3025584,17741
-7.6333137,3.1693244,5.282806,17939
-7.6351094,3.1800983,5.297171,18141
-7.6764092,3.1627405,5.3025584,18341
-7.6404963,3.1944637,5.2798133,18542
-7.6267295,3.1549592,5.301361,18741
-7.626131,3.1651347,5.298967,18941
-7.6351094,3.1621418,5.2905874,19145
-7.668628,3.3225534,5.3402667,19341
-7.662044,3.1717186,5.2846017,19540
-7.656657,3.0484173,5.2852,19741
-7.9104424,3.1471782,5.325303,19940
-7.85358,3.2225955,5.3354783,20143
-7.6764092,2.882619,4.9972973,20340
-7.5046253,3.2196028,5.327099,20540
-7.9343843,3.7002387,5.410896,20742
-7.7649946,3.2303767,5.295376,20941
-7.690176,3.083732,5.2768207,21143
-7.6692266,3.09271,5.2840033,21341
-7.641693,3.0891187,5.283405,21542
-7.6530657,3.0909145,5.3342814,21736
-7.632715,3.093907,5.3103395,21949
-7.6548615,3.1142578,5.319318,22148
-7.639898,3.105878,5.3127337,22347
-7.65546,3.1040826,5.301361,22547
-7.627328,3.0909145,5.3755813,22761
-7.6291237,3.0998926,5.319318,22959
-7.6464815,3.0897174,5.3384714,23153
-7.6470804,3.0969,5.285799,23349
-7.6590514,3.071761,5.2905874,23544
-7.6482773,3.0831332,5.3504424,23749
-7.6560583,3.079542,5.312135,23949
-7.6602483,3.095703,5.3420625,24148
-7.675212,3.103484,5.346851,24348
-7.642292,3.1184478,5.3396683,24549
-7.6404963,3.1082723,5.357026,24763
-7.6590514,3.093907,5.305551,24949
-7.657854,3.084929,5.3163247,25167
-7.6404963,3.0986955,5.3079453,25349
-7.641693,3.086126,5.283405,25549
-7.6847887,3.1196449,5.342661,25763
-7.8475947,3.357868,5.1888337,25953
-7.7009497,3.0310593,5.3498435,26152
-7.6919713,3.0777464,5.3163247,26349
-7.6650367,3.0897174,5.318719,26549
-7.6171527,3.0909145,5.355231,26745
-7.65965,3.0747535,5.322909,26964
-7.6440873,3.0753522,5.341464,27160
-7.6488757,3.0783448,5.3366756,27361
-7.6213427,3.0963013,5.3462524,27574
-7.5770497,3.328539,5.439028,27761
-7.6093717,3.0244753,5.3743844,27964
-7.7129207,2.9735985,5.395932,28164
-7.6788034,2.9759927,5.3247046,28362
-7.571663,3.1190462,5.475539,28559
-7.550115,3.0879216,5.409699,28764
-7.591415,3.0609868,5.4462104,28962
-7.685986,3.1501708,5.282806,29164
-7.559692,3.1160536,5.3803697,29365
-7.635708,3.1232362,5.2875943,29559
-7.6165543,3.1148565,5.3402667,29763
-7.629722,3.145981,5.321712,29965
-7.615357,3.127426,5.367202,30174
-7.621941,3.0783448,5.3384714,30362
-7.6524673,3.1124623,5.3378725,30563
-7.651869,3.1483753,5.306748,30762
-7.606379,3.2393548,5.325303,30963
-7.8589673,3.430891,5.1026425,31167
-8.33242,3.1944637,5.273828,31364
-7.459734,2.665345,5.378574,31562
-7.3657618,3.354875,5.6299653,31765
-7.282563,3.2866404,5.6108117,31958
-7.7823524,3.3171666,5.187038,32158
-7.280169,3.0370448,5.5288105,32358
-7.5734587,2.9388826,5.345055,32553
-7.542334,3.1358056,5.276222,32757
-7.713519,3.0352492,5.1481323,32960
-7.7949224,3.071761,5.1888337,33148
-7.727286,3.0113072,5.0344076,33360
-7.8823104,3.0113072,4.8614264,33557
-7.762002,3.0460231,5.2115784,33758
-7.745841,3.105878,5.2959743,33957
-7.677606,3.079542,5.2875943,34163
-7.633912,3.145981,5.327099,34359
-7.6608467,3.1250317,5.277419,34558
-7.674015,3.086126,5.309142,34762
-7.593809,3.0681696,5.3528366,34959
-7.633912,3.0669725,5.3288946,35160
-7.65127,3.0819361,5.3522377,35365
-7.757812,3.132813,5.341464,35561
-7.6069775,3.0747535,5.281609,35761
-7.656657,3.0561984,5.295376,35963
-7.6147585,3.0711622,5.358822,36161
-7.6919713,3.1148565,5.3169236,36376
-7.675212,3.0777464,5.3318872,36564
-7.6889787,3.0974984,5.270835,36760
