x,y,z,tempo
7.949348,0.007182605,5.510854,10132
7.6225395,0.20649989,5.4737434,10326
7.7799582,0.5722142,5.6096144,10526
7.915829,1.1168951,5.581483,10728
7.8410106,2.0392613,5.9801173,10926
7.7488337,2.131438,5.9531827,11125
7.7506294,1.8177977,5.715558,11328
6.831256,2.3852234,5.9807158,11525
6.699575,2.4361002,7.01142,11725
6.2021794,2.2882583,6.885724,11927
6.3661823,2.1589713,7.068282,12125
6.117185,2.4349031,7.0832458,12324
6.3751607,2.5390508,7.064092,12526
6.2362967,2.765303,7.1945763,12724
6.5146227,3.0430303,7.0461354,12923
5.6377463,3.1854854,7.4363904,13124
5.0427876,3.4674027,7.4645224,13323
4.629189,2.1799207,7.8039002,13523
5.723339,3.2746694,7.433398,13726
6.072294,3.4410665,7.1185603,13923
6.1758432,3.064578,7.057508,14123
6.256049,2.6629508,7.2101383,14323
6.8408327,2.8880057,6.6085954,14522
6.287772,2.7401638,7.1089835,14723
5.9741316,2.5181017,7.252037,14924
5.81791,2.558803,7.3226657,15127
5.7520695,2.9203274,7.474099,15321
5.509058,3.108871,7.216124,15524
5.893926,3.2603042,7.2382703,15722
5.807136,3.1663318,7.241862,15921
5.915474,3.0532057,7.2544312,16123
5.922058,2.9801826,7.2268977,16321
5.9124813,3.0017304,7.2388687,16520
5.8987145,3.0065188,7.2005615,16723
5.9825115,2.9466639,7.189788,16919
5.9783216,2.9694088,7.065888,17119
6.0441623,3.068768,7.0156097,17320
5.8867435,3.0400376,7.107786,17519
6.0878563,2.9951463,7.2610154,17720
5.989694,2.971803,7.1646485,17919
5.907094,2.9783869,7.1826053,18119
5.8622026,2.9855695,7.2089415,18319
5.8801594,2.9939492,7.143699,18521
5.895722,2.966416,7.1832037,18719
5.786187,2.9933507,7.2472486,18917
5.8723783,2.9933507,7.144298,19119
5.892729,2.967613,7.1963716,19316
5.866991,2.9753942,7.16405,19516
5.8891377,2.9777884,7.1502833,19718
5.849035,2.9628246,7.16405,19916
6.0609217,2.943671,7.132327,20116
5.9890957,2.9101522,7.077859,20316
6.1501055,2.883816,7.0754647,20516
6.1866174,2.9658175,7.203554,20717
6.2913637,2.6192567,6.8049197,20919
6.2219315,2.7431567,6.8210807,21115
6.51163,2.6473885,6.8198833,21316
7.089231,2.735974,6.691794,21518
6.777985,2.7964275,6.157887,21716
6.9958572,2.367267,6.551733,21914
6.681618,2.873042,6.597821,22111
6.1662664,3.0184898,6.939594,22314
6.567894,2.8149827,6.657078,22514
6.673837,3.0125043,6.655881,22718
6.369175,2.9011738,6.9946604,22913
6.63134,2.9059622,6.8162923,23113
6.479907,2.5971103,6.7504516,23315
6.4362125,2.7102363,6.7803793,23513
6.505046,2.8269536,6.8043213,23713
6.0046577,2.96881,6.9557543,23915
6.4631476,2.8119898,6.7546415,24113
6.30932,2.9376855,6.8091097,24312
6.4206505,2.8628666,6.8384385,24513
6.2075663,2.9053638,6.9461775,24711
6.359598,2.9119477,6.8462195,24911
6.303933,2.866458,6.9168487,25114
6.3368535,2.8449101,6.870162,25317
6.227917,2.831742,6.925827,25510
6.4487824,2.8736405,6.8001313,25713
6.157887,2.8407204,7.006033,25911
6.3422403,2.9071593,6.9767036,26111
6.5361705,2.8700492,6.9090676,26306
6.7001734,2.4594438,6.6121864,26510
6.5385647,2.8233624,6.649895,26710
6.2865753,2.914342,6.5577183,26910
6.671443,3.0591912,6.6947865,27111
6.321291,3.0454245,7.1245456,27312
6.419453,2.920926,6.566098,27512
6.3985043,2.918532,6.719327,27710
6.5068417,2.9538465,6.7743936,27909
6.187216,2.8263552,6.973711,28112
6.332065,2.7814639,6.899491,28308
6.3177,2.837129,6.8881183,28508
6.311714,2.6868927,6.9731126,28709
6.3392477,2.822764,6.871359,28908
6.347627,2.7832594,6.8282633,29107
6.3177,2.758719,6.953959,29310
6.2261214,2.7419596,6.9826894,29507
6.2620344,2.6611552,7.038953,29709
6.151303,2.6809072,7.113772,29902
6.1183825,2.6629508,7.143699,30107
6.0327897,2.7084408,7.1939774,30305
5.7245364,2.9269116,7.33344,30509
6.090849,3.0214825,7.067683,30706
6.0411696,2.8550856,7.176021,30907
6.081871,2.8401217,7.0742674,31109
6.0106435,2.7503393,6.974908,31306
6.1955953,2.7563248,6.9820905,31505
6.2249246,2.7730842,6.909666,31702
6.233304,2.7742813,7.0467343,31905
6.129156,2.8449101,7.073669,32099
6.147113,2.846706,7.067683,32308
6.0806737,2.7263973,7.1065893,32504
6.1357403,2.8299465,7.0251865,32704
6.057929,2.7455509,7.185598,32901
6.091448,2.765303,7.1514807,33104
6.059126,2.7856536,7.1448965,33303
6.042965,2.8646624,7.15567,33506
6.0208187,2.6569653,7.0874357,33704
5.990891,3.122039,6.9437833,33903
6.1243677,3.0388405,7.1065893,34105
5.9639564,3.0005333,7.1784153,34302
6.1010246,2.926313,7.0646906,34502
5.9561753,3.1747115,6.9886746,34704
5.969942,2.9963434,7.1664443,34902
6.171055,2.9831753,7.071873,35102
5.961562,2.956839,7.0904284,35304
6.105813,2.949058,7.0850415,35495
6.136339,3.0903158,7.144298,35702
6.1782374,2.835932,7.0994067,35904
6.1129956,3.015497,6.971317,36101
6.241085,2.9508536,7.0006456,36301
6.147113,2.9287071,6.9892735,36503
6.1566896,2.8963854,6.974908,36701
6.217742,2.8491,6.9796963,36900
6.211756,2.8562827,6.963536,37102
6.2195373,2.9053638,6.9557543,37300
6.2434793,2.825158,6.9330096,37499
6.2650275,2.9700072,6.8719573,37702
6.193201,2.8311436,6.921637,37899
6.2404866,2.7377696,6.9288197,38099
6.215946,2.8293478,6.9461775,38301
6.3769565,2.896984,6.8767457,38498
6.3584013,2.783858,6.855198,38699
6.345233,2.755726,6.8982935,38901
6.4026937,2.753332,6.7959414,39099
6.477513,2.7617116,6.8408327,39298
6.3177,2.7694929,6.811504,39498
6.577471,2.7862523,6.8683662,39698
6.575675,2.8604724,6.6959834,39897
6.4601545,2.6880898,6.595427,40100
6.740875,2.8179753,6.4541693,40296
6.6726403,2.6150668,6.6600704,40496
6.558317,2.7503393,6.59004,40696
6.5631056,2.6408045,6.591237,40896
6.588843,2.742558,6.7306995,41096
6.491279,2.7724855,6.693589,41298
6.582259,2.653374,6.630143,41495
6.579865,2.707842,6.693589,41696
6.892308,2.7395654,6.678027,41899
6.551733,2.6791117,6.6307416,42096
6.754043,2.7850552,6.533178,42295
6.6079965,2.6084828,6.6247563,42496
6.741473,2.8449101,6.503849,42694
6.654085,2.8083985,6.571485,42894
6.95755,2.722806,6.6612678,43096
6.7923503,2.7461493,6.3601966,43294
6.9120603,3.0579941,6.347627,43496
6.867768,3.1262288,5.973533,43697
6.8132997,3.1783028,6.108207,43894
7.355586,2.8173769,5.7987566,44094
7.2819643,3.6715083,5.0014873,44294
7.844003,3.757101,4.59567,44496
8.071452,2.8269536,4.0623617,44692
6.751649,2.9843724,5.3941364,44893
6.994062,5.6299653,5.0463786,45093
6.469133,-0.89782566,6.6205664,45293
5.9244523,4.785411,5.840655,45494
5.9250507,4.909311,6.003461,45692
6.2063694,4.793192,5.969942,45899
5.6856303,4.908712,6.2327056,46088
6.211756,4.687248,5.580884,46292
5.9621606,4.9135003,6.1141925,46490
5.6509147,4.8662148,6.308123,46695
5.943007,4.8895583,6.047155,46891
5.607819,4.9996915,6.3099184,47090
5.5563436,5.105635,6.2165446,47290
5.6215854,4.969166,6.296152,47490
5.5461683,4.970961,6.319495,47691
5.5802855,5.0236335,6.250662,47892
5.5509567,5.0302176,6.293758,48089
5.2863975,4.997896,6.5325794,48289
5.0224366,5.393538,6.1955953,48492
6.4924765,4.779425,5.732916,48690
5.4486046,5.4617724,6.3578024,48888
5.3049526,5.637148,6.6804214,49091
5.205593,5.1918263,5.9807158,49288
5.1379566,5.2127757,6.1022215,49488
5.1906295,5.5539494,6.083068,49692
5.1355624,5.179257,6.132149,49887
5.315128,5.283405,6.3350577,50087
5.587468,5.837662,7.1670427,50288
5.2959743,5.4312468,5.9280434,50486
5.354632,5.043386,6.43741,50686
5.4204726,5.0781016,6.327875,50888
5.2397103,5.1241903,6.465542,51087
5.48751,5.1780596,6.282984,51286
5.279215,5.1140146,6.3524156,51488
5.4192758,5.1786585,6.3177,51685
5.33907,5.1666875,6.3123126,51886
5.3079453,5.2121773,6.3302693,52082
5.365406,5.1648917,6.3350577,52285
5.4025164,5.21098,6.3512187,52485
5.358822,5.205593,6.35062,52687
5.3606176,5.1876364,6.3260794,52884
5.325303,5.1786585,6.319495,53084
5.313332,5.177461,6.469133,53286
5.231331,5.1301756,6.3805475,53483
5.2002063,5.101445,6.491279,53684
5.3061495,5.1397524,6.4368114,53886
5.1355624,5.121197,6.39192,54083
5.333084,5.643732,5.9861026,54283
5.229535,5.149928,6.293758,54485
5.834071,5.1355624,6.215348,54683
5.0038815,5.0320134,6.283582,54883
4.923077,5.2917843,6.3739634,55085
5.0362034,5.0182467,6.5858502,55282
5.0661306,4.9841294,6.4499793,55482
4.943428,5.1966147,6.628946,55685
5.149329,5.149928,6.579865,55882
5.0122614,5.149329,6.6085954,56082
5.007473,5.1247888,6.679823,56282
5.0427876,5.0781016,6.741473,56482
5.145738,5.0882773,6.6708446,56681
4.824915,5.153519,6.4224463,56883
4.622605,5.209184,6.2967505,57081
4.8506527,5.4486046,6.5631056,57280
4.8482585,5.257068,6.6588736,57481
5.2756233,5.0637364,6.615179,57680
5.059547,5.324106,6.704962,57879
5.1223946,5.005079,6.679823,58082
5.3396683,4.96737,6.889914,58279
5.073912,5.00448,6.7624226,58479
5.2852,5.118803,6.3284736,58682
5.7544637,4.8225207,6.2315083,58879
5.795165,5.116409,6.2021794,59078
5.5862713,4.8344917,5.9729347,59281
6.1040173,4.6232033,6.4230447,59478
5.5521536,5.065532,6.2404866,59679
5.1355624,5.3324857,6.311714,59881
