x,y,z,tempo
0.4345476,9.746197,0.37349546,10129
1.2455834,10.436924,-1.2707225,10311
-0.9983821,10.848726,1.039682,10511
0.82121116,10.809821,0.54288524,10717
-1.3251907,7.1514807,3.0376434,10915
-7.101202,3.4608185,-0.6781576,11110
-1.2054806,8.663419,-0.54408234,11316
-0.18555063,10.436924,-1.6597804,11510
0.7882909,11.20247,-1.2018893,11710
0.641646,5.119402,-1.0546459,11917
-0.29628247,14.347254,9.850943,12112
1.7447745,11.810597,-2.2182279,12310
-0.5105635,8.654441,-0.4369418,12517
2.7222073,12.594698,-3.4087446,12710
-1.4796166,14.546571,0.88525605,12911
-2.5121162,2.9873652,0.40222588,13116
-3.8121676,3.839701,2.2421699,13310
1.1414356,13.552379,-1.6591818,13509
0.5566519,8.988432,-0.7134721,13724
-0.54408234,12.546215,-2.903568,13910
-2.4791958,11.222222,-0.80684596,14111
-1.858499,4.2341456,0.9576807,14316
-6.679224,18.977041,3.4985273,14508
0.44113165,10.14124,-1.775899,14708
0.4794389,7.900267,-1.2880806,14916
3.394978,13.172299,-2.1559787,15108
-3.6122518,8.057087,-2.1709423,15309
0.19512744,7.7560163,2.3235726,15516
-2.80361,11.680712,2.4660277,15708
-1.3772645,7.60997,0.7679402,15908
0.7649474,10.603919,-1.2264298,16109
-3.4518404,9.907207,0.037708677,16305
1.6154876,7.0712748,-2.2577322,16506
5.4312468,12.610859,8.740033,16710
-6.317101,2.1888988,-1.3934253,16903
-2.207454,7.1407065,-0.41240123,17103
1.0851719,10.138845,-1.8351556,17311
-3.1226375,10.470443,0.6655881,17503
0.26994625,7.4310036,-4.5406036,17703
1.9841946,12.008119,6.129755,17908
-4.8638206,9.193136,0.694917,18103
0.58657944,9.11293,-3.0603883,18303
0.31783026,8.67958,-0.8858546,18503
1.9835961,12.071565,-0.8678981,18703
-3.3039982,11.625645,0.22266077,18911
-0.79726917,4.542998,1.8620903,19115
-6.4547677,17.062279,3.5104983,19303
-0.24779987,11.456255,0.48003745,19503
-0.088585466,9.485229,-0.2148796,19710
-0.17956513,12.413936,0.56323594,19904
-2.919729,10.985794,0.93373865,20094
-1.8608932,6.5984197,3.5098996,20308
0.729633,11.2689085,5.795764,20502
-3.7379475,0.49200845,-1.9835961,20704
0.5069722,9.367912,-0.83138657,20909
1.3461399,7.792528,-1.1941081,21104
3.9761705,12.787432,-1.6968905,21302
-1.5221137,11.759122,1.09834,21510
-3.2932243,3.8061821,1.5801731,21702
-2.8508956,4.6483426,4.408324,21903
0.88405895,10.848128,-0.30107087,22111
0.3890578,6.766014,-0.12509704,22303
-0.065242,14.129381,-2.0895395,22503
0.05686229,12.486361,0.8194155,22701
-3.6511576,3.9019501,0.38606504,22900
1.2479776,4.663306,5.7724204,23101
2.9706059,11.394006,-0.1364695,23309
0.5590461,9.091981,0.44831428,23500
