x,y,z,tempo
1.769315,-4.317344,-8.6299,10131
1.7609353,-4.2437224,-8.689755,10333
1.7447745,-4.255095,-8.690952,10535
1.7579426,-4.252701,-8.690353,10730
1.7687165,-4.250905,-8.72088,10934
1.7669208,-4.235343,-8.707711,11132
1.7292122,-4.244321,-8.724471,11331
1.7489643,-4.24492,-8.6813755,11551
1.7753005,-4.2461166,-8.75799,11729
1.7717092,-4.261679,-8.685565,11931
1.769315,-4.291008,-8.70831,12134
1.7818847,-4.238934,-8.710705,12331
1.785476,-4.257489,-8.674791,12534
1.79206,-4.256292,-8.684967,12733
1.8231846,-4.26946,-8.711902,12930
1.816002,-4.277241,-8.695142,13130
1.8429368,-4.2610803,-8.74542,13335
1.8261774,-4.267066,-8.659229,13534
1.8297687,-4.2904096,-8.664018,13733
1.809418,-4.268862,-8.708909,13934
1.8237832,-4.2874165,-8.681973,14134
1.8177977,-4.280833,-8.704121,14332
1.7914615,-4.285621,-8.676587,14537
1.8201919,-4.286818,-8.67958,14733
1.8327614,-4.280833,-8.672397,14932
1.8537107,-4.2850223,-8.702325,15137
1.8561049,-4.2904096,-8.696938,15333
1.8794483,-4.267066,-8.711902,15552
1.8525136,-4.2838254,-8.6813755,15738
1.8698715,-4.281431,-8.676587,15933
1.8555063,-4.2874165,-8.674791,16135
1.899799,-4.288614,-8.619724,16336
1.9087774,-4.3047748,-8.669404,16533
1.9213469,-4.301183,-8.614936,16736
1.8806454,-4.295198,-8.669404,16937
1.8752584,-4.3077674,-8.668207,17135
1.8872294,-4.305373,-8.6496525,17335
1.8740613,-4.296395,-8.628703,17537
1.8950106,-4.2784386,-8.670003,17736
1.8926164,-4.2784386,-8.641871,17934
1.8950106,-4.2999864,-8.6334915,18137
1.9147629,-4.2999864,-8.6299,18334
1.9099745,-4.3041763,-8.678383,18537
1.9021933,-4.2981906,-8.645462,18732
1.9033904,-4.2880154,-8.662222,18938
1.8788497,-4.288614,-8.674192,19136
1.8890251,-4.285621,-8.672996,19339
1.8668787,-4.3059716,-8.682572,19535
1.8926164,-4.283227,-8.645462,19732
1.9033904,-4.295198,-8.670003,19939
1.9075803,-4.2862196,-8.638878,20137
1.8782512,-4.3023806,-8.677185,20336
1.8980033,-4.2718544,-8.668207,20540
1.8992004,-4.293402,-8.695142,20737
1.8974048,-4.2778397,-8.690353,20939
1.8776526,-4.2874165,-8.677185,21140
1.9033904,-4.2945995,-8.683171,21336
1.8950106,-4.2922053,-8.67958,21536
1.8854338,-4.259285,-8.655039,21736
1.8974048,-4.2850223,-8.643068,21940
1.8908207,-4.2700586,-8.693346,22139
1.8842367,-4.26946,-8.696339,22341
1.9123687,-4.2981906,-8.683769,22537
1.9327193,-4.291008,-8.647857,22738
1.9135658,-4.2898107,-8.667608,22942
1.9183542,-4.297592,-8.702923,23139
1.8974048,-4.299388,-8.668207,23346
1.9213469,-4.296395,-8.643666,23542
1.9003977,-4.276643,-8.68796,23736
1.9075803,-4.284424,-8.670003,23940
1.9141643,-4.2820296,-8.688558,24139
1.917157,-4.2898107,-8.689157,24337
1.899799,-4.2862196,-8.659827,24538
1.9452889,-4.2796354,-8.655039,24729
1.9428947,-4.2922053,-8.661623,24922
1.9255368,-4.283227,-8.63828,25140
1.9375077,-4.2969937,-8.660426,25344
1.9369092,-4.2981906,-8.673594,25539
1.9183542,-4.3077674,-8.661025,25741
1.9387048,-4.2874165,-8.6496525,25942
1.9476831,-4.299388,-8.65863,26143
1.9375077,-4.296395,-8.649054,26339
1.9458874,-4.3065705,-8.66701,26540
1.9482816,-4.3047748,-8.662222,26740
1.9680338,-4.313154,-8.628703,26940
1.9476831,-4.2862196,-8.641273,27147
1.9243397,-4.2916064,-8.659229,27340
1.9476831,-4.296395,-8.67958,27538
1.9321208,-4.291008,-8.625112,27742
1.9321208,-4.2940006,-8.668207,27940
1.9608512,-4.299388,-8.636484,28144
1.9452889,-4.299388,-8.645462,28352
1.9991584,-4.3065705,-8.654441,28539
1.9913772,-4.3077674,-8.665813,28741
2.0099323,-4.3179426,-8.607155,28941
2.0015526,-4.313154,-8.635287,29144
2.0141222,-4.334702,-8.622718,29341
2.0350714,-4.3239284,-8.645462,29628
2.0320787,-4.313753,-8.650849,29742
1.99437,-4.320337,-8.616732,29938
2.0015526,-4.3143516,-8.617929,30147
2.0009542,-4.3197384,-8.641871,30343
2.0494366,-4.326921,-8.644265,30545
2.0853498,-4.3341036,-8.613141,30743
2.098518,-4.3406878,-8.59698,30942
2.071583,-4.346673,-8.546701,31147
2.0392613,-4.337695,-8.672996,31346
2.0111294,-4.32333,-8.644265,31541
2.007538,-4.3341036,-8.623915,31743
2.0213048,-4.322731,-8.660426,31940
2.0380642,-4.3263226,-8.605359,32147
2.0386627,-4.312556,-8.592192,32343
2.0727801,-4.321534,-8.632893,32547
2.0769699,-4.3317094,-8.59279,32744
2.082357,-4.3418846,-8.546103,32944
2.1057005,-4.372411,-8.617929,33150
2.134431,-4.3526587,-8.598776,33344
2.1176715,-4.362834,-8.550293,33545
2.1362264,-4.3819876,-8.547898,33747
2.146402,-4.361637,-8.595184,33944
2.1176715,-4.373009,-8.568848,34147
2.1051018,-4.3436804,-8.567651,34347
2.0655975,-4.3795934,-8.566454,34546
2.0691888,-4.370615,-8.589199,34751
2.0709844,-4.3646297,-8.583812,34950
2.042254,-4.347272,-8.604162,35148
2.0548236,-4.325724,-8.580819,35346
2.0763714,-4.361038,-8.56825,35548
2.0721815,-4.3239284,-8.603564,35741
2.0655975,-4.346673,-8.616732,35945
2.0602105,-4.3406878,-8.618527,36150
2.0745757,-4.343082,-8.613141,36346
2.047641,-4.3418846,-8.612542,36546
2.0410569,-4.349666,-8.5886,36749
2.0524294,-4.3382936,-8.582016,36947
2.0667946,-4.3317094,-8.637083,37149
2.0290859,-4.3676224,-8.59279,37349
2.054225,-4.3448777,-8.606557,37547
2.0536265,-4.3406878,-8.5538845,37747
2.0757728,-4.2922053,-8.652645,37950
2.0949266,-4.367024,-8.623316,38150
2.2134395,-4.390966,-8.446744,38355
2.1769278,-4.3999443,-8.564059,38554
2.1589713,-4.390966,-8.560468,38748
2.1547816,-4.3879733,-8.598776,38948
2.1428106,-4.386776,-8.579621,39153
2.1799207,-4.382586,-8.523358,39348
2.2170308,-4.410718,-8.5299425,39548
2.1823149,-4.385579,-8.534132,39750
2.203264,-4.4484267,-8.576629,39948
2.2481554,-4.392163,-8.524555,40152
2.235586,-4.4304705,-8.597578,40349
2.2529438,-4.4047327,-8.522759,40549
2.2056582,-4.4322658,-8.503606,40766
2.2266076,-4.449624,-8.552687,40950
2.2140381,-4.4286747,-8.524555,41152
2.2104468,-4.4125137,-8.488642,41348
2.2296004,-4.4280763,-8.5778265,41551
2.2625206,-4.459201,-8.468291,41750
2.2385786,-4.4597993,-8.477868,41951
2.1817162,-4.4436383,-8.513782,42156
2.212841,-4.4047327,-8.531139,42349
2.2331917,-4.414908,-8.486847,42549
2.2062569,-4.4562078,-8.534132,42753
2.1763294,-4.4220905,-8.570643,42955
2.1990743,-4.4580035,-8.500613,43154
2.1996727,-4.4759603,-8.458116,43361
2.2523453,-4.4526167,-8.469488,43549
2.759916,-4.6495395,-8.296508,43751
2.939481,-4.5842977,-7.019201,43957
2.9317,-4.945224,-7.406463,44154
3.1884782,-4.626795,-7.36217,44350
3.0897174,-4.7800236,-8.238448,44553
2.9759927,-4.8937483,-8.904634,44750
2.961029,-5.0332108,-8.383297,44963
2.9843724,-4.9919105,-8.132504,45161
2.8909986,-4.899135,-8.172607,45351
2.657564,-4.957195,-8.159439,45552
2.6030958,-4.905121,-8.197148,45756
2.5863364,-4.8907557,-8.210915,45955
2.5953147,-4.896741,-8.08881,46156
2.546832,-4.947019,-8.1720085,46356
2.5139117,-4.8680105,-8.169016,46552
2.4851813,-4.859032,-8.194156,46752
2.4396915,-4.8584337,-8.261791,46958
2.468422,-4.9996915,-7.953538,47156
2.461838,-4.9494133,-8.128913,47353
2.4307132,-4.8883615,-8.26239,47557
2.385822,-4.911106,-8.218098,47754
2.308609,-4.8524485,-8.222287,47954
2.2756886,-4.84766,-8.297106,48160
2.3092074,-4.8297033,-8.223484,48353
2.3786395,-4.9027267,-8.2169,48553
2.4109612,-4.973954,-8.161834,48757
2.3092074,-4.8859673,-8.279149,48954
2.268506,-4.8506527,-8.21271,49158
2.2505496,-4.7842135,-8.341399,49358
2.2421699,-4.7740383,-8.289325,49556
2.2260091,-4.7518916,-8.304289,49741
2.2457612,-4.7536874,-8.392276,49950
2.2343888,-4.7123876,-8.364742,50153
2.207454,-4.734534,-8.38629,50357
2.2481554,-4.71538,-8.345589,50557
2.2403743,-4.710592,-8.341997,50754
2.2655134,-4.7638626,-8.36175,50954
2.3427265,-4.9105077,-8.207922,51161
2.3582888,-4.9440265,-8.221688,51360
2.4199393,-5.021838,-8.124125,51558
2.48159,-5.106832,-8.073248,51771
2.461838,-5.125387,-8.125322,51965
2.4636335,-5.097255,-8.049905,52158
2.4624364,-5.1050367,-8.104373,52360
2.484583,-5.109825,-8.062474,52557
2.4732103,-5.122993,-8.057686,52758
2.4612393,-5.0882773,-8.102577,52960
2.468422,-5.083489,-8.113351,53158
2.4432828,-5.093664,-8.082227,53370
2.4378958,-5.088876,-8.058883,53559
2.4187422,-5.0505686,-8.173804,53769
2.3403323,-4.875193,-8.085219,53959
2.285864,-4.71957,-8.374319,54161
2.2637177,-4.755483,-8.309077,54359
2.2786815,-4.708796,-8.363545,54614
2.295441,-4.7309427,-8.366538,54749
2.303222,-4.720767,-8.313267,54959
2.307412,-4.7135844,-8.347384,55164
2.308609,-4.730344,-8.372523,55364
2.372654,-4.823718,-8.207323,55560
2.3505075,-4.830302,-8.253412,55761
2.3235726,-4.809353,-8.268974,55960
2.3169887,-4.732738,-8.374918,56160
2.2822728,-4.741118,-8.293514,56360
2.2810757,-4.698621,-8.313866,56559
2.2882583,-4.698621,-8.355764,56759
2.2828712,-4.69084,-8.347384,56959
2.307412,-4.677073,-8.364742,57160
2.2930467,-4.6776714,-8.373122,57361
2.2822728,-4.6980224,-8.371326,57559
2.285864,-4.69084,-8.341997,57760
2.2780828,-4.7099934,-8.344392,57960
2.2786815,-4.7147818,-8.378509,58159
2.2691047,-4.710592,-8.38629,58362
2.2816741,-4.675277,-8.327033,58560
2.2984335,-4.7165775,-8.325836,58761
2.3175871,-4.710592,-8.341399,58957
2.35769,-4.754286,-8.335413,59161
2.3463178,-4.7417164,-8.3629465,59360
2.345719,-4.759673,-8.342596,59562
2.3133974,-4.7548847,-8.336611,59756
2.344522,-4.7985787,-8.277354,59970
