x,y,z,tempo
-6.194997,15.956756,-4.3023806,10132
-1.1893197,9.241618,-2.6856956,10328
-0.7589619,10.746374,3.9791632,10528
-4.11264,9.011177,0.1448492,10725
-0.15682021,10.354922,0.40102878,10925
-0.7302315,8.891466,3.8133647,11127
-4.128801,19.612701,-1.5185224,11329
-2.556409,14.697406,2.9430726,11531
-2.5941176,9.316438,1.1629834,11726
0.66738373,9.973646,-0.05207389,11929
-3.4488475,8.39886,-0.9792285,12127
1.2366052,8.093599,1.5388732,12327
-2.3798366,7.0036387,3.9636009,12527
-3.3129766,18.612524,2.4037786,12725
-3.8474822,11.773487,-1.3874398,12926
-1.6041151,10.518925,2.5983074,13128
-1.5167267,9.952697,-0.08140286,13325
-3.1693244,7.8062944,-0.99179804,13525
-0.7380127,9.223063,2.5025394,13730
-1.3670892,8.051701,6.63553,13923
-6.2979474,15.0715,2.2649148,14128
-2.8449101,11.765706,-2.3409307,14329
-0.25438392,10.8229885,4.5016975,14526
-1.894412,9.304466,2.110489,14729
-3.602675,5.9771247,-0.05746084,14926
0.6793547,8.50181,2.5971103,15137
-1.8842367,9.400234,7.0527196,15327
-7.7506294,8.042124,5.9597664,15530
-1.5933412,9.697714,-1.0839748,15726
1.2192472,11.270704,2.7569232,15928
-4.0066967,8.384495,1.702876,16166
-1.6885108,8.468291,-1.359308,16315
-1.1546037,9.021951,0.8062474,16519
-2.0452468,8.705916,3.7750576,16731
-4.1742907,12.299014,-0.6619968,16930
-2.4833858,9.855133,-0.24779987,17130
-0.31064767,10.00896,1.4598645,17331
-0.5662287,9.812635,1.0354922,17529
-2.9616275,7.960122,-0.8110358,17730
-0.92416185,9.194932,1.2455834,17933
-2.8113914,7.441777,3.4554317,18131
1.0103531,8.574235,3.8295257,18330
-0.8888474,6.3153057,-0.17477672,18532
-3.6457705,8.777742,1.8327614,18729
-0.9175778,9.004593,1.009156,18934
-0.89662856,14.684836,-0.09756372,19130
-0.76554596,10.105926,2.9735985,19329
1.3150153,7.6608467,2.1769278,19531
-2.1320367,12.513894,4.754286,19731
-2.581548,12.070967,-3.4680011,19935
-2.3900118,8.353969,-0.12509704,20147
-0.4225766,9.631873,-0.09935937,20331
-3.098097,9.386468,-0.5386954,20530
-1.5059528,9.320627,0.82360536,20730
-2.634819,10.007165,2.9227216,20933
-3.25372,9.548077,0.55844754,21134
-2.6497827,8.820239,0.32202014,21332
-1.8429368,9.935937,1.7046716,21534
-2.2984335,9.391256,1.4532804,21731
-1.9728222,9.593566,1.8363527,21936
-3.0232782,8.725668,-0.050876785,22135
-2.6647465,7.2622123,0.12689269,22332
-0.8702923,8.812458,4.9506106,22542
-4.6202106,8.075643,0.10414778,22735
-1.0217255,8.687361,1.2210429,22937
-2.783858,7.9691005,2.4307132,23133
-0.74758947,13.650541,-3.942053,23335
-0.98341835,5.895123,0.30765492,23533
-0.6410475,7.98167,3.8025908,23733
-3.709217,13.927072,3.3620577,23939
-2.4863784,13.295601,-0.86131406,24133
-1.0378864,10.22384,1.7244238,24332
0.29987377,10.172963,1.8884265,24535
-3.2489316,8.214506,-3.0657754,24731
-2.1021092,10.912771,3.5350387,24933
-1.4688427,8.085817,4.9200845,25147
-3.0783448,15.585056,2.3122003,25332
-5.2995653,14.721947,-1.3371617,25532
2.6952724,9.871294,-0.110731825,25734
-0.93254155,9.688736,-0.65541273,25938
-3.0292637,8.1343,-0.2136825,26135
-0.9540894,8.328829,1.9674352,26335
-0.86969376,7.180211,4.609437,26533
-4.203021,11.446678,0.5422867,26734
-1.8716671,8.156446,0.42078096,26941
0.74758947,9.830592,4.6740804,27135
-1.3431472,11.965622,-1.5131354,27334
-4.3688197,9.43076,0.943914,27538
-2.112883,7.852383,1.5777789,27735
-1.3994108,9.585187,4.7764325,27939
-5.6120086,8.962694,2.1164744,28138
-0.24181437,8.515577,-0.4309563,28335
0.42556936,9.216479,1.9321208,28531
-0.6985083,7.4363904,1.1498153,28731
-2.6114755,7.445967,-0.66858083,28931
-1.560421,6.9928646,0.91458505,29133
-1.4203602,8.183381,2.653374,29332
0.3609259,9.094974,2.7862523,29530
-3.086126,8.618527,2.0638018,29731
-2.6210523,9.932944,0.5883751,29932
-0.5542577,9.350554,0.26156655,30133
-0.5482722,9.530719,1.347337,30332
-2.847903,9.595961,-0.7074866,30531
0.30466217,9.3026705,1.3251907,30731
-0.44651863,8.307879,4.1305966,30932
-3.2118216,10.379463,4.2293572,31135
-0.59376204,11.490373,-0.3716998,31333
-1.1767502,9.098565,1.9003977,31533
-1.3916297,8.933365,2.2906525,31733
-1.246182,14.610616,-0.4261679,31933
1.5861586,6.509236,8.015787,32134
-1.7537527,8.213309,3.1471782,32333
-1.7046716,10.029909,4.519056,32533
-0.7314286,8.053496,-2.1320367,32732
0.6937199,9.390657,2.6240451,32934
1.2162545,9.445126,0.9648633,33135
-0.8182184,12.49893,-0.088585466,33335
-3.2130187,11.689092,-1.5993267,33534
1.8148049,8.881889,3.4739866,33733
-1.7561469,9.129689,4.0479965,33935
-0.40222588,5.571906,1.6950948,34135
-7.2927384,6.9725137,2.2493525,34336
0.9391256,10.189124,-1.5831659,34534
-0.8062474,14.753071,-3.2746694,34735
-2.44448,11.124659,-0.7882909,34933
0.533907,10.09575,2.2505496,35135
-1.1246762,10.395624,2.1990743,35345
-1.2186487,8.7849245,-0.64823014,35534
-3.4997244,8.841787,1.3617022,35770
-1.2419921,9.535507,0.0700304,35941
-1.7136499,9.592369,1.9015948,36137
-4.1880574,6.7546415,0.17597382,36343
-0.93014735,8.881291,2.6725276,36536
-2.0626047,8.000824,4.531027,36735
-3.715801,14.928446,2.5629928,36935
-6.783372,15.327081,-2.3415294,37138
0.9427169,11.716624,0.9451111,37337
-0.90859956,10.778696,0.6338649,37534
-4.0785227,7.699753,-2.0129251,37737
-2.44448,9.010578,3.6140475,37935
0.7020996,8.41921,2.2786815,38138
-6.1716533,12.307394,4.3897686,38337
-4.0557775,14.061147,1.7705121,38536
-5.313332,7.8146744,-1.738789,38737
-0.46447513,9.935339,1.252766,38937
-4.185065,10.878056,-2.2104468,39138
-3.0597897,10.444705,2.0548236,39337
0.8810662,8.32404,2.8203697,39538
-2.822764,13.156737,2.4432828,39737
-2.831742,9.185355,1.3617022,39937
-2.48159,9.941324,0.095169514,40146
-1.4676456,10.132261,1.3359646,40346
-2.6713305,8.940548,1.146224,40539
-2.682703,7.9116397,-0.350152,40738
-1.4508862,9.610924,-0.15562311,40939
-2.160767,8.140884,2.3756466,41140
-2.2140381,9.384672,5.1343656,41341
-2.3008277,6.0399723,0.1340753,41538
-2.1039047,10.035895,0.45370123,41747
-1.4999673,9.650429,-0.5554548,41939
-2.272696,12.346299,-0.70509243,42140
0.84694886,7.1311297,3.5924997,42339
0.44831428,10.762535,2.1883004,42539
-2.331354,10.687118,-2.8030117,42739
-3.0699651,9.379285,-0.2088941,42939
-2.6491842,9.920973,5.157709,43141
-2.7275944,7.4082584,4.373009,43339
-2.6180596,8.301894,3.5942953,43539
-2.047641,8.591593,1.7202339,43741
-1.9069817,9.060258,-0.7398083,43939
-1.9482816,9.295488,-0.40761283,44140
-1.9243397,8.784326,0.4369418,44342
-0.26276365,11.156382,1.0151415,44538
-2.2655134,8.407838,-1.1593921,44740
2.3469162,6.537368,6.96174,44940
-1.5346833,7.3537903,2.1021092,45148
-2.291251,8.926781,2.5785553,45340
-0.9247604,5.2145715,0.8607155,45540
-1.6190789,8.585009,6.1249666,45740
-1.8130093,9.619903,0.0077811554,45940
-0.6991069,10.304046,0.84694886,46141
-2.168548,10.11251,0.03232172,46340
-0.87567925,11.908759,2.9406781,46529
-1.377863,8.236053,2.4073699,46741
-0.12689269,10.151415,4.0043025,46941
-1.0594343,6.0663085,1.4646529,47142
-2.5091233,9.860519,-0.5955577,47340
-1.6280571,8.122928,1.0241197,47540
-0.5327099,13.202227,-0.32142156,47739
-2.4091654,9.903017,2.8401217,47942
-1.5113398,7.917625,3.4554317,48142
-1.2856863,8.974665,5.3522377,48341
-1.3299791,4.300585,1.484405,48540
-1.7962499,8.552687,5.4144874,48741
-1.1797429,9.455899,-0.7158663,48940
0.40940848,12.766482,0.6344634,49143
-5.5288105,10.139444,1.050456,49343
-0.748188,9.817424,3.9324763,49548
