x,y,z,tempo
-8.393473,-2.5754128,4.3230305,10102
-8.45213,-2.5400984,3.8591537,10302
-9.035717,-1.6434698,2.7584198,10501
-9.97604,-1.1287165,1.166874,10704
-9.5253315,-0.059705406,-0.9316437,10902
-9.660006,0.7483377,-3.226486,11100
-7.9876556,-0.08783727,-6.7836714,11316
-7.6865845,0.23777416,-6.6968813,11502
-7.015011,0.2287959,-7.0554132,11702
-6.306926,0.16774376,-7.6126637,11905
-5.590461,0.11806407,-8.147169,12103
-4.811148,0.11566987,-8.633192,12305
-4.268263,0.18031332,-9.04679,12503
-4.1695023,0.3556886,-8.958205,12703
-4.868609,0.32396543,-8.734945,12906
-5.3995233,0.44427404,-8.629003,13104
-6.0651116,0.32875383,-7.7156143,13303
-6.8743515,0.35748425,-7.161955,13502
-7.9062524,0.47420156,-6.190508,13703
-8.803479,0.54662615,-4.4571056,13906
-9.558251,0.91234046,-3.0445268,14134
-9.475652,0.4568436,-1.3536218,14302
-9.8198185,0.34252048,0.9669582,14504
-9.792884,-0.64688337,2.1676505,14704
-9.083601,-2.2444146,3.2193034,14910
-8.321647,-2.3389854,3.7663786,15105
-8.718486,-2.2521956,4.095581,15305
-8.336012,-2.2432175,4.2452188,15505
-8.239645,-2.5436897,4.175787,15705
-8.294712,-1.9666871,3.4772787,15903
-9.066842,-1.2304701,2.1999722,16108
-9.464279,-0.56428343,0.3354875,16314
-9.388264,0.44846392,-1.7809868,16506
-9.052477,0.07616554,-5.282507,16708
-7.6788034,-0.45834,-6.9033813,16903
-5.3761797,-0.3302502,-8.686463,17106
-3.5661635,0.3084031,-9.196428,17308
-3.168726,0.47719434,-9.277232,17506
-3.1597476,0.49993923,-9.336489,17707
-3.25372,0.4664204,-9.353249,17905
-3.6834793,0.48796824,-9.334095,18107
-4.613028,0.28266543,-8.697237,18306
-5.868787,-0.1285387,-9.890746,18510
-5.7203465,-0.630124,-8.19625,18707
-6.183026,-1.1131542,-7.706636,18906
-7.4962454,-2.097171,-6.404789,19111
-9.292496,-2.8902504,-4.4026375,19307
-8.176797,-3.358317,-0.79278004,19508
-7.5668745,-4.2411785,0.49111062,19711
-8.128315,-4.6978726,0.952593,19908
-8.1343,-4.6398134,2.0688896,20109
-7.839813,-5.2096334,2.7171197,20311
-7.741651,-5.352687,2.9104514,20509
-7.715315,-5.172523,3.096002,20709
-7.603386,-5.2018523,3.045724,20912
-7.9649105,-5.0097175,2.5219922,21109
-8.355764,-4.5859437,1.345242,21299
-8.497621,-4.4153566,0.28341362,21512
-8.613739,-3.9269397,-1.2560581,21710
-8.847174,-3.378069,-3.321057,21911
-8.066066,-2.6544216,-5.320814,22112
-6.576872,-1.6297032,-7.117064,22308
-4.4184995,-0.3254618,-8.897153,22509
-2.0751743,-0.064493805,-9.746496,22713
-1.3060371,0.06120178,-9.735722,22911
-1.0696096,0.09531915,-9.76924,23109
-0.9828198,0.10729016,-9.749489,23312
-0.93613285,0.13362639,-9.763854,23509
-0.8996213,0.13661914,-9.745897,23712
-0.9151836,0.11746552,-9.727343,23914
-0.95468795,0.09172785,-9.760861,24109
-1.13964,0.0911293,-9.754277,24308
-1.9788077,-0.03935469,-9.693824,24512
-3.918111,-0.3883096,-9.230545,24710
-5.909488,-1.4657004,-7.776666,24911
-7.61416,-2.429965,-6.0468554,25113
-9.106945,-2.7214592,-3.2929251,25308
-9.306262,-3.110517,-1.7929578,25509
-8.836999,-3.7515645,-0.22774844,25712
-8.8645315,-4.1112933,1.0393828,25912
-8.376713,-4.4518685,1.5774796,26126
-8.213907,-4.4135613,1.4176667,26301
-8.409035,-4.4542627,1.6666636,26501
-8.754398,-4.150199,0.62099606,26713
-8.729858,-3.2691329,-0.54617727,26911
-9.224859,-3.0949545,-1.766023,27109
-8.714894,-2.4150014,-3.8040872,27309
-8.3150625,-2.1642087,-5.836166,27509
-6.682217,-1.3914801,-7.010522,27719
-5.060744,-0.33803135,-8.564958,27909
-2.77069,0.072574235,-9.553762,28110
-1.525705,0.20664953,-9.769839,28310
-1.3557167,0.19407998,-9.745298,28509
-1.3395559,0.21443069,-9.762657,28711
-1.2318168,0.20186113,-9.7363205,28910
-1.1845313,0.19707273,-9.738714,29110
-1.2264298,0.20605098,-9.749489,29312
-1.6747441,0.15816694,-9.75308,29510
-3.0585926,0.033069912,-9.4178915,29711
-4.590882,-0.36556467,-8.775647,29913
-5.9807158,-0.92401224,-7.7539215,30105
-7.8104844,-1.6213235,-6.428731,30312
-9.362526,-2.5047839,-3.048118,30512
-9.391854,-2.7448027,-1.2279263,30711
-8.436568,-4.0873513,-0.35344404,30912
-8.347982,-4.4734163,1.7785926,31113
-8.163031,-4.6811132,2.5740662,31313
-7.6889787,-4.843919,2.9266124,31520
-7.877522,-4.8355393,2.627337,31721
-8.267777,-4.6888943,2.0114286,31918
-8.974665,-4.1053076,1.1285669,32116
-9.171588,-3.6551979,-0.5539584,32321
-9.194932,-3.0075662,-2.0664954,32519
-9.018359,-2.3018754,-4.319439,32718
-7.4351935,-1.6045641,-6.262334,32921
-5.8562174,-0.8132804,-7.9358807,33117
-3.3087866,0.05581483,-9.355642,33319
-1.4628572,0.20964229,-9.800365,33520
-1.1605892,0.19348143,-9.766248,33718
-1.055843,0.21502924,-9.761459,33918
-1.0402806,0.20844519,-9.75727,34120
-1.0965444,0.20305823,-9.771635,34320
-1.5969325,0.21562779,-9.83149,34519
-3.5757403,0.0947206,-9.326912,34720
-5.807136,-0.5367501,-8.030452,34919
-7.838018,-1.6374843,-6.0737906,35119
-9.51336,-2.3509564,-2.9834745,35322
-9.146449,-2.9513025,-0.15113398,35519
-8.883685,-3.8994064,1.3159131,35719
-8.150461,-4.5009494,2.2155344,35920
-8.098388,-4.5015483,2.8344355,36120
-7.9409685,-4.441693,2.772785,36320
-8.139688,-4.5141177,2.4088662,36531
-8.617929,-4.08376,1.2889783,36719
-8.868123,-3.3457472,-0.0002992752,36921
-9.903615,-2.9363387,-1.4140754,37117
-9.677961,-2.3958478,-2.4220343,37316
-8.974067,-1.9571103,-4.217087,37517
-7.5291657,-1.6243162,-5.9253497,37717
-6.247669,-0.87672675,-7.7605057,37917
-3.3441012,0.0899322,-9.5848875,38117
-1.5646108,0.19168578,-9.791388,38327
-1.2641385,0.20964229,-9.756073,38518
-1.1785458,0.21921909,-9.76924,38718
-1.2970588,0.19886838,-9.772832,38918
-1.6657659,0.19407998,-9.752481,39118
-2.5360582,0.14739305,-9.462783,39318
-3.0669725,0.15337855,-9.395745,39519
-3.945046,0.071377136,-9.159917,39718
-5.7400985,-0.28116906,-8.059781,39918
-7.105392,-0.9826702,-6.9776015,40119
-8.57184,-1.5141829,-4.8341923,40319
-9.565434,-2.034922,-2.2119431,40519
-9.424775,-2.5807998,-0.9729437,40720
-8.983045,-3.2272344,-0.11282676,40919
-8.190564,-4.4680295,1.6115971,41119
-7.705738,-4.606893,2.740463,41320
-7.7440453,-4.9115553,2.751237,41528
-7.914034,-4.914548,2.627337,41720
-8.279748,-4.5476365,1.7995418,41920
-8.562862,-4.148403,0.85203654,42120
-9.011775,-3.5492544,-0.22415714,42320
-9.19553,-3.2451909,-1.2985551,42520
-9.3026705,-2.0516813,-2.9870658,42720
-8.675988,-1.788319,-4.9491143,42920
-7.1766195,-1.1795932,-6.8554974,43120
-5.7179523,-0.6295254,-8.051401,43320
-4.221576,-0.004040215,-8.912117,43521
-2.4486697,0.19048867,-9.654918,43720
-1.6801311,0.24794951,-9.717766,43920
-1.4730326,0.23897126,-9.744102,44120
-1.3030443,0.24375966,-9.756671,44322
-1.3359646,0.23777416,-9.775825,44521
-1.6011224,0.25692776,-9.782409,44720
-3.0232782,0.44846392,-9.532215,44922
-5.191228,-0.09202713,-8.538621,45121
-7.013814,-0.5660791,-6.6675525,45321
-9.014768,-1.5608698,-4.6252985,45523
-9.935937,-2.1498435,-1.9180548,45722
-9.226655,-3.8599021,0.55814826,45922
-8.222287,-4.2399817,1.2967595,46123
-8.459313,-4.1478047,2.4166474,46323
-8.330625,-4.69069,2.6650457,46531
-8.304887,-4.478803,2.3154924,46723
-8.668806,-4.078373,1.4781203,46923
-8.947132,-3.3972225,-0.12180501,47123
-9.056666,-3.1248822,-0.9537901,47324
-8.226477,-2.821417,-1.7163434,47524
-9.272144,-2.866907,-4.6187143,47723
-7.480085,-1.7943045,-6.4933743,47924
-7.3059063,-1.3513772,-6.818986,48123
-4.6178164,0.13661914,-8.53084,48324
-2.315193,0.33174658,-9.556157,48525
-1.6316484,0.49455228,-9.79438,48724
-1.3102269,0.31977555,-9.751883,48926
-1.3257892,0.33114803,-9.757869,49125
-1.9309237,0.46701896,-9.88536,49325
-4.0043025,0.27009588,-8.981548,49525
-6.3709707,0.27967268,-7.843704,49727
-8.582016,-0.5900211,-5.628469,49925
-9.619304,-1.3280338,-2.632724,50125
-9.870695,-2.3964462,0.15352818,50326
-9.554661,-2.9614778,1.0567408,50526
-8.825027,-3.6827312,1.6313492,50728
-8.663419,-3.9431005,2.0730793,50926
-8.236652,-4.4680295,3.273173,51126
-7.6949644,-4.532673,3.4910452,51327
-8.049905,-4.5033436,3.036147,51535
-8.426393,-4.295048,2.4112604,51728
-8.878299,-3.8473325,1.4876971,51926
-9.266159,-3.2056863,0.09307459,52127
-9.45171,-2.2007203,-0.98551327,52327
-8.98484,-1.5830163,-3.8968625,52527
-8.406042,-1.0287585,-5.8433485,52727
-6.7025676,-0.6187515,-7.2098393,52927
-5.3103395,0.020500353,-8.579323,53127
-2.4247277,0.28386253,-9.735124,53329
-1.1893197,0.32097265,-9.807548,53529
-1.0121487,0.32755673,-9.760861,53727
-1.1390414,0.36586395,-9.775227,53929
-2.3989902,0.5424363,-9.79019,54128
-5.6964045,0.39758712,-8.36983,54329
-8.021772,-0.31887773,-6.394015,54529
-9.766547,-1.1167455,-2.8853123,54728
-9.753978,-2.2120926,1.9838954,54929
-9.2625675,-3.271527,0.9968857,55129
-8.46889,-3.6342485,1.9809027,55330
-8.511387,-3.9640498,2.8063037,55530
-8.537724,-4.198682,2.9810803,55730
-8.497022,-3.9844005,2.6865935,55929
-8.605958,-3.814412,1.7744027,56133
-9.008782,-2.7938838,0.26665422,56330
-9.844957,-1.7494133,-1.2464813,56538
-9.163208,-0.755221,-4.373907,56730
-7.0515227,-0.5445312,-6.654384,56932
-5.5264163,-0.006434417,-8.193257,57131
-2.212841,0.4861726,-9.77762,57331
-1.216853,0.39998132,-9.796176,57525
-1.1240777,0.38621467,-9.76924,57725
-1.3599066,0.40177697,-9.712977,57925
-2.5157075,0.4640262,-9.628581,58125
-6.715736,0.32336688,-7.6922708,58468
