x,y,z,tempo
7.5968018,6.190358,-1.0208278,10131
7.603985,6.147861,-1.0489596,10326
7.5722613,6.142474,-0.9071032,10525
7.581838,6.1472626,-0.947206,10727
7.597999,6.1484594,-1.0238205,10925
7.5746555,6.0868087,-0.9364321,11126
7.565677,6.120328,-0.9897031,11325
7.5572977,6.1179338,-0.9657611,11526
7.5764513,6.123919,-0.9759365,11726
7.6614456,6.1029696,-0.9412205,11927
7.5842323,6.1963434,-0.75028294,12121
7.565677,6.095787,-1.0166379,12326
7.6345105,6.041319,-1.1525089,12527
7.6027875,6.117335,-0.9747394,12727
7.626131,6.0969844,-1.0423756,12927
7.5968018,6.1364884,-1.0196307,13127
7.5908165,6.1287074,-0.9944915,13327
7.583634,6.089203,-1.0339959,13527
7.5884223,6.1628246,-0.9448118,13728
7.5525093,6.077831,-0.947206,13927
7.5590935,6.1005754,-0.9376292,14124
7.6213427,6.078429,-0.9478046,14327
7.6428905,6.044312,-1.0250176,14526
7.6291237,6.077831,-1.0369886,14727
7.61835,6.105364,-1.0322002,14927
7.5854297,6.105364,-1.1453263,15134
7.8104844,5.9485435,-1.0489596,15326
7.991845,5.680393,-0.8861539,15528
8.01459,5.4601264,-0.5892729,15727
8.210316,5.4349875,-0.7023989,15927
8.146272,5.2326775,-0.5802946,16129
8.153454,5.3505917,-0.68504095,16327
8.173804,5.365556,-0.5695207,16528
8.223484,5.4128413,-0.5964555,16728
8.167819,5.4176297,-0.59465986,16928
8.14268,5.387702,-0.561141,17139
8.18398,5.346402,-0.54917,17320
8.173206,5.411644,-0.5814917,17529
8.170812,5.420024,-0.56173956,17728
8.12233,5.347599,-0.5575497,17929
8.10557,5.451747,-0.50846857,18130
8.11395,5.398476,-0.60423666,18327
8.119336,5.3673515,-0.54617727,18531
8.133103,5.451747,-0.59825116,18730
8.121731,5.4272065,-0.56533086,18930
8.127118,5.457732,-0.6227917,19132
8.119935,5.4912515,-0.67666125,19330
8.12592,5.426009,-0.573112,19530
8.120534,5.445163,-0.60663086,19730
8.117541,5.4726963,-0.5964555,19930
7.891887,5.49604,-0.525228,20147
7.719505,5.986851,-0.9370307,20330
7.924209,5.7504234,-1.345242,20530
7.740454,5.912032,-1.2033856,20730
7.7027454,5.9150248,-1.2871827,20930
7.4854717,6.0311437,-1.1997943,21131
7.707534,5.906047,-1.4446014,21325
7.7440453,5.8354177,-1.4655507,21529
7.7224975,5.9144263,-1.4781203,21730
7.776367,5.803096,-1.5595231,21930
7.73387,5.830031,-1.5062522,22150
7.800309,5.469105,-0.76644385,22330
8.110358,5.1871877,-0.6407482,22530
8.335413,5.1069818,-0.80953944,22731
8.153454,4.585046,-0.9675568,22930
8.108562,5.8635497,-1.3392565,23131
7.9451585,5.6468744,-0.626383,23331
7.7051396,5.4391775,-0.5719149,23530
7.953538,5.4385786,-0.9340379,23730
7.964312,5.478083,-1.0034698,23931
8.102577,5.440973,-1.3440449,24129
8.136695,5.4391775,-1.4440029,24330
7.965509,5.4667106,-1.1632828,24531
7.916428,5.5786395,-1.2129624,24730
7.9541364,5.583428,-1.4763247,24942
7.9343843,5.5804353,-1.4954783,25145
7.9278,5.5810337,-1.4356232,25332
7.945757,5.579238,-1.4613608,25530
7.9170265,5.603779,-1.4882957,25731
7.8709383,5.630115,-1.5565304,25930
7.860164,5.5804353,-1.4523826,26130
7.9194207,5.5840263,-1.5643115,26333
7.928399,5.5846252,-1.5523405,26533
7.8966756,5.57026,-1.5230116,26735
7.9289975,5.573851,-1.552939,26938
7.9355817,5.5690627,-1.5044565,27133
7.9289975,5.587618,-1.5140333,27335
7.9050555,5.6013846,-1.5176246,27538
7.9325886,5.5762453,-1.5248072,27735
7.9393225,5.551555,-1.5439608,27935
7.911789,5.556942,-1.5056536,28139
7.926753,5.5844755,-1.5367782,28335
7.92795,5.5683146,-1.5283985,28535
7.8956285,5.579687,-1.5373768,28738
7.920169,5.602432,-1.5385739,28936
8.001572,5.589264,-1.56491,29135
7.892037,5.577293,-1.5427637,29342
7.748385,5.6341553,-1.409287,29536
7.9333367,5.5760956,-1.5942391,29737
7.8615108,5.6658783,-1.6546926,29942
7.930344,5.5282116,-1.5182232,30147
7.9381256,5.6245785,-1.6020203,30342
7.9710455,5.4940944,-1.5146319,30541
7.9153805,5.6150017,-1.4715363,30740
8.036287,5.5084596,-1.6277579,30940
7.964312,5.5192337,-1.4344261,31139
7.9852614,5.5258174,-1.4188638,31340
7.9649105,5.583278,-0.9639655,31540
7.9930425,5.5605335,-1.1040263,31743
7.9852614,5.527613,-1.1142017,31940
8.01459,5.601235,-1.4440029,32140
7.9661074,5.514445,-1.4805145,32339
7.953538,5.54138,-1.421258,32541
7.9427643,5.547365,-1.4793174,32741
7.957728,5.5365915,-1.4481927,32943
7.957728,5.5312047,-1.4721348,33137
7.9607205,5.5976434,-1.4607623,33342
7.946954,5.524022,-1.3374609,33544
7.9756846,5.5341973,-1.5092449,33742
7.9487495,5.54138,-1.5146319,33942
7.957728,5.579687,-1.415871,34144
7.9744873,5.5485625,-1.3997102,34341
7.9673047,5.533599,-1.4493898,34542
7.93199,5.555745,-1.3823522,34744
7.9834657,5.517438,-1.4817116,34942
7.961319,5.5826797,-1.4206594,35150
7.948151,5.575497,-1.5128362,35345
7.946954,5.522825,-1.4625579,35542
7.976283,5.5192337,-1.4906899,35743
7.896077,5.620987,-1.5792753,35945
7.946954,5.469554,-1.4805145,36143
7.641693,5.6227827,-1.3943232,36343
7.992444,5.4474072,-1.570297,36546
8.04392,5.4737434,-1.6666636,36743
8.0367365,5.4258595,-1.7432781,36944
7.9301944,5.4743423,-1.6283565,37145
7.958925,5.4605756,-1.7331028,37344
7.9876556,5.4659624,-1.6415246,37543
