x,y,z,tempo
-6.8537016,9.161861,-1.4899416,10180
-3.515586,8.574085,-3.0455742,10376
-2.4657285,9.534759,-3.0126538,10574
-1.6307507,8.241291,-2.4260745,10775
-7.892785,13.202676,-4.468927,10973
-3.065476,8.944588,-3.565116,11176
-4.9353476,6.2343516,-2.3536499,11375
-2.016217,7.2836103,-3.7159507,11575
-1.68881,8.132355,-2.7265468,11775
-2.0281882,9.927407,-3.4178727,11975
-1.1991957,0.7468413,1.4052467,12177
-3.80708,6.192453,-4.8921022,12375
-2.0018518,8.443003,-4.173842,12576
-4.3769,7.363218,-2.133982,12775
-4.3409867,7.2488947,-2.2620716,12976
-1.0735002,9.633519,-2.5619454,13210
-1.3889363,9.646089,-3.4489973,13378
-0.28341362,19.822044,1.0485107,13564
-4.90542,8.009053,-0.8315362,13764
-3.1331122,10.400861,0.87912095,14010
-2.3508067,9.854983,-2.449418,14174
-1.9605519,10.621128,-1.0320506,14379
-3.0391397,9.741259,-2.0896893,14576
-2.5842414,7.9264536,-3.9996636,14776
1.4452,11.674577,-3.2514756,14979
-4.16202,11.207707,-3.1413422,15204
-4.608539,10.996419,-1.9723732,15376
-1.2865841,9.306711,-1.7173908,15580
-3.3366194,6.85026,-3.9422028,15776
3.488651,14.5554,0.14948797,15977
-2.0066402,8.387338,-3.3849523,16180
-2.864363,10.048315,-5.151873,16378
-1.5062522,3.8311718,-0.49634793,16578
-5.4129906,7.8247,-2.1279964,16780
0.5856816,9.493459,-3.1575031,16978
-1.9701288,9.401282,-1.1649288,17178
-1.2440871,9.186402,-1.8185458,17379
-2.8188732,8.019828,-2.7127802,17576
-1.479916,8.036587,-2.3225253,17776
-3.295918,10.113557,3.5678093,17977
-2.1030068,8.990676,-1.7509097,18185
-2.8613703,10.569653,-2.4889224,18379
-1.5798738,8.43582,-3.9679403,18578
-0.77003515,8.381352,-4.5509286,18773
-2.9224224,8.499865,-3.2347162,18977
-1.4290391,8.527997,-2.1160254,19177
-0.863409,16.785599,9.287558,19379
-3.105579,6.8867717,-1.8586487,19580
-3.0834324,10.643274,-1.0709563,19783
-2.1957822,8.657883,-4.105607,19980
-4.0087914,5.3371243,-3.0342019,20189
-0.8681974,7.9719434,-3.5495536,20385
-4.1793785,8.856601,-2.9533975,20578
-3.0570962,7.8504376,-2.4135048,20780
-1.3811551,11.038318,-2.2686558,20983
-3.7987003,9.255236,-2.502689,21180
-3.7011366,9.858575,-1.6605285,21381
-4.0075946,6.9783497,-1.465401,21583
-2.1712418,9.510817,-1.7209821,21780
-1.2841899,7.2584715,-3.0294132,21980
-0.26844987,7.553557,-2.360234,22183
-4.443938,8.705767,-4.728698,22380
-4.2913074,9.537751,-2.9857192,22580
-3.9806595,9.324069,-2.6882396,22777
-4.1177278,8.243686,-2.3147442,22980
-5.110723,12.045079,-0.9871593,23179
-1.2913725,8.560319,-3.553145,23383
-1.1112089,11.249605,-5.677999,23580
-1.671452,4.1202717,-0.62324065,23780
-3.255815,7.321319,-3.3017538,23983
-2.6458921,8.64232,-2.052579,24180
-5.9127803,8.426243,-2.4338558,24380
-5.18614,9.587431,-1.8029835,24583
-1.7109563,7.5080667,-2.9815292,24780
-0.7257424,9.486276,-3.16708,24980
-1.522413,5.9428577,-0.71362174,25191
-5.56622,9.337835,-6.1448684,25380
-1.6965911,10.086023,-2.5828948,25580
-4.4600983,9.121758,-2.505083,25783
-5.2256446,7.996484,-4.3779473,25983
-1.5068507,9.2965355,-2.8241105,26180
-1.6439188,9.86875,-3.5986347,26385
-3.291728,17.86239,-2.123208,26583
-3.2695818,9.648483,-1.3899838,26783
-3.1001918,9.778967,0.7456442,26984
-3.048118,9.107992,-2.654122,27183
-0.62578446,15.164724,-2.1148283,27383
-4.1608233,8.274212,-2.347066,27585
-2.0808606,8.86558,-2.8253076,27783
-2.1305401,19.822044,2.6502316,27985
