x,y,z,tempo
8.980651,2.1930888,-2.8520927,10052
9.008782,2.1242554,-2.7503393,10252
9.041702,2.156577,-2.8006175,10452
8.968081,2.1278467,-2.758719,10648
8.967483,2.160767,-2.8137856,10854
8.949526,2.1386206,-2.7569232,11052
8.958505,2.243367,-2.7491422,11251
9.0081835,2.2343888,-2.7042508,11458
9.037513,2.2290018,-2.693477,11650
9.001001,2.2122424,-2.7072437,11851
9.058462,2.2182279,-2.7042508,12055
9.084799,2.1787236,-2.741361,12251
9.025542,2.184709,-2.7569232,12451
9.022549,2.2254105,-2.6635494,12654
9.026739,2.1362264,-2.7353754,12854
8.978256,2.2182279,-2.7730842,13052
9.057863,2.2182279,-2.8107927,13254
9.01417,2.2254105,-2.7419596,13451
9.020155,2.2439656,-2.7335799,13652
9.028535,2.2014685,-2.7144263,13856
8.99322,2.2930467,-2.7234044,14052
8.998009,2.2469583,-2.747945,14251
9.056666,2.2541409,-2.7605145,14453
9.030929,2.1757307,-2.7090392,14652
9.006389,2.2619221,-2.7635074,14860
9.044696,2.1918917,-2.771887,15056
9.059061,2.2397757,-2.7234044,15252
9.043498,2.2188265,-2.8083985,15452
9.018958,2.2140381,-2.789245,15650
9.015965,2.260725,-2.7641058,15849
9.003395,2.2176294,-2.7617116,16053
9.00579,2.2577322,-2.7802668,16252
9.029732,2.219425,-2.710835,16464
9.0429,2.207454,-2.7874494,16653
8.998607,2.1990743,-2.746748,16852
8.941146,2.207454,-2.743755,17057
9.025542,2.1960814,-2.7994204,17254
8.986037,2.2301989,-2.8000188,17456
8.981848,2.1984756,-2.8449101,17652
9.032724,2.2643163,-2.794632,17851
8.99741,2.2379801,-2.8089972,18061
9.021951,2.202067,-2.847903,18255
9.11712,2.1655555,-2.8443117,18455
9.033323,2.3181858,-2.7341783,18657
8.950723,2.3828292,-2.6850972,18855
9.013571,2.5049336,-2.5605986,19058
8.990826,2.5905263,-2.508525,19258
9.029133,2.5486276,-2.594716,19456
9.014768,2.517503,-2.585738,19655
8.977658,2.5899277,-2.5971103,19854
8.978855,2.586935,-2.5558102,20059
8.979453,2.593519,-2.4839842,20256
9.009979,2.520496,-2.5031378,20458
9.014768,2.5288756,-2.5701754,20653
8.978256,2.4959552,-2.5881321,20855
8.975264,2.5450363,-2.5504234,21062
8.990826,2.4768016,-2.5276785,21256
8.998607,2.5528176,-2.6001031,21465
8.978256,2.5276785,-2.5701754,21652
9.046491,2.4785974,-2.5438392,21856
8.972271,2.5222914,-2.5899277,22060
8.97646,2.5276785,-2.5959132,22259
8.983045,2.529474,-2.5480292,22457
8.995614,2.4797945,-2.6288335,22652
8.995016,2.460641,-2.5761611,22859
9.7301855,3.3948283,-1.927482,23060
9.763704,3.4289458,-1.9933226,23257
9.758317,3.403208,-1.9825486,23461
9.730783,3.372682,-2.0040965,23658
9.721806,3.370288,-1.9765631,23857
9.739163,3.3601124,-1.9801544,24065
9.627833,3.314024,-2.0669444,24258
9.813982,3.3349733,-2.0663457,24456
9.708637,3.3403602,-1.9550153,24647
9.743354,3.342156,-1.987337,24862
9.764901,3.3373675,-2.02325,25062
9.7242,3.325995,-2.0388124,25262
9.734974,3.318214,-2.0028994,25459
9.705645,3.3188124,-2.0304327,25659
9.764302,3.3613095,-2.028637,25861
9.782259,3.2817023,-2.044798,26059
9.7541275,3.359514,-2.029834,26261
9.749937,3.3613095,-2.0172646,26471
9.742156,3.337966,-2.0184617,26662
9.740959,3.3744776,-2.069937,26859
9.708039,3.4247558,-2.0424037,27062
9.757719,3.3319805,-1.9903297,27257
9.727193,3.3643024,-1.9508255,27461
9.708637,3.4241574,-2.0028994,27662
9.705047,3.4169748,-1.9723732,27859
9.700258,3.4056022,-2.0358195,28060
9.631425,3.3720834,-2.0082862,28261
9.668534,3.4367268,-1.9849428,28461
9.734974,3.396624,-1.998111,28657
9.739163,3.3678937,-2.0070891,28862
9.755923,3.3876457,-1.9747674,29061
9.711032,3.3870473,-1.9933226,29260
9.711032,3.3571198,-1.9442414,29475
9.700856,3.4097922,-1.951424,29661
9.69906,3.4109893,-1.9268835,29866
9.690681,3.3720834,-1.9651906,30065
9.697265,3.4157777,-1.9771616,30261
9.712828,3.3936312,-2.0160675,30459
9.737368,3.3996167,-1.968782,30670
9.71163,3.408595,-1.9693805,30861
9.691878,3.3601124,-2.0023007,31063
9.702053,3.4253545,-1.9604023,31262
9.702652,3.3930328,-1.9933226,31461
9.709236,3.4301429,-2.0160675,31662
9.744551,3.3774705,-1.9939212,31864
9.715221,3.4038067,-1.9963154,32064
9.679309,3.42715,-2.035221,32261
9.710433,3.4582746,-1.9801544,32464
9.703251,3.366098,-1.9615993,32663
9.702053,3.4421139,-2.0154688,32860
