x,y,z,tempo
3.0500634,0.031573534,-8.670003,10130
3.0865748,0.007631518,-8.692149,10324
3.090166,0.023193829,-8.681973,10524
3.1027358,0.016011223,-8.676587,10726
3.0775967,0.004638766,-8.670003,10925
3.0752025,0.0010474633,-8.660426,11134
3.0524576,0.033369187,-8.685565,11325
3.0841806,0.010025719,-8.667608,11523
3.0632315,0.0016460137,-8.695741,11727
3.0680199,0.017208325,-8.692748,11925
3.054253,0.013018472,-8.7053175,12126
3.0656257,0.009427169,-8.663419,12326
3.041085,0.0010474633,-8.668207,12525
3.0728083,0.0010474633,-8.699332,12727
3.0674212,-0.0043394906,-8.682572,12926
3.0817864,0.0034416649,-8.6813755,13127
3.069217,0.014814123,-8.698134,13325
3.0853777,-0.0019452889,-8.682572,13536
3.0841806,0.015412673,-8.689157,13730
3.053056,-0.0019452889,-8.674192,13925
3.0853777,0.014814123,-8.662222,14133
3.0722096,0.016011223,-8.674791,14326
3.0644286,-0.0031423897,-8.687361,14526
3.069217,0.010025719,-8.676587,14731
3.0740054,0.00044891282,-8.690952,14925
3.0644286,0.018405426,-8.662222,15128
3.0710125,0.020799628,-8.670003,15330
3.0536547,0.004040215,-8.713697,15526
3.0763996,-0.0067336923,-8.698134,15729
3.078195,0.027982233,-8.680179,15930
3.0734067,0.004040215,-8.666411,16127
3.0734067,0.010025719,-8.686164,16325
3.0512605,-0.0067336923,-8.66701,16528
3.0799909,-0.0019452889,-8.672996,16727
3.0476692,0.015412673,-8.695741,16926
3.0261214,0.017806875,-8.680777,17127
3.0494647,-0.007930793,-8.699332,17326
3.0392895,-0.0043394906,-8.678981,17528
3.0255227,0.030974984,-8.681973,17728
3.0201359,0.016011223,-8.692149,17929
3.0596402,0.008828619,-8.680777,18130
3.057246,0.0070329676,-8.66701,18331
3.0775967,0.014215573,-8.660426,18538
3.0494647,0.008230069,-8.683171,18730
3.0476692,0.013617022,-8.684967,18932
3.0560489,0.008230069,-8.671799,19130
3.066224,0.022595279,-8.680179,19329
3.0560489,0.004040215,-8.668806,19531
3.0626328,-0.0001496376,-8.670602,19731
3.0524576,-0.0055365916,-8.701127,19929
3.0626328,0.01062427,-8.654441,20134
3.0488663,0.011821371,-8.684967,20330
3.0321069,-0.000748188,-8.692149,20529
3.0512605,0.008828619,-8.690952,20735
3.0656257,-0.013916298,-8.700529,20930
3.0482676,0.0034416649,-8.710705,21143
3.0356982,-0.009726444,-8.664616,21330
3.0273185,-0.0025438394,-8.689755,21530
3.0368953,0.00044891282,-8.689755,21731
3.0416837,0.002244564,-8.678981,21933
3.027917,-0.0031423897,-8.704121,22131
3.06383,-0.0001496376,-8.677784,22333
3.0476692,0.0070329676,-8.678383,22533
3.0339024,0.0028431145,-8.686164,22730
3.041085,0.026785132,-8.687361,22931
3.0494647,0.019602526,-8.692748,23135
3.039888,0.007631518,-8.672996,23333
3.0446763,-0.023493104,-8.7053175,23540
3.0644286,-0.000748188,-8.674791,23734
3.041085,0.014215573,-8.675988,23931
3.0446763,0.012419921,-8.661623,24133
3.042282,0.008828619,-8.664616,24336
3.027917,0.012419921,-8.689755,24531
3.021333,0.016609775,-8.688558,24732
3.0614357,-0.0019452889,-8.6813755,24935
3.0297127,0.01062427,-8.666411,25133
3.0488663,-0.004938041,-8.672996,25331
3.046472,0.0058358666,-8.68796,25537
3.0195372,-0.014514848,-8.681973,25733
3.0428808,0.002244564,-8.688558,25933
3.0374937,0.0016460137,-8.699332,26137
3.0392895,0.0028431145,-8.674791,26335
3.0578444,-0.014514848,-8.672996,26528
3.0434792,0.0034416649,-8.66701,26730
3.0434792,0.002244564,-8.660426,26929
3.0440779,0.011222821,-8.683769,27130
3.0045736,-0.0013467384,-8.647258,27329
3.010559,-0.014514848,-8.699332,27529
3.010559,-0.021697452,-8.689157,27730
3.0207343,-0.012120646,-8.6813755,27930
2.997391,-0.0031423897,-8.672996,28131
3.0243256,0.009427169,-8.677784,28335
3.0099604,-0.014514848,-8.698134,28525
2.993201,-0.010923545,-8.67958,28730
2.9914055,-0.019303251,-8.688558,28941
3.003975,-0.012120646,-8.693945,29131
3.0021794,-0.007930793,-8.642469,29332
3.005172,-0.010324995,-8.675988,29529
2.9890113,0.008230069,-8.667608,29731
3.0141504,0.0016460137,-8.698134,29930
3.0261214,0.0058358666,-8.687361,30131
3.0117562,0.011222821,-8.692149,30331
3.0045736,-0.01690905,-8.695741,30531
3.0057707,0.0052373162,-8.668207,30731
2.994398,-0.010324995,-8.678981,30931
2.9997852,-0.019303251,-8.66282,31132
3.0135517,-0.008529344,-8.682572,31331
3.039888,-0.025288755,-8.653842,31532
3.006369,0.0016460137,-8.681973,31732
3.0195372,-0.0175076,-8.677784,31931
3.003975,-0.015113398,-8.684967,32133
3.0189388,0.014814123,-8.683769,32332
3.015946,-0.000748188,-8.683171,32532
2.9991865,-0.0001496376,-8.668806,32733
3.0297127,-0.006135142,-8.673594,32932
3.0087633,-0.000748188,-8.665813,33133
3.0207343,0.0028431145,-8.686762,33342
2.9967923,-0.0025438394,-8.705916,33536
3.008165,-0.022894554,-8.680179,33733
2.997391,-0.013916298,-8.698733,33934
2.9848213,-0.0067336923,-8.721478,34134
2.9632735,-0.012120646,-8.695741,34333
2.974646,-0.0073322426,-8.683769,34533
2.9668648,-0.034865562,-8.698733,34734
2.984223,-0.0013467384,-8.681973,34933
2.9674633,-0.020500353,-8.690952,35135
2.9782374,-0.0025438394,-8.711902,35334
2.996194,-0.008529344,-8.676587,35533
2.974646,-0.01810615,-8.69155,35735
3.003975,-0.007930793,-8.664018,35934
3.009362,-0.051624972,-8.742428,36137
2.997391,-0.023493104,-8.682572,36335
3.0189388,0.004638766,-8.696938,36534
3.0165446,-0.014514848,-8.698134,36734
2.9949968,-0.01690905,-8.734647,36934
2.997391,-0.009726444,-8.695741,37135
2.9937997,-0.000748188,-8.683769,37334
2.980033,-0.010324995,-8.683171,37534
2.9758432,-0.0025438394,-8.692149,37734
3.003975,0.0070329676,-8.6813755,37934
3.0003836,-0.0037409402,-8.690952,38136
3.0087633,0.0034416649,-8.678981,38334
2.9914055,-0.010923545,-8.7053175,38534
2.984223,-0.010923545,-8.72088,38739
2.9788358,-0.0163105,-8.7053175,38937
2.998588,-0.03187281,-8.693346,39136
2.9848213,-0.009726444,-8.664018,39335
2.9860184,-0.009726444,-8.6712,39535
3.0153475,-0.011522096,-8.664616,39735
2.992004,-0.03007716,-8.718486,39936
2.974646,-0.022296004,-8.6813755,40137
2.986617,-0.012120646,-8.710106,40336
3.0075662,-0.014514848,-8.714894,40540
2.9728503,-0.0031423897,-8.696938,40737
2.9878142,-0.007930793,-8.6813755,40936
2.9824271,0.0016460137,-8.678981,41138
2.9914055,0.007631518,-8.707711,41336
3.0057707,-0.009726444,-8.671799,41539
3.0207343,-0.024690205,-8.690952,41738
2.9902084,-0.027084406,-8.668207,41937
2.9836242,-0.027084406,-8.692149,42138
2.9937997,-0.027682956,-8.695142,42337
2.9770403,-0.0031423897,-8.6712,42537
3.0009823,-0.0073322426,-8.696339,42737
3.0033765,-0.012120646,-8.677784,42938
3.005172,-0.021098902,-8.681973,43138
3.0057707,-0.012719196,-8.671799,43337
2.9955952,-0.018704701,-8.682572,43538
2.9860184,-0.0199018,-8.696938,43744
2.986617,-0.012120646,-8.698733,43937
3.0135517,-0.013916298,-8.69155,44139
3.0147488,-0.026485857,-8.665813,44338
2.9836242,-0.012120646,-8.668806,44538
2.9949968,-0.015113398,-8.721478,44739
3.015946,0.0058358666,-8.686762,44938
3.0027778,-0.015113398,-8.695142,45139
2.993201,-0.012719196,-8.697536,45339
2.998588,-0.008529344,-8.7125,45538
2.9926026,-0.022894554,-8.690952,45739
2.9896097,0.0016460137,-8.696339,45939
2.9794345,-0.015711948,-8.678981,46139
2.9908068,-0.0055365916,-8.693945,46339
2.992004,-0.006135142,-8.674192,46539
3.0099604,-0.029478608,-8.680777,46740
2.98542,-0.028880058,-8.68796,46940
2.9872155,-0.011522096,-8.681973,47139
3.0003836,-0.0037409402,-8.67539,47339
3.0129533,-0.013916298,-8.692149,47539
2.9967923,-0.03127426,-8.681973,47739
3.0045736,-0.013317747,-8.704121,47939
2.9722517,-0.012120646,-8.677185,48140
3.0021794,-0.021697452,-8.674192,48340
2.9884126,-0.013317747,-8.702325,48540
3.010559,-0.040851068,-8.734048,48748
2.992004,0.016609775,-8.685565,48940
2.9997852,-0.0037409402,-8.689157,49141
2.980033,-0.010324995,-8.693346,49340
3.0003836,-0.013916298,-8.670003,49541
2.9782374,-0.018704701,-8.692149,49740
3.0003836,-0.034267012,-8.682572,49941
2.9716532,0.0058358666,-8.687361,50141
2.973449,-0.03127426,-8.692748,50340
2.9979894,-0.021098902,-8.683171,50541
2.9908068,0.0058358666,-8.670602,50742
2.9770403,-0.025288755,-8.6712,50941
2.992004,-0.03247136,-8.682572,51141
3.0021794,-0.014514848,-8.696339,51342
2.9776387,-0.011522096,-8.672397,51541
2.9926026,-0.0175076,-8.67958,51742
2.9860184,-0.0067336923,-8.688558,51942
2.994398,-0.037858315,-8.698134,52141
2.98123,-0.0037409402,-8.70831,52341
