x,y,z,tempo
8.837597,0.19093758,-4.607043,10132
8.766968,0.16699557,-4.6154222,10325
8.813056,0.17238252,-4.59567,10525
8.771756,0.17657238,-4.6261964,10728
8.710106,0.23163901,-4.64116,10925
8.7951,0.16579847,-4.64116,11125
8.759786,0.17896658,-4.6405616,11328
8.86932,0.12270284,-4.613028,11525
8.744822,0.17118542,-4.5980644,11724
8.793304,0.16519992,-4.617218,11926
8.762179,0.13108255,-4.6351743,12125
8.790312,0.15861586,-4.5603557,12324
8.780735,0.16519992,-4.644751,12526
8.800487,0.17657238,-4.607043,12725
8.697536,0.23702596,-4.624999,12924
8.798093,0.16519992,-4.634576,13132
8.784326,0.19632454,-4.6202106,13324
8.788516,0.17717093,-4.608838,13524
8.845977,0.19393034,-4.593276,13726
8.752603,0.1933318,-4.6220064,13923
8.765771,0.15502456,-4.6034513,14123
8.759187,0.17776948,-4.586692,14327
8.821436,0.12210429,-4.609437,14523
8.772954,0.1933318,-4.623802,14724
8.789114,0.17118542,-4.6112323,14924
8.787319,0.17597382,-4.6022544,15122
8.806473,0.16759412,-4.6285906,15321
8.780735,0.16519992,-4.6321816,15525
8.775348,0.16879122,-4.6202106,15722
8.781932,0.19512744,-4.659715,15921
8.787319,0.16220717,-4.6034513,16124
8.7771435,0.219668,-4.6022544,16322
8.77834,0.15263036,-4.610634,16522
8.806473,0.15801731,-4.6034513,16724
8.774749,0.14065935,-4.6818614,16922
8.815451,0.17477672,-4.597466,17122
8.7849245,0.19093758,-4.6285906,17323
8.785523,0.21547815,-4.6399627,17521
8.779537,0.14305355,-4.6806645,17721
8.7538,0.12330139,-4.6351743,17923
8.772355,0.19033903,-4.602853,18121
8.748413,0.16759412,-4.6393642,18320
8.757391,0.1436521,-4.644751,18521
8.770559,0.18315643,-4.6495395,18719
8.789114,0.13706805,-4.6926355,18919
8.772954,0.13467385,-4.6591167,19120
8.869919,0.13108255,-4.6621094,19319
8.878897,0.2705448,-4.5220485,19519
8.893861,0.24959552,-4.495114,19720
8.731653,0.29568392,-4.522647,19918
8.823831,0.24420857,-4.501099,20118
8.808268,0.27473465,-4.5274353,20318
8.974665,0.272939,-4.5166616,20516
8.9519205,-0.02932897,-4.613028,20717
8.563461,0.16340427,-4.1946416,20918
9.231443,0.23882163,-4.2401314,21119
9.1272955,0.21188685,-4.048595,21316
8.555081,0.049679685,-4.5220485,21519
8.958505,-0.13587095,-4.5256395,21716
8.804677,0.142455,-4.619014,21916
8.510789,-0.008978256,-4.721366,22118
8.714894,-0.012569559,-4.6722846,22316
8.707711,0.0077811554,-4.76506,22511
8.732252,-0.054468088,-4.8494554,22719
8.687361,-0.073621705,-4.920683,22914
8.734647,-0.095768064,-4.915296,23109
8.672397,-0.038307227,-4.848857,23317
8.6712,-0.01316811,-4.8907557,23514
8.671799,-0.010175358,-4.8524485,23713
8.635287,-0.02932897,-4.8757915,23910
8.672397,0.004189853,-4.8027687,24113
8.668806,-0.009576807,-4.844667,24313
8.651448,0.020350715,-4.833295,24518
8.611345,0.045489833,-4.799776,24713
8.728063,0.0700304,-4.851251,24907
8.81605,0.18734628,-4.657321,25113
8.784326,0.3705027,-4.546589,25312
8.663419,0.40043023,-4.778228,25512
8.74123,0.45070848,-4.4993033,25714
8.688558,0.40162733,-4.596867,25906
8.677185,0.2160767,-4.780622,26123
8.701127,0.23822308,-4.759673,26312
8.696938,0.25079262,-4.799177,26511
8.677784,0.20649989,-4.7907977,26711
8.683171,0.16938977,-4.803367,26914
8.667608,0.18974048,-4.7901993,27105
8.667608,0.2765303,-4.7638626,27311
8.670003,0.16819267,-4.8404775,27513
8.672996,0.21188685,-4.799177,27710
8.717288,0.21428105,-4.812944,27910
8.624513,0.1921347,-4.809353,28112
8.711303,0.18614918,-4.831499,28308
8.719084,0.18136078,-4.818331,28509
8.690952,0.18255788,-4.8279076,28711
8.690952,0.2148796,-4.809353,28909
8.652645,0.18435353,-4.797382,29109
8.644864,0.25558102,-4.8309007,29311
8.703522,0.20949265,-4.8279076,29509
8.651448,0.20590134,-4.811747,29708
8.674192,0.26156655,-4.848857,29911
8.676587,0.19931729,-4.830302,30108
8.631097,0.22864626,-4.7979803,30302
8.754997,0.15203181,-4.7734394,30509
8.705916,0.20709845,-4.7985787,30706
8.69155,0.19812019,-4.8045645,30907
8.690952,0.21667525,-4.832696,31109
8.668806,0.19632454,-4.811148,31306
8.6813755,0.24420857,-4.8057613,31507
8.69155,0.19692309,-4.8099513,31708
8.670602,0.18854338,-4.8099513,31906
8.69155,0.2172738,-4.8177323,32105
8.690353,0.2148796,-4.7740383,32306
8.689755,0.22744916,-4.827309,32505
8.69155,0.21428105,-4.783615,32705
8.681973,0.1945289,-4.775235,32908
8.682572,0.22685061,-4.835689,33105
8.687361,0.19572599,-4.809353,33304
8.702325,0.21188685,-4.7800236,33505
8.692748,0.22266077,-4.789002,33704
8.635885,0.2112883,-4.8267107,33904
8.676587,0.207697,-4.7979803,34106
8.713099,0.17357962,-4.8189297,34304
8.672397,0.20829555,-4.7925935,34503
8.675988,0.19512744,-4.8123455,34706
8.726267,0.20470424,-4.76506,34903
8.689755,0.21428105,-4.8380833,35103
8.686762,0.22864626,-4.799776,35306
8.673594,0.21667525,-4.812944,35502
8.677784,0.20051439,-4.8279076,35696
8.6813755,0.20949265,-4.8141413,35905
8.675988,0.20530279,-4.796783,36102
8.655039,0.23283611,-4.8219223,36302
8.692748,0.21667525,-4.8267107,36504
8.680777,0.2112883,-4.7925935,36701
8.702923,0.20709845,-4.7907977,36901
8.709507,0.20470424,-4.8021703,37104
8.719683,0.2148796,-4.8404775,37301
8.668207,0.20470424,-4.8045645,37501
8.652645,0.20649989,-4.758476,37703
8.670003,0.18794483,-4.7949877,37900
8.671799,0.22026655,-4.793192,38100
8.693346,0.23343466,-4.8021703,38300
8.659229,0.24361002,-4.7979803,38499
8.682572,0.18495208,-4.8201265,38700
8.667608,0.24241292,-4.815338,38902
8.687361,0.18854338,-4.8201265,39099
8.640076,0.25378537,-4.811148,39299
8.680179,0.20051439,-4.8386817,39502
8.699332,0.20171149,-4.795586,39699
8.716091,0.23104046,-4.7656584,39898
8.739435,0.17178397,-4.8177323,40098
8.6813755,0.22984336,-4.8123455,40298
8.689755,0.2112883,-4.7842135,40496
8.692149,0.21787235,-4.8039656,40694
8.640076,0.22804771,-4.830302,40897
8.678981,0.19812019,-4.827309,41097
8.708909,0.20350714,-4.777031,41301
8.711303,0.14305355,-4.835689,41497
8.701726,0.18794483,-4.799776,41696
8.692149,0.20530279,-4.8027687,41899
8.6712,0.20470424,-4.80636,42096
8.686164,0.23223756,-4.848857,42296
8.683171,0.1945289,-4.8105497,42498
8.689157,0.20829555,-4.8057613,42695
8.701726,0.18315643,-4.799776,42895
8.707711,0.19393034,-4.7698483,43098
8.692748,0.18195933,-4.7764325,43295
8.693346,0.20350714,-4.8320975,43498
8.705916,0.19393034,-4.8285065,43695
8.673594,0.2136825,-4.7656584,43894
8.672996,0.21547815,-4.8225207,44094
8.672397,0.15622166,-4.84766,44296
8.704121,0.20590134,-4.8255134,44488
8.694544,0.23582886,-4.771045,44687
8.683171,0.24181437,-4.771045,44895
8.594585,0.2681506,-4.7919946,45095
8.661623,0.20470424,-4.8243165,45294
8.641871,0.207697,-4.8141413,45495
8.688558,0.19692309,-4.7919946,45690
8.68796,0.16938977,-4.7494974,45892
8.6813755,0.20590134,-4.800973,46094
8.682572,0.19871874,-4.8105497,46293
8.734647,0.24301147,-4.779425,46492
8.704719,0.22505496,-4.7937903,46695
8.677784,0.21188685,-4.780622,46892
8.694544,0.19033903,-4.83928,47091
8.6712,0.20410569,-4.8338933,47294
8.702325,0.2124854,-4.815338,47491
8.655039,0.2088941,-4.8165355,47691
8.664616,0.219668,-4.841076,47893
8.698134,0.1921347,-4.8536453,48090
8.703522,0.22804771,-4.8021703,48290
8.667608,0.2220622,-4.812944,48493
8.719084,0.14903906,-4.8069587,48690
8.684967,0.20470424,-4.8021703,48890
8.675988,0.20410569,-4.823119,49092
8.642469,0.22744916,-4.789002,49289
8.660426,0.19512744,-4.829105,49489
8.67539,0.21188685,-4.7985787,49691
8.65863,0.20290859,-4.775235,49889
8.632295,0.22625206,-4.8374844,50089
8.686164,0.19991584,-4.8279076,50291
8.684368,0.19692309,-4.811747,50488
8.653243,0.20051439,-4.8536453,50688
8.700529,0.18914193,-4.8285065,50890
8.674192,0.19931729,-4.8500543,51088
8.648455,0.2184709,-4.833295,51287
8.680179,0.21428105,-4.812944,51491
8.637681,0.23582886,-4.8135424,51686
8.6712,0.20171149,-4.823718,51886
8.651448,0.20709845,-4.8524485,52087
8.685565,0.22505496,-4.800973,52286
8.696938,0.19153613,-4.811148,52486
8.6712,0.20590134,-4.791396,52689
8.696339,0.21188685,-4.7614684,52886
8.713697,0.23223756,-4.8309007,53085
