x,y,z,tempo
-0.32680854,0.39025488,9.743204,10099
-0.32142156,0.40402153,9.722255,10308
-0.29867667,0.39743748,9.713276,10500
-0.30406362,0.40282443,9.662998,10699
-0.30585927,0.362123,9.706693,10899
-0.28491,0.38367084,9.762358,11101
-0.32321724,0.4141969,9.7402115,11298
-0.2908955,0.39085343,9.742006,11498
-0.29388827,0.38965634,9.683349,11701
-0.3250129,0.415394,9.753379,11898
-0.29568392,0.39803603,9.673772,12097
-0.3184288,0.40462008,9.736021,12300
-0.3226187,0.42437226,9.753978,12497
-0.33159694,0.40880993,9.731832,12697
-0.30945057,0.39205053,9.701904,12898
-0.28072014,0.39205053,9.693524,13099
-0.30945057,0.39683893,9.68694,13296
-0.30166942,0.40462008,9.7563715,13497
-0.31064767,0.40521863,9.715072,13696
-0.320823,0.40521863,9.72824,13898
-0.29628247,0.36990416,9.701305,14096
-0.30765492,0.36631286,9.67018,14295
-0.29448682,0.37708676,9.738416,14495
-0.3250129,0.40342298,9.779716,14696
-0.320823,0.38486794,9.768942,14897
-0.30825347,0.3854665,9.689933,15096
-0.31124622,0.37110126,9.712079,15294
-0.30945057,0.3597288,9.702502,15494
-0.2896984,0.3800795,9.7479925,15694
-0.32621,0.40581718,9.782109,15896
-0.30406362,0.41180268,9.73662,16094
-0.3286042,0.39923313,9.698911,16293
-0.31124622,0.3878607,9.668385,16493
-0.29269117,0.36631286,9.733627,16693
-0.29628247,0.415394,9.737817,16893
-0.30945057,0.39444473,9.764751,17094
-0.31124622,0.4201824,9.683349,17292
-0.31064767,0.38486794,9.706094,17492
-0.30705637,0.40880993,9.713875,17693
-0.29987377,0.39145198,9.7007065,17893
-0.29508537,0.40402153,9.734225,18093
-0.30645782,0.40581718,9.723452,18292
-0.31124622,0.40282443,9.733627,18491
-0.31064767,0.36631286,9.730635,18692
-0.3172317,0.36272156,9.690532,18892
-0.29568392,0.39983168,9.700109,19091
-0.29029694,0.40462008,9.733028,19291
-0.29987377,0.39983168,9.737218,19491
-0.30526072,0.39025488,9.715671,19690
-0.30945057,0.3890578,9.657013,19890
-0.29388827,0.38726214,9.729437,20091
-0.29388827,0.40940848,9.697714,20291
-0.30945057,0.38726214,9.743204,20490
-0.29209262,0.41718966,9.766547,20691
-0.30047232,0.39444473,9.722853,20889
-0.30945057,0.38606504,9.7007065,21089
-0.2753332,0.3890578,9.710283,21290
-0.30107087,0.3597288,9.737218,21489
-0.30825347,0.40880993,9.745,21688
-0.30645782,0.41180268,9.749788,21889
-0.31064767,0.40761283,9.731233,22088
-0.28790274,0.39803603,9.707291,22288
-0.31364042,0.3890578,9.688137,22488
-0.2885013,0.39923313,9.71986,22689
-0.30885202,0.40940848,9.77373,22887
-0.31783026,0.40342298,9.726444,23089
-0.3238158,0.40940848,9.67856,23288
-0.27234045,0.37229836,9.710283,23487
-0.29927522,0.3824737,9.71986,23688
-0.29807812,0.40342298,9.731832,23888
-0.29628247,0.3812766,9.687539,24087
-0.29688102,0.40761283,9.688736,24288
-0.32321724,0.40462008,9.724648,24487
-0.31244332,0.3824737,9.686341,24687
-0.29747957,0.38486794,9.724648,24887
-0.2813187,0.40581718,9.721058,25085
-0.30645782,0.40162733,9.764751,25287
-0.3184288,0.39624038,9.735423,25487
-0.30825347,0.39803603,9.738416,25685
-0.2885013,0.39025488,9.709685,25885
-0.28550854,0.39205053,9.6767645,26085
-0.30705637,0.40282443,9.744401,26284
-0.32621,0.40222588,9.746795,26485
-0.30885202,0.38187516,9.750985,26686
-0.31004912,0.3728969,9.727641,26885
-0.29508537,0.39025488,9.668385,27083
-0.30585927,0.39624038,9.715671,27283
-0.29149407,0.39624038,9.727043,27483
-0.30945057,0.39624038,9.736021,27683
-0.31543607,0.39923313,9.7324295,27883
-0.2873042,0.41299978,9.703101,28080
-0.29927522,0.39205053,9.664794,28282
-0.29747957,0.38845924,9.70789,28483
-0.2896984,0.43394905,9.737218,28682
-0.31902736,0.39205053,9.7240505,28882
-0.31244332,0.39624038,9.706094,29082
-0.32202014,0.39264908,9.668983,29281
-0.30705637,0.37588966,9.693524,29481
-0.31244332,0.39504328,9.726444,29681
-0.30526072,0.39624038,9.721058,29881
-0.30406362,0.41359833,9.730036,30081
-0.29688102,0.39145198,9.718064,30281
-0.31244332,0.3716998,9.713875,30480
-0.2777274,0.3693056,9.695918,30687
-0.27832595,0.39504328,9.718064,30880
-0.2873042,0.39504328,9.746197,31080
-0.3172317,0.39683893,9.731233,31280
-0.30705637,0.40701428,9.722255,31480
-0.26755205,0.38486794,9.710283,31680
-0.29149407,0.36032736,9.743204,31879
-0.29927522,0.38726214,9.727043,32079
-0.30466217,0.39863458,9.739613,32279
-0.30526072,0.40521863,9.728839,32478
-0.31244332,0.39504328,9.749189,32680
-0.2896984,0.38067806,9.7162695,32879
-0.30226797,0.3788824,9.692925,33078
-0.28311434,0.38367084,9.729437,33278
-0.30226797,0.39324763,9.70789,33478
-0.31483752,0.4213795,9.695918,33678
-0.30885202,0.39923313,9.701305,33878
-0.30885202,0.38307226,9.683349,34077
-0.28491,0.39504328,9.659407,34276
-0.29328972,0.39624038,9.773131,34477
-0.31064767,0.415394,9.739014,34676
-0.31543607,0.40821138,9.7324295,34876
-0.27114335,0.40821138,9.69113,35076
-0.30645782,0.3878607,9.72824,35276
-0.3172317,0.3812766,9.743802,35475
-0.30346507,0.374094,9.718064,35676
-0.320823,0.40402153,9.744401,35875
-0.32561144,0.39564183,9.7007065,36075
-0.30166942,0.36990416,9.677961,36278
-0.30705637,0.3633201,9.662399,36474
-0.2873042,0.3776853,9.731832,36674
-0.29269117,0.41479546,9.713276,36874
-0.28790274,0.39743748,9.745,37074
-0.3274071,0.39264908,9.752182,37274
-0.31304187,0.38486794,9.713276,37475
-0.30047232,0.38606504,9.658808,37673
-0.2896984,0.40880993,9.685743,37873
-0.31783026,0.40162733,9.745,38074
-0.30346507,0.41838676,9.744401,38277
-0.30585927,0.39803603,9.72824,38472
-0.30406362,0.39564183,9.695918,38673
-0.28550854,0.38606504,9.713276,38872
-0.29628247,0.37708676,9.705495,39072
-0.29149407,0.40462008,9.743802,39273
-0.32680854,0.40521863,9.750985,39471
-0.31423897,0.39863458,9.721058,39671
-0.29029694,0.39743748,9.680356,39873
-0.28191724,0.39624038,9.694122,40071
-0.29269117,0.41000703,9.731233,40271
-0.31543607,0.40581718,9.753978,40466
-0.30705637,0.40402153,9.736021,40671
-0.3226187,0.3890578,9.734225,40878
-0.30226797,0.38486794,9.698313,41071
-0.2765303,0.3854665,9.706693,41270
-0.27952304,0.40162733,9.742605,41470
-0.29328972,0.41299978,9.72824,41670
-0.30226797,0.3800795,9.698911,41869
-0.2908955,0.37588966,9.680356,42069
-0.30047232,0.39384618,9.730036,42270
-0.30466217,0.39683893,9.698911,42469
-0.28790274,0.39923313,9.698313,42669
-0.31783026,0.39025488,9.718064,42869
-0.320823,0.39504328,9.714474,43069
-0.30346507,0.3812766,9.712678,43269
-0.29209262,0.3866636,9.693524,43469
-0.2801216,0.39564183,9.702502,43668
-0.28072014,0.40102878,9.76535,43868
-0.30945057,0.41479546,9.742006,44068
-0.3286042,0.41120413,9.720459,44262
-0.30226797,0.3842694,9.686341,44467
-0.29927522,0.39085343,9.670779,44668
-0.29269117,0.39743748,9.712678,44867
-0.31064767,0.4141969,9.7324295,45067
-0.30226797,0.41838676,9.755175,45267
-0.32621,0.40701428,9.691729,45466
-0.2908955,0.40102878,9.700109,45666
-0.30286652,0.40102878,9.701904,45867
-0.27712885,0.3878607,9.718064,46066
