x,y,z,tempo
2.956839,-7.707534,-3.4506433,10133
1.8207904,-7.992444,-0.5686229,10331
2.484583,-12.770672,-1.8680758,10532
0.7338228,-6.7510505,2.992752,10729
7.1742253,-8.243237,8.180388,10929
3.1705215,-10.851719,-0.60932434,11132
2.5079262,-7.3232646,4.997896,11329
2.190096,-12.144588,0.17118542,11529
3.9893386,-13.116035,1.2922704,11732
1.3700819,-6.2763996,-3.3261447,11930
0.002992752,-11.498753,-0.02633622,12130
2.9239187,-6.143522,-0.6655881,12333
2.3355439,-14.215572,0.41299978,12530
2.5151088,-6.655881,2.8089972,12730
5.005677,-9.602545,2.7389667,12933
2.9095535,-7.4645224,-1.9141643,13130
2.1679497,-8.666411,-0.5638345,13330
2.6539726,-12.591106,-1.0061632,13533
1.3425486,-5.939416,6.4272346,13729
1.0749966,-9.371504,2.3666685,13928
3.904943,-11.881226,-4.3197384,14129
-0.41359833,-7.0634937,1.8567034,14329
1.5819688,-10.616488,-0.15741876,14546
-0.22026655,-6.022016,8.2477256,14729
1.7872716,-7.204153,0.05865794,14929
5.1517234,-18.412011500000002,2.6042929,15137
3.9211037,-11.135432,-3.8600516,15333
1.9147629,-9.625289,2.337938,15529
6.413468,-12.840104,-2.4636335,15733
-0.8846575,-6.689998,-0.015562311,15929
3.4039562,-16.444574,0.03232172,16130
3.6008794,-10.185533,2.2272062,16329
-0.08619126,-10.901399,3.6703112,16532
0.7320272,-9.048885,-0.075417355,16729
0.41359833,-4.3341036,0.94690675,16929
7.2388687,-8.962694,8.2477256,17129
3.328539,-6.320094,5.1547165,17329
1.543063,-8.134899,2.6916811,17529
1.8375498,-6.269816,-0.13587095,17729
-0.007182605,-7.6734166,4.4023385,17929
3.2758665,-11.847109,0.3465607,18133
3.0663738,-7.393295,0.7302315,18329
1.6430209,-7.5231805,0.30885202,18531
0.45789108,-11.36767,1.5903485,18728
0.22266077,-8.932168,-0.19572599,18935
3.945046,-10.8469305,1.4287399,19133
3.9306808,-5.9890957,-1.9782091,19329
3.8019924,-6.0902505,0.08259996,19529
6.007651,-7.3747396,6.575675,19727
2.2762873,-9.578004,0.45669398,19936
0.2908955,0.02334450000000121,-0.6356605,20138
-3.17531,-18.412011500000002,8.2477256,20328
-0.47165772,-4.3239284,-0.58657944,20531
0.6697779,-17.27596,-6.134244,20735
7.8972747000000005,-12.86225,-2.3139958,20929
-2.2104468,-5.720945,2.7635074,21136
4.2760444,-11.187506,3.6804867,21336
3.0885203,-7.0545154,-1.9494787,21533
1.0313023,-13.8480625,2.4271219,21733
5.240309,-11.058818,-6.134244,21936
1.4550761,-9.7162695,0.5093664,22135
3.6445735,-15.103223,-0.35793316,22333
3.3237505,-8.521563,-3.1549592,22537
2.6844985,-10.939706,2.208651,22733
3.857059,-10.381857,-2.4025815,22951
0.86011696,-5.934029,-0.79846627,23142
2.1619642,-12.08593,8.2477256,23342
2.6994624,-11.261726,-1.2904748,23539
0.1921347,-8.048109,5.070919,23738
2.9466639,-12.744335,-2.1033063,23939
0.05267244,-5.011064,1.2210429,24130
3.8145618,-10.777499,6.703765,24340
3.2477345,-5.242703,3.702633,24528
0.74399817,-10.13705,1.6603789,24739
0.78290397,-9.462483,-0.55365914,24933
7.8972747000000005,-14.413692,3.1639376,25149
0.4381389,-8.483255,4.9865236,25340
4.0617633,-12.45344,-3.1070752,25537
1.7770962,-8.093,-0.9720459,25738
1.4047978,-10.836157,1.3581109,25938
3.6822822,-9.11712,-0.16938977,26141
0.7966706,-7.0832458,0.50996494,26335
5.039196,-13.081918,7.029975,26540
0.9475053,-5.380968,-0.8050503,26737
3.0879216,-10.617686,-0.57999533,26937
-0.7529764,-9.817424,1.2964603,27137
5.083489,-12.021287,-6.134244,27339
1.501763,-8.297705,0.18495208,27538
-2.8113914,-7.1969705,5.443816,27737
2.9789855,-10.371083,-0.65062433,27933
0.90859956,-7.128137,2.2242134,28137
1.602918,-9.184756,-1.0702082,28337
-0.23882163,-6.0645127,1.553837,28541
6.1584854,-14.469358,8.2477256,28738
6.0704985,-13.131,0.62488663,28938
2.694674,-6.0118403,0.8391677,29138
2.1823149,-15.505448,-1.0923545,29338
1.951873,-6.716933,4.8267107,29538
4.413711,-12.588114,4.045004,29739
3.2070332,-5.3899465,-1.42455,29938
2.6677392,-9.325416,-1.0265139,30146
1.9117701,-11.710639,-0.6278794,30341
0.374094,-4.7309427,3.6445735,30537
6.615179,-14.924256,8.2477256,30735
