x,y,z,tempo
9.617358,1.8290205,-0.113574944,10093
9.565285,2.019958,-0.16265608,10293
9.598205,1.853561,-0.30750528,10495
9.623942,1.9930233,-0.21472996,10693
9.599402,1.7613842,-0.07586627,10893
9.635914,2.0049944,-0.22191256,11096
9.640103,1.8547581,-0.35598788,11293
9.661652,1.9589059,-0.22011691,11494
9.628133,1.8122611,-0.1237503,11696
9.628133,2.0115783,-0.2889502,11894
9.6,1.8194437,-0.3302502,12092
9.653272,1.9265841,-0.2709937,12295
9.613169,1.8008885,-0.10399814,12494
9.602993,1.9750668,-0.2781763,12695
9.671228,1.8900726,-0.36376902,12906
9.659856,1.9613001,-0.36376902,13093
9.595811,1.8320132,-0.1297358,13295
9.631723,1.9577088,-0.29673138,13503
9.595212,1.9170073,-0.30151978,13695
9.585635,2.0283377,-0.21413141,13895
9.562292,1.9768624,-0.29613283,14094
9.538948,1.9660885,-0.755221,14296
9.570672,2.0055928,-0.9850644,14496
9.540744,2.0852,-0.79652095,14699
9.496451,1.9217957,-0.75821376,14896
9.604191,2.0552726,-0.47809216,15095
9.574263,2.1031566,-0.14170681,15297
9.589826,2.0103812,-0.34521395,15495
9.613768,2.0564697,-0.30151978,15696
9.5988035,1.9804537,-0.43918636,15900
9.503634,2.174384,-0.26680386,16096
9.59162,1.9816508,-0.33922845,16297
9.606585,1.8703204,-0.2662053,16504
9.559897,1.7733552,-0.19018939,16697
9.674221,2.0247464,-0.5056255,16897
9.499444,2.1270986,-0.3338415,17101
9.529371,2.1013608,-0.52178633,17297
9.580249,2.0702362,-0.55949503,17497
9.57127,2.1229088,-0.44457334,17701
9.643695,2.033126,-0.5379472,17898
9.5670805,1.9804537,-0.30271688,18098
9.595212,1.9152117,-0.31528643,18297
9.638308,2.0857985,-0.52777183,18497
9.588628,2.0726304,-0.45654434,18697
9.55092,2.1169233,-0.5343559,18902
9.565285,2.0780175,-0.49724576,19099
9.541942,2.1528363,-0.4499603,19300
9.576058,2.0277393,-0.34641105,19502
9.549124,1.936161,-0.25602993,19700
9.554511,1.9511248,-0.3338415,19900
9.544934,2.1151276,-0.51101243,20103
9.579051,2.0881927,-0.5451298,20300
9.560496,2.0965724,-0.5732617,20500
9.565884,2.1354783,-0.4487632,20703
9.557504,2.0768204,-0.576853,20901
9.574862,2.1115363,-0.52657473,21101
9.54673,1.9792566,-0.3314473,21303
9.548525,1.9816508,-0.36496612,21501
9.556307,2.148048,-0.51101243,21701
9.581446,2.0516813,-0.5840356,21902
9.674221,1.9648914,-0.5499182,22102
9.58803,1.9337668,-0.5104139,22302
9.589826,2.2061071,-0.4098574,22504
9.515006,2.0181625,-0.45534724,22702
9.607183,1.9780595,-0.5128081,22902
9.535357,2.1845593,-0.51220953,23105
9.569474,2.0792146,-0.64209497,23298
9.458743,2.1486464,-0.7007529,23510
9.505429,2.441936,-0.8551789,23712
9.513809,2.3054667,-0.8797195,23906
9.456947,2.3826797,-0.79292965,24103
9.569474,2.4269724,-0.8551789,24306
9.386917,2.4987984,-0.6019921,24503
9.435399,2.4096143,-0.89348614,24704
9.492262,2.3467665,-0.9132383,24906
9.408464,2.4718635,-0.8420108,25104
9.422231,2.2815247,-0.6995558,25304
9.480889,2.180968,-0.595408,25506
9.522189,2.4006362,-0.85877025,25704
9.445575,2.380884,-1.0030209,25905
9.425822,2.4401405,-0.93119484,26107
9.421633,2.5143607,-0.7989152,26305
9.506028,2.3904607,-1.0449194,26505
9.38153,2.2055087,-0.6211457,26706
9.4874735,2.4078188,-0.8928876,26905
9.409063,2.4545057,-0.99643683,27105
9.461736,2.4682722,-0.98566294,27307
9.4479685,2.5377042,-0.9874586,27506
9.434202,2.2827218,-0.77497315,27706
9.433005,2.4922144,-0.85697454,27908
9.447371,2.495207,-0.97429043,28106
9.428217,2.4928129,-1.02816,28305
9.437195,2.5484781,-0.96231943,28514
9.4318075,2.5371056,-1.010802,28706
9.402479,2.4987984,-0.91263974,28906
9.442582,2.3916578,-0.88031805,29109
9.416844,2.4664767,-0.94675714,29307
9.450961,2.4999955,-1.1454759,29506
9.401282,2.499397,-1.0209774,29710
9.373749,2.5664346,-0.96231943,29907
9.43121,2.495207,-1.0856209,30107
9.429414,2.5281274,-1.0335469,30312
9.501839,2.4706664,-1.146673,30507
9.45156,2.3880665,-0.9533412,30707
9.4713125,2.53531,-1.1035774,30911
9.4000845,2.4999955,-1.074847,31108
9.378537,2.6053405,-1.0550947,31308
9.422231,2.529923,-1.141286,31511
9.387515,2.553865,-1.0886136,31707
9.318682,2.3234231,-0.6815993,31907
9.44318,2.4934115,-1.1975498,32107
9.378537,2.5867853,-1.0527005,32309
9.408464,2.5490766,-1.2143092,32509
9.409661,2.5448868,-1.2167034,32712
9.394099,2.5999534,-1.1628338,32907
9.402479,2.5526679,-1.1059716,33110
9.450363,2.4030304,-1.1514614,33312
9.409063,2.5377042,-1.105373,33510
9.421034,2.5119665,-1.171812,33711
9.416844,2.4389434,-1.1125556,33913
9.470714,2.4323592,-1.1059716,34110
9.415049,2.5089738,-1.1670237,34311
9.404873,2.5556607,-1.1472715,34514
9.4000845,2.4054246,-1.0413281,34712
9.396494,2.4521115,-1.0485107,34911
9.406669,2.5760114,-1.2047324,35114
9.42283,2.5389013,-1.1664251,35312
9.394698,2.5442882,-1.1801918,35512
9.37315,2.5400984,-1.141286,35714
9.383924,2.5598505,-1.1807903,35912
9.392902,2.5532665,-1.158644,36112
9.416245,2.5628433,-1.1538556,36315
9.403077,2.5598505,-1.1406875,36512
9.413852,2.5077767,-1.0072107,36713
9.40188,2.4557028,-1.1071687,36915
9.388712,2.555062,-1.2155063,37113
9.394099,2.5077767,-1.2202947,37313
9.408464,2.5628433,-1.194557,37516
9.379734,2.5574563,-1.0945991,37703
9.406669,2.5287259,-1.18917,37912
9.435399,2.546084,-1.1484686,38116
9.427019,2.4586954,-1.0856209,38314
9.407268,2.4652796,-1.1484686,38523
9.4240265,2.584391,-1.2304701,38716
9.421034,2.5454853,-1.2262802,38914
9.374347,2.4910173,-1.0700585,39114
9.380333,2.5574563,-1.0963948,39316
9.400683,2.517952,-1.1981484,39515
9.430611,2.4748564,-1.0922049,39715
9.426421,2.4257753,-1.117344,39917
9.427019,2.5203462,-1.1251252,40115
9.385719,2.636465,-1.1442788,40315
9.394099,2.5604491,-1.2496237,40517
9.383924,2.584391,-1.1861773,40716
9.379734,2.5969605,-1.1795932,40916
9.387515,2.4946086,-1.1676222,41118
9.417442,2.4718635,-1.0957962,41316
9.391107,2.4916158,-1.1574469,41516
9.392902,2.6005518,-1.134702,41716
9.402479,2.5269303,-1.2155063,41916
9.406669,2.4521115,-1.1484686,42116
9.38991,2.5065796,-1.0820296,42316
9.387515,2.5119665,-1.1730092,42516
9.426421,2.4036288,-1.1335049,42722
9.374347,2.397045,-1.070657,42920
9.432406,2.608333,-1.0940006,43108
9.385719,2.5514708,-1.1400889,43313
9.404873,2.4928129,-1.1388918,43520
9.434801,2.4497173,-1.1670237,43717
9.421034,2.4245782,-1.0754455,43917
9.408464,2.4269724,-1.1269208,44123
9.3917055,2.6137202,-1.2364556,44316
9.376741,2.5365071,-1.2514193,44517
9.430611,2.4545057,-1.1688193,44721
9.422231,2.4281695,-1.0718541,44918
9.450363,2.363526,-1.1448773,45114
9.427019,2.4760535,-1.2352585,45322
9.36058,2.631078,-1.0951977,45517
9.416844,2.5215433,-1.2933178,45719
9.41864,2.458097,-1.1179426,45922
9.411457,2.5083752,-1.086818,46120
9.397092,2.5622447,-1.2262802,46319
9.403077,2.4533086,-1.1251252,46523
9.440187,2.458097,-1.1179426,46723
9.400683,2.5706244,-1.2304701,46920
9.385121,2.5855882,-1.2514193,47122
9.416844,2.5891795,-1.3058873,47320
9.365369,2.6065376,-1.1873744,47522
9.362376,2.5915737,-1.2681787,47723
9.3761425,2.4880245,-1.1275194,47921
9.415049,2.4730606,-1.0850223,48121
9.408464,2.4970028,-1.2095208,48319
9.345616,2.635268,-1.1861773,48532
9.394698,2.5748143,-1.3016975,48724
9.394099,2.5520694,-1.2232875,48924
9.367165,2.648436,-1.2155063,49122
9.409661,2.5802011,-1.1939584,49322
9.385121,2.4395418,-1.1143513,49525
9.433005,2.5604491,-1.1592425,49722
9.441384,2.5688288,-1.3328222,49922
9.342026,2.6101289,-1.1849802,50125
9.402479,2.6376622,-1.3190556,50320
9.362376,2.6460419,-1.1736077,50523
9.387515,2.6035447,-1.2759598,50725
9.361777,2.6586113,-1.2592005,50919
9.369558,2.5586534,-1.4483424,51123
9.443779,2.522142,-1.1909657,51325
9.404873,2.6388593,-1.3286324,51523
9.356391,2.6382606,-1.3172598,51724
9.365369,2.5610476,-1.1424831,51924
9.373749,2.5227404,-1.1993455,52124
9.37315,2.5879824,-1.3046902,52319
9.4318075,2.5873837,-1.3711294,52526
9.408464,2.6262896,-1.2735656,52724
9.343223,2.684349,-1.2376527,52924
9.382727,2.6466403,-1.278354,53126
9.33185,2.6238954,-1.2364556,53325
9.372552,2.636465,-1.2502222,53520
9.426421,2.607136,-1.348983,53727
9.512612,2.4078188,-1.3046902,53925
9.422231,2.2324433,-1.0491092,54125
9.4874735,2.1833622,-1.0676643,54325
9.483283,2.0456958,-1.0742484,54527
9.449166,2.013374,-0.95154554,54726
9.363573,2.0020015,-0.91383684,54926
9.472509,1.9301754,-1.0191817,55126
9.537751,2.0127754,-1.0203788,55326
9.565884,1.9630958,-1.0556933,55527
9.492262,2.0504842,-1.0119991,55726
9.4395895,2.3467665,-1.2867337,55926
9.32347,2.5927708,-1.4046482,56124
9.277382,2.5377042,-1.544709,56327
9.294142,2.6023476,-1.3920786,56526
9.382129,2.5802011,-1.6368858,56730
9.273192,2.7166708,-1.3394063,56927
9.314492,2.6005518,-1.4836569,57127
9.327661,2.6687868,-1.4956279,57330
9.312696,2.6819549,-1.4788685,57527
9.307908,2.6699839,-1.4992192,57726
9.314492,2.65502,-1.4686931,57931
9.305513,2.690933,-1.4902409,58128
9.30312,2.6436477,-1.4710873,58328
9.33604,2.6741736,-1.527351,58527
9.310901,2.6370635,-1.532738,58726
9.303719,2.6334722,-1.4992192,58927
9.322872,2.6616042,-1.5183728,59138
9.301324,2.6765678,-1.5219641,59334
9.319879,2.678962,-1.5369278,59529
9.299528,2.6693852,-1.5195699,59732
9.342624,2.6526258,-1.5189713,59930
