x,y,z,tempo
5.3139301,9.3137435,-0.96426475,10139
5.3139301,9.3137435,-1.6807296,10339
5.3139301,9.3137435,-1.287482,10532
5.3139301,8.1079645,-1.5939398,10736
5.3139301,9.3137435,0.9427169,10934
5.3139301,7.6572556,-2.2098482,11134
8.4647005,4.174889,-2.1918917,11337
7.984064,5.5383873,-2.710835,11534
7.9008656,5.522825,-1.7405846,11734
8.1881695,5.1361613,-2.6420016,11936
7.237672,6.9545574,2.0296845,12135
8.173804,5.481525,1.423353,12334
6.839037,6.547543,2.52289,12539
7.1754227,5.5910597,2.8101943,12736
6.9946604,5.7383027,2.8904,12936
6.7402763,4.1695023,0.6871359,13138
6.981492,6.4104753,3.1453824,13336
8.4647005,4.7309427,3.0891187,13538
7.6704235,5.8903346,3.0304608,13737
5.3139301,9.3137435,2.0685902,13936
5.3139301,8.433576,1.9045875,14137
6.3272767,7.8092875,2.1164744,14326
5.3139301,9.231443,3.2890346,14528
5.3139301,8.890269,1.6502035,14740
5.3139301,9.20391,2.131438,14941
5.3139301,9.3137435,0.79008657,15148
5.3139301,9.3137435,1.988983,15337
5.3139301,9.3137435,2.111686,15539
5.3139301,9.3137435,2.569577,15740
5.3139301,8.664018,1.5448587,15939
5.3139301,9.3137435,0.5590461,16138
5.3139301,9.3137435,2.0093338,16337
5.3139301,9.3137435,2.0578163,16539
5.3139301,8.957906,2.2427685,16744
5.3139301,9.3137435,0.09816227,16941
5.3139301,9.3137435,-0.0017956513,17141
5.3139301,9.3137435,0.8655039,17344
5.3139301,9.3137435,0.760159,17540
5.3139301,9.3137435,0.3645172,17742
5.3139301,9.3137435,0.5434838,17942
5.3139301,9.3137435,0.47285482,18141
5.3139301,9.3137435,0.97743285,18341
5.3139301,9.3137435,0.6979098,18543
5.3139301,9.3137435,1.4287399,18741
5.3139301,5.5922565,1.6813282,18941
5.3139301,9.3137435,1.5101427,19144
5.3139301,9.190742,1.762731,19340
5.3139301,9.3137435,1.4921862,19540
5.3139301,9.3137435,1.4335283,19744
5.3139301,9.3137435,1.5131354,19941
5.3139301,9.3137435,0.98940384,20150
5.3139301,9.306262,-0.91219085,20346
5.3139301,9.3137435,-1.8459295,20540
6.791153,6.399701,-2.4504654,20744
6.4248405,8.3390045,0.3716998,20947
6.573281,7.4322004,0.05686229,21144
6.5427547,8.89805,0.3369839,21344
6.6385226,7.065888,0.059855044,21546
5.883152,6.5098343,2.0470424,21740
7.955932,5.7466826,3.1681273,21945
6.495469,5.9890957,0.96067345,22146
7.307702,7.937377,0.694917,22344
6.843227,5.48332,0.21547815,22544
6.3218894,8.395268,-1.1671734,22747
7.3885064,7.877522,-2.7982233,22947
8.4647005,4.4921207,-2.0524294,23147
7.787141,5.915474,-0.5554548,23348
8.4647005,6.7708025,1.6986861,23547
6.317101,8.156446,0.45609543,23744
6.601413,5.559336,1.5053543,23948
7.2831616,4.0105875000000015,2.285864,24146
8.4647005,9.3137435,4.0815153,24347
7.8212585,6.5499372,-2.896984,24551
7.216124,6.054936,-0.6171055,24747
7.7667904,6.405687,-2.3900118,24951
6.7893577,6.4457893,-2.415151,25162
6.7510505,6.609194,-1.055843,25352
8.4647005,4.0105875000000015,0.7320272,25549
7.9846625,8.54311,-0.3489549,25749
8.4647005,4.924873,0.22744916,25953
5.722142,7.32506,-0.5327099,26154
7.9691005,5.2259436,-1.5131354,26353
6.8611836,6.4260373,-2.7659016,26550
6.977901,6.3859344,-2.296638,26751
7.5285673,6.165668,-2.421735,26956
6.925827,6.27221,-2.7988217,27154
7.383718,6.2351,-2.259528,27351
7.5088153,5.954978,-2.2870612,27552
6.9252286,6.3901243,-2.9388826,27750
7.409456,6.0387754,-2.0380642,27950
7.009624,6.3111157,-2.7299886,28155
7.2065473,6.2650275,-2.2301989,28352
7.2502413,6.1806316,-2.32058,28552
7.0341644,6.408081,-2.6635494,28753
7.150882,6.3063273,-2.4516625,28953
7.216124,5.8681884,-2.3427265,29158
7.6488757,5.9902925,-2.678513,29357
7.3466077,5.597045,-2.2164323,29553
5.3755813,8.916606,-2.574964,29754
7.414244,6.319495,1.7651252,29956
7.480085,6.721721,1.3395559,30161
7.2310877,6.4685345,0.748188,30355
7.0407486,6.728904,0.76554596,30556
7.0251865,6.6905966,0.6781576,30755
6.904279,6.867768,0.50397944,30955
7.067683,6.724714,0.3345897,31157
6.704962,7.318476,0.0023942017,31355
6.6654577,7.3106947,-0.4261679,31555
6.754043,7.480085,0.25019407,31754
5.903503,7.1544733,0.3561375,31956
7.179612,5.8693852,2.011728,32156
7.0365586,5.9412117,-1.246182,32357
6.417658,7.221511,-2.2307975,32556
5.844845,5.6706667,-2.2134395,32757
8.10138,4.2820296,-1.34195,32957
7.1790137,6.5110316,-1.4873978,33156
