x,y,z,tempo
-4.1916485,-0.24001873,8.704719,10131
-3.9857473,0.2657564,8.860342,10330
-4.225766,0.065242,8.780735,10530
-4.2143936,0.374094,8.815451,10731
-4.2401314,-0.015562311,8.826823,10940
-4.1892543,0.54168814,8.827422,11131
-4.264672,-0.14903906,8.820239,11332
-4.132392,0.0688333,8.729858,11532
-4.3329067,0.049679685,8.860342,11732
-4.2281604,0.40701428,8.738237,11933
-4.470573,0.20410569,8.659827,12132
-4.4843397,0.46926352,8.66282,12332
-5.381567,1.6358383,8.166023,12533
-4.8057613,1.6639702,9.683948,12733
-4.298789,-0.15801731,7.278972000000001,12940
-3.0011318,-0.9091981,7.278972000000001,13133
-3.1519666,-1.2413935,7.278972000000001,13333
-5.5898623,-1.2413935,7.278972000000001,13545
-5.861305,1.5957354,10.644022,13741
-5.861305,2.5462333800000003,11.080964,13934
-4.309563,0.11252748,10.395624,14134
-3.1040826,-0.6817489,8.971074,14334
-3.2668881,-1.2413935,7.278972000000001,14534
-2.2942438,-1.2413935,7.278972000000001,14734
-2.4378958,-1.2413935,8.969278,14935
-3.4410665,0.7745243,7.8613615,15137
-3.9947255,0.046088383,8.934562,15335
-3.4231098,0.56323594,8.931569,15539
-4.970961,0.2693477,8.26658,15735
-4.313154,-0.18375498,8.522161,15944
-3.757101,0.6991069,8.728063,16137
-3.1669302,0.22325931,9.416395,16337
-3.1663318,0.06404489,10.301053,16539
-3.3848026,1.1192893,8.680179,16738
-1.6765398,2.4827871,9.188946,16937
-3.2920272,0.51355624,8.622119,17138
-4.693234,0.37469256,7.6722193,17338
-0.3321955,2.4013844,10.3639,17540
-2.908955,1.3443443,9.57561,17738
-2.9759927,0.31124622,7.739856,17939
-0.80564886,1.3922282,9.555858,18138
-4.69084,-0.5446809,7.4561424,18339
-1.4173675,1.174356,9.947908,18544
-1.7046716,2.207454,11.034277,18743
-4.3993454,-0.013766659,7.278972000000001,18940
-1.6298528,2.4468741,10.067618,19141
-2.4211364,1.1348516,9.852738,19340
-3.4745853,1.0121487,8.19236,19545
-1.5939398,2.5462333800000003,10.78109,19741
-2.9981391,0.83976626,9.16261,19941
-2.5659857,1.1552023,8.872911,20142
-1.7328035,1.9662381,10.478823,20342
-3.1723173,0.5446809,8.831013,20545
-1.9794062,1.2042835,9.346964,20741
-1.2791022,1.5945383,10.609905,20951
-3.3213563,0.51834464,8.638878,21141
-1.8680758,1.1857284,9.248202,21342
-1.7741034,1.1737574,9.301474,21547
-3.7726634,0.5189432,8.377911,21742
-1.9482816,2.4432828,10.406398,21942
-2.6078842,1.0708067,9.55885,22143
-2.6910827,0.7930793,8.605359,22343
-1.5747862,1.9327193,9.695918,22548
-2.8407204,0.2873042,9.184756,22744
-1.834557,1.1677719,9.613318,22943
-2.156577,1.5436616,9.7240505,23144
-2.8604724,0.66139823,8.680179,23344
-1.192911,1.6879122,9.947908,23549
-3.107674,0.09995792,8.616134,23744
-1.9458874,1.7310078,9.694721,23944
-1.8710686,1.3718776,10.085575,24144
-2.8592753,0.42676646,8.488642,24344
-1.7088615,1.4544775,9.318831,24549
-3.5511997,0.002992752,8.298303,24744
-1.6753427,2.321777,10.251373,24945
-2.0087352,1.1905168,9.993997,25147
-2.4181437,0.7649474,8.95611,25345
-1.5478514,2.3014264,9.958083,25545
-3.9558198,-0.39504328,8.08881,25757
-2.7126305,1.1246762,9.356541,25945
-2.8329391,-0.19393034,9.074623,26147
-3.4883518,0.58298814,9.427169,26347
-3.0885203,0.712275,8.933964,26547
-2.1601684,0.8074445,9.329605,26747
-2.256535,0.4249708,9.511565,26948
-3.0520086,0.56922144,8.884883,27148
-2.1122844,1.3790601,9.888053,27348
-2.8054059,0.5201403,9.029732,27549
-2.2242134,1.6124948,10.149021,27748
-3.1794999,0.7272388,8.913014,27949
-2.3612814,1.7052702,10.233417,28150
-3.1376014,0.7350199,8.9998045,28349
-2.2284033,1.5628152,9.840768,28549
