x,y,z,tempo
2.296133062499999,-2.3345894249999994,-9.1222095,10032
2.296133062499999,-2.3345894249999994,-9.1222095,10094
2.296133062499999,-2.3345894249999994,-9.1222095,10161
2.296133062499999,-2.3345894249999994,-9.1222095,10223
2.296133062499999,-2.3345894249999994,-9.1222095,10287
2.296133062499999,-2.3345894249999994,-9.1222095,10353
2.296133062499999,-2.3345894249999994,-9.1222095,10418
2.296133062499999,-2.3345894249999994,-9.1222095,10484
2.296133062499999,-2.3345894249999994,-9.1222095,10550
2.296133062499999,-2.3345894249999994,-9.1222095,10655
2.296133062499999,-2.3345894249999994,-9.1222095,10670
2.296133062499999,-2.3345894249999994,-9.1222095,10740
2.296133062499999,-2.3345894249999994,-9.1222095,10808
2.296133062499999,-2.3345894249999994,-9.1222095,10873
2.296133062499999,-2.3345894249999994,-9.1222095,10939
2.2373815,-2.3768437,-9.180267,11006
2.2439656,-2.381632,-9.177873,11073
2.2613235,-2.3612814,-9.177873,11134
2.2463598,-2.3786395,-9.1665,11200
2.2463598,-2.3762453,-9.129391,11268
2.2517467,-2.3894134,-9.182661,11329
2.2499511,-2.3666685,-9.181464,11400
2.2583308,-2.35769,-9.152135,11460
2.2619221,-2.3953989,-9.189245,11528
2.2511482,-2.3786395,-9.168895,11589
2.2601264,-2.3953989,-9.156923,11654
2.2822728,-2.373851,-9.176077,11730
2.2547395,-2.3600843,-9.179668,11783
2.2505496,-2.3840263,-9.181464,11849
2.2583308,-2.3678656,-9.181464,11915
2.2756886,-2.3642743,-9.176077,11980
2.260725,-2.3756466,-9.201815,12047
2.2349873,-2.4001873,-9.182063,12109
2.2541409,-2.3774424,-9.175479,12174
2.2703018,-2.3828292,-9.203012,12240
2.2451627,-2.3600843,-9.220968,12304
2.2517467,-2.393603,-9.205406,12371
2.2427685,-2.3756466,-9.183859,12436
2.2619221,-2.3768437,-9.207202,12500
2.2535424,-2.3600843,-9.180267,12567
2.2583308,-2.3708582,-9.180267,12630
2.2391772,-2.380435,-9.1952305,12695
2.2469583,-2.3714569,-9.17907,12760
2.2643163,-2.3732524,-9.176077,12825
2.2397757,-2.3888147,-9.192837,12890
2.255338,-2.3828292,-9.180267,12955
2.2619221,-2.3750482,-9.184457,13020
2.2631192,-2.3732524,-9.170691,13086
2.2343888,-2.3822308,-9.19164,13151
2.2517467,-2.3798366,-9.164106,13216
2.2517467,-2.408567,-9.191041,13281
2.2816741,-2.3582888,-9.179668,13347
2.2397757,-2.3918076,-9.167099,13410
2.2463598,-2.3660698,-9.168895,13484
2.2559366,-2.367267,-9.184457,13540
2.260725,-2.367267,-9.176077,13607
2.232593,-2.372654,-9.160515,13669
2.255338,-2.3822308,-9.172486,13736
2.259528,-2.3930047,-9.207202,13799
2.2361844,-2.3948002,-9.209596,13862
2.2756886,-2.3894134,-9.207801,13930
2.2541409,-2.3666685,-9.184457,13995
2.2493525,-2.369661,-9.207801,14060
2.2780828,-2.4115596,-9.170092,14126
2.2511482,-2.3732524,-9.204807,14193
2.2613235,-2.3648727,-9.195829,14257
2.2625206,-2.391209,-9.202414,14324
2.2331917,-2.372654,-9.182063,14387
2.244564,-2.3888147,-9.192238,14451
2.256535,-2.3864205,-9.189245,14515
2.256535,-2.3523033,-9.1712885,14581
2.2541409,-2.379238,-9.180267,14648
2.2481554,-2.3852234,-9.170092,14713
2.2469583,-2.3708582,-9.182661,14776
2.2373815,-2.3762453,-9.194034,14840
2.2571337,-2.373851,-9.212589,14906
2.2613235,-2.3894134,-9.185654,14970
2.2319946,-2.3834279,-9.185654,15034
2.2331917,-2.373851,-9.164106,15101
2.247557,-2.3834279,-9.197026,15170
2.2469583,-2.3852234,-9.207202,15230
